,cell_id,banksy_leiden_0.7
aaaaaada-1,aaaaaada-1,10
aaaacbie-1,aaaacbie-1,10
aaaadccf-1,aaaadccf-1,10
aaaaepcb-1,aaaaepcb-1,10
aaaagepg-1,aaaagepg-1,10
aaaalpdh-1,aaaalpdh-1,10
aaabgkal-1,aaabgkal-1,10
aaabjbfp-1,aaabjbfp-1,10
aaablpcn-1,aaablpcn-1,10
aaacdlpn-1,aaacdlpn-1,10
aaacodlp-1,aaacodlp-1,10
aaadfjah-1,aaadfjah-1,10
aaaefiko-1,aaaefiko-1,10
aaaehcmg-1,aaaehcmg-1,10
aaafddmo-1,aaafddmo-1,10
aaafgjbi-1,aaafgjbi-1,2
aaafgnni-1,aaafgnni-1,0
aaafigmc-1,aaafigmc-1,17
aaafkpii-1,aaafkpii-1,17
aaafphnp-1,aaafphnp-1,2
aaagcheh-1,aaagcheh-1,2
aaaggggm-1,aaaggggm-1,1
aaagglcd-1,aaagglcd-1,17
aaahamje-1,aaahamje-1,1
aaahebjk-1,aaahebjk-1,17
aaahfloe-1,aaahfloe-1,0
aaahklkc-1,aaahklkc-1,0
aaahmiom-1,aaahmiom-1,0
aaahmjoc-1,aaahmjoc-1,17
aaaicmml-1,aaaicmml-1,5
aaaifkpk-1,aaaifkpk-1,17
aaaijing-1,aaaijing-1,17
aaaiomll-1,aaaiomll-1,10
aaaioong-1,aaaioong-1,10
aaaipaje-1,aaaipaje-1,10
aaajdlag-1,aaajdlag-1,10
aaajenpn-1,aaajenpn-1,4
aaajijae-1,aaajijae-1,8
aaajjiog-1,aaajjiog-1,8
aaakbhnd-1,aaakbhnd-1,4
aaakdmfb-1,aaakdmfb-1,1
aaakfffa-1,aaakfffa-1,4
aaakgkaf-1,aaakgkaf-1,10
aaakjmhi-1,aaakjmhi-1,8
aaakmmmo-1,aaakmmmo-1,8
aaalbkdo-1,aaalbkdo-1,8
aaaldnfb-1,aaaldnfb-1,10
aaalfbpe-1,aaalfbpe-1,0
aaalfbpo-1,aaalfbpo-1,0
aaalfina-1,aaalfina-1,0
aaalpiip-1,aaalpiip-1,0
aaamadme-1,aaamadme-1,0
aaamdiaj-1,aaamdiaj-1,6
aaamebea-1,aaamebea-1,13
aaamelmc-1,aaamelmc-1,0
aaamijpd-1,aaamijpd-1,0
aaamldgm-1,aaamldgm-1,6
aaampjee-1,aaampjee-1,6
aaanaaom-1,aaanaaom-1,6
aaanflih-1,aaanflih-1,6
aaanjbin-1,aaanjbin-1,0
aaaobpmn-1,aaaobpmn-1,0
aaaocbpg-1,aaaocbpg-1,0
aaaogdhj-1,aaaogdhj-1,0
aaaologf-1,aaaologf-1,0
aaaopbgo-1,aaaopbgo-1,0
aaapojik-1,aaapojik-1,0
aaapompl-1,aaapompl-1,0
aaappege-1,aaappege-1,0
aabaalgj-1,aabaalgj-1,0
aabahoca-1,aabahoca-1,0
aabbeakl-1,aabbeakl-1,0
aabbihec-1,aabbihec-1,0
aabbkaaj-1,aabbkaaj-1,13
aabccpnj-1,aabccpnj-1,0
aabcdihg-1,aabcdihg-1,0
aabcjann-1,aabcjann-1,0
aabcjnac-1,aabcjnac-1,0
aabcmooh-1,aabcmooh-1,0
aabddnad-1,aabddnad-1,0
aabdfcfj-1,aabdfcfj-1,0
aabdgjph-1,aabdgjph-1,0
aabdhjlh-1,aabdhjlh-1,0
aabdifko-1,aabdifko-1,13
aabdkemp-1,aabdkemp-1,13
aabdmdof-1,aabdmdof-1,0
aabdndmh-1,aabdndmh-1,0
aabdnmkk-1,aabdnmkk-1,0
aabdpjbd-1,aabdpjbd-1,0
aabeagof-1,aabeagof-1,0
aabeddgb-1,aabeddgb-1,0
aabefkld-1,aabefkld-1,0
aabegkoh-1,aabegkoh-1,0
aabekolb-1,aabekolb-1,0
aabeljgd-1,aabeljgd-1,0
aabemggo-1,aabemggo-1,0
aabfahmg-1,aabfahmg-1,0
aabfbldf-1,aabfbldf-1,0
aabfmnnc-1,aabfmnnc-1,0
aabfmpdo-1,aabfmpdo-1,0
aabfokjl-1,aabfokjl-1,0
aabfpfip-1,aabfpfip-1,0
aabgaeom-1,aabgaeom-1,0
aabganhi-1,aabganhi-1,0
aabgbjbi-1,aabgbjbi-1,0
aabgceaf-1,aabgceaf-1,0
aabghdog-1,aabghdog-1,0
aabghmgo-1,aabghmgo-1,0
aabhhnph-1,aabhhnph-1,0
aabhkmmk-1,aabhkmmk-1,0
aabibbac-1,aabibbac-1,0
aabicpnl-1,aabicpnl-1,0
aabifdhh-1,aabifdhh-1,0
aabifmka-1,aabifmka-1,0
aabiipom-1,aabiipom-1,0
aabikihb-1,aabikihb-1,0
aabjciho-1,aabjciho-1,0
aabjdfop-1,aabjdfop-1,0
aabjdjnc-1,aabjdjnc-1,0
aabjdkie-1,aabjdkie-1,0
aabjkdae-1,aabjkdae-1,0
aabjkkhc-1,aabjkkhc-1,0
aabjlbne-1,aabjlbne-1,0
aabjpddk-1,aabjpddk-1,0
aabkhgmc-1,aabkhgmc-1,0
aablalel-1,aablalel-1,0
aablcgip-1,aablcgip-1,0
aableenh-1,aableenh-1,0
aablkhhd-1,aablkhhd-1,0
aablmkcd-1,aablmkcd-1,0
aablmkje-1,aablmkje-1,0
aablpbof-1,aablpbof-1,0
aabmbhaf-1,aabmbhaf-1,0
aabmeafb-1,aabmeafb-1,0
aabmfknh-1,aabmfknh-1,0
aabmlifa-1,aabmlifa-1,0
aabmloba-1,aabmloba-1,0
aabncjeo-1,aabncjeo-1,0
aabnjhpa-1,aabnjhpa-1,0
aabnmega-1,aabnmega-1,0
aabnobln-1,aabnobln-1,0
aabnomep-1,aabnomep-1,0
aaboboba-1,aaboboba-1,0
aaboeicb-1,aaboeicb-1,0
aabogejp-1,aabogejp-1,0
aaboklnm-1,aaboklnm-1,0
aabpbbkh-1,aabpbbkh-1,0
aabpblmf-1,aabpblmf-1,0
aabpkhob-1,aabpkhob-1,0
aabpphgj-1,aabpphgj-1,0
aacahjmk-1,aacahjmk-1,0
aacakoja-1,aacakoja-1,0
aacbanaf-1,aacbanaf-1,0
aacbemci-1,aacbemci-1,0
aacbeobc-1,aacbeobc-1,0
aacbmmcb-1,aacbmmcb-1,0
aacbpocn-1,aacbpocn-1,0
aacccncb-1,aacccncb-1,0
aacciibk-1,aacciibk-1,0
aacclkko-1,aacclkko-1,0
aaccmkhb-1,aaccmkhb-1,5
aaccnjbg-1,aaccnjbg-1,0
aacdaaga-1,aacdaaga-1,0
aacdejih-1,aacdejih-1,0
aacdhili-1,aacdhili-1,0
aacdklkd-1,aacdklkd-1,0
aacdmebm-1,aacdmebm-1,4
aacehnmm-1,aacehnmm-1,10
aaceiadc-1,aaceiadc-1,10
aacfagfc-1,aacfagfc-1,10
aacfbkno-1,aacfbkno-1,10
aacfdfhf-1,aacfdfhf-1,10
aacggdak-1,aacggdak-1,10
aachhbmj-1,aachhbmj-1,10
aachlbko-1,aachlbko-1,10
aachmonj-1,aachmonj-1,10
aacigpfn-1,aacigpfn-1,10
aaciiihf-1,aaciiihf-1,10
aacikbdg-1,aacikbdg-1,10
aacikchk-1,aacikchk-1,10
aacilmpa-1,aacilmpa-1,10
aacineig-1,aacineig-1,10
aacjcbjf-1,aacjcbjf-1,10
aacjgojj-1,aacjgojj-1,10
aacjlpae-1,aacjlpae-1,10
aacjncek-1,aacjncek-1,10
aacjojae-1,aacjojae-1,10
aackfgin-1,aackfgin-1,10
aackgcnj-1,aackgcnj-1,10
aackknpi-1,aackknpi-1,17
aackpclh-1,aackpclh-1,17
aaclcmah-1,aaclcmah-1,2
aacldbfg-1,aacldbfg-1,0
aaclepad-1,aaclepad-1,0
aacljdon-1,aacljdon-1,0
aaclobdk-1,aaclobdk-1,0
aacmdabb-1,aacmdabb-1,0
aacmdnhe-1,aacmdnhe-1,0
aacmgbdp-1,aacmgbdp-1,0
aacmgefm-1,aacmgefm-1,0
aacmkaak-1,aacmkaak-1,4
aacmpgie-1,aacmpgie-1,4
aacmpief-1,aacmpief-1,4
aacmpmal-1,aacmpmal-1,4
aacncnci-1,aacncnci-1,17
aacnjaha-1,aacnjaha-1,0
aacnjbfd-1,aacnjbfd-1,0
aacnlbfd-1,aacnlbfd-1,0
aacoelde-1,aacoelde-1,0
aacohgde-1,aacohgde-1,2
aacojcfp-1,aacojcfp-1,2
aacoohbi-1,aacoohbi-1,2
aacpciim-1,aacpciim-1,1
aacpelfa-1,aacpelfa-1,4
aacphiak-1,aacphiak-1,1
aacpkmlj-1,aacpkmlj-1,10
aacpldeb-1,aacpldeb-1,10
aacpnjof-1,aacpnjof-1,10
aadaadco-1,aadaadco-1,4
aadanjhj-1,aadanjhj-1,4
aadapkbh-1,aadapkbh-1,1
aadbabbk-1,aadbabbk-1,8
aadbfabp-1,aadbfabp-1,10
aadbfcaf-1,aadbfcaf-1,8
aadbfokc-1,aadbfokc-1,10
aadbibci-1,aadbibci-1,10
aadbigef-1,aadbigef-1,10
aadbkafn-1,aadbkafn-1,10
aadbpaed-1,aadbpaed-1,10
aadcbnii-1,aadcbnii-1,4
aadcddgm-1,aadcddgm-1,10
aadcddmh-1,aadcddmh-1,10
aadcekgj-1,aadcekgj-1,4
aadckcll-1,aadckcll-1,10
aadclmja-1,aadclmja-1,10
aadcmapg-1,aadcmapg-1,10
aadcncnj-1,aadcncnj-1,10
aaddbfpl-1,aaddbfpl-1,10
aadddofm-1,aadddofm-1,10
aaddfhbd-1,aaddfhbd-1,1
aaddnkmd-1,aaddnkmd-1,4
aadecabd-1,aadecabd-1,10
aadekgjj-1,aadekgjj-1,4
aadelijk-1,aadelijk-1,4
aadenkfe-1,aadenkfe-1,4
aadeofok-1,aadeofok-1,10
aadeogac-1,aadeogac-1,10
aadepcfh-1,aadepcfh-1,4
aadfmiak-1,aadfmiak-1,10
aadfoale-1,aadfoale-1,10
aadfoapm-1,aadfoapm-1,10
aadgebld-1,aadgebld-1,10
aadgeenm-1,aadgeenm-1,10
aadgjddi-1,aadgjddi-1,10
aadgjhpe-1,aadgjhpe-1,10
aadglgff-1,aadglgff-1,10
aadgmhoi-1,aadgmhoi-1,10
aadhbhpj-1,aadhbhpj-1,10
aadhhekl-1,aadhhekl-1,10
aadhmnle-1,aadhmnle-1,10
aadhpeei-1,aadhpeei-1,10
aadicecc-1,aadicecc-1,10
aadigfnh-1,aadigfnh-1,10
aadiikcd-1,aadiikcd-1,10
aadijbgl-1,aadijbgl-1,10
aadjagle-1,aadjagle-1,10
aadjdgom-1,aadjdgom-1,10
aadjghdk-1,aadjghdk-1,10
aadkboel-1,aadkboel-1,10
aadkdebo-1,aadkdebo-1,10
aadkmegf-1,aadkmegf-1,2
aadlboga-1,aadlboga-1,0
aadlbpbg-1,aadlbpbg-1,2
aadlcgam-1,aadlcgam-1,2
aadleail-1,aadleail-1,2
aadlfhko-1,aadlfhko-1,0
aadlkmjf-1,aadlkmjf-1,0
aadllhjg-1,aadllhjg-1,0
aadmbdcp-1,aadmbdcp-1,0
aadmhdkh-1,aadmhdkh-1,5
aadmkbih-1,aadmkbih-1,0
aadmllni-1,aadmllni-1,0
aadnmodl-1,aadnmodl-1,5
aadnnind-1,aadnnind-1,5
aadohjjg-1,aadohjjg-1,5
aadokgkb-1,aadokgkb-1,0
aadomime-1,aadomime-1,0
aadpaoje-1,aadpaoje-1,0
aadpecop-1,aadpecop-1,0
aadpjajh-1,aadpjajh-1,0
aadpjjoc-1,aadpjjoc-1,0
aadplkjb-1,aadplkjb-1,0
aadpnlad-1,aadpnlad-1,0
aaeaclbg-1,aaeaclbg-1,0
aaeaeibc-1,aaeaeibc-1,17
aaeaobce-1,aaeaobce-1,2
aaeaoclp-1,aaeaoclp-1,0
aaeaocma-1,aaeaocma-1,17
aaebiaeb-1,aaebiaeb-1,0
aaebjoko-1,aaebjoko-1,0
aaeblglm-1,aaeblglm-1,0
aaebohgc-1,aaebohgc-1,2
aaecljhg-1,aaecljhg-1,2
aaeddddn-1,aaeddddn-1,0
aaeddpfd-1,aaeddpfd-1,0
aaedehfk-1,aaedehfk-1,2
aaedenbd-1,aaedenbd-1,0
aaedfebb-1,aaedfebb-1,0
aaedihnk-1,aaedihnk-1,0
aaednhcj-1,aaednhcj-1,0
aaeecdbg-1,aaeecdbg-1,0
aaeefenj-1,aaeefenj-1,0
aaeeginc-1,aaeeginc-1,0
aaeelcad-1,aaeelcad-1,0
aaeemfph-1,aaeemfph-1,0
