,cell_id,banksy_leiden_0.7
aafcenfn-1,aafcenfn-1,NA
aafcgikf-1,aafcgikf-1,NA
aafckbip-1,aafckbip-1,NA
aafcmbie-1,aafcmbie-1,NA
aafcmgee-1,aafcmgee-1,NA
aafdignj-1,aafdignj-1,NA
aafdjlgh-1,aafdjlgh-1,NA
aafdmpgn-1,aafdmpgn-1,NA
aafegbeb-1,aafegbeb-1,NA
aafeibgh-1,aafeibgh-1,NA
aafncnco-1,aafncnco-1,NA
aafpoegp-1,aafpoegp-1,NA
aagadebb-1,aagadebb-1,NA
aagnckbj-1,aagnckbj-1,NA
aagncmgd-1,aagncmgd-1,NA
aagneajk-1,aagneajk-1,NA
aagngnfa-1,aagngnfa-1,NA
aagnkelc-1,aagnkelc-1,NA
aagoaffg-1,aagoaffg-1,NA
aagoaoic-1,aagoaoic-1,NA
aagocoob-1,aagocoob-1,NA
aagofmoo-1,aagofmoo-1,NA
aagohjce-1,aagohjce-1,NA
aagohpoe-1,aagohpoe-1,NA
aagomgnn-1,aagomgnn-1,NA
aagpblmf-1,aagpblmf-1,NA
aagpbpaa-1,aagpbpaa-1,NA
aagpcohk-1,aagpcohk-1,NA
aagpdiid-1,aagpdiid-1,NA
aagphclg-1,aagphclg-1,NA
aahaihee-1,aahaihee-1,NA
aahaikfa-1,aahaikfa-1,NA
aahbppjc-1,aahbppjc-1,NA
aahcedfe-1,aahcedfe-1,NA
aahchgip-1,aahchgip-1,NA
aakeneae-1,aakeneae-1,NA
aakeonof-1,aakeonof-1,NA
aakfbeni-1,aakfbeni-1,NA
aakfdgfc-1,aakfdgfc-1,NA
aakfembh-1,aakfembh-1,NA
aakffdkc-1,aakffdkc-1,NA
aakfgekd-1,aakfgekd-1,NA
aakfhfic-1,aakfhfic-1,NA
aakgaoaj-1,aakgaoaj-1,NA
aakgecfd-1,aakgecfd-1,NA
aakgkjph-1,aakgkjph-1,NA
aakgopje-1,aakgopje-1,NA
aakhaoda-1,aakhaoda-1,NA
aakhblnl-1,aakhblnl-1,NA
acmehepe-1,acmehepe-1,NA
acmejojo-1,acmejojo-1,NA
acmekefh-1,acmekefh-1,NA
acmekpmj-1,acmekpmj-1,NA
acmenfgm-1,acmenfgm-1,NA
acmeojni-1,acmeojni-1,NA
acmfdcah-1,acmfdcah-1,NA
acmfecpi-1,acmfecpi-1,NA
acmffllh-1,acmffllh-1,NA
acmffmcm-1,acmffmcm-1,NA
acmfinjm-1,acmfinjm-1,NA
acmfippc-1,acmfippc-1,NA
acmfnagd-1,acmfnagd-1,NA
acmfoidk-1,acmfoidk-1,NA
acmgacpe-1,acmgacpe-1,NA
acmgalhd-1,acmgalhd-1,NA
acmgccfm-1,acmgccfm-1,NA
acmgcjli-1,acmgcjli-1,NA
acmgclnm-1,acmgclnm-1,NA
acmgeejm-1,acmgeejm-1,NA
acmgibok-1,acmgibok-1,NA
acmgincc-1,acmgincc-1,NA
acmgjaoj-1,acmgjaoj-1,NA
acmhhcmc-1,acmhhcmc-1,NA
acmhjcmn-1,acmhjcmn-1,NA
acmhkgkk-1,acmhkgkk-1,NA
acmhmdjo-1,acmhmdjo-1,NA
acmhmmmk-1,acmhmmmk-1,NA
acmianio-1,acmianio-1,NA
acmiklaf-1,acmiklaf-1,NA
acmipbhd-1,acmipbhd-1,NA
acmipgip-1,acmipgip-1,NA
acmjamlk-1,acmjamlk-1,NA
acmjdocm-1,acmjdocm-1,NA
acmjihmj-1,acmjihmj-1,NA
acmjkphe-1,acmjkphe-1,NA
acmjooag-1,acmjooag-1,NA
acmkenlh-1,acmkenlh-1,NA
acmkgnop-1,acmkgnop-1,NA
acmkjhbo-1,acmkjhbo-1,NA
acmkkeba-1,acmkkeba-1,NA
acmkocbc-1,acmkocbc-1,NA
acmldaio-1,acmldaio-1,NA
acmleimd-1,acmleimd-1,NA
acmlgjbe-1,acmlgjbe-1,NA
acmlocoj-1,acmlocoj-1,NA
acmloemh-1,acmloemh-1,NA
acmlpiea-1,acmlpiea-1,NA
acmnjced-1,acmnjced-1,NA
acmnnlcm-1,acmnnlcm-1,NA
acmohbcd-1,acmohbcd-1,NA
acmohhmp-1,acmohhmp-1,NA
acmojjme-1,acmojjme-1,NA
acmojnic-1,acmojnic-1,NA
acmolkmf-1,acmolkmf-1,NA
acmolodn-1,acmolodn-1,NA
acmoopdh-1,acmoopdh-1,NA
acmpbafn-1,acmpbafn-1,NA
acmpfhfc-1,acmpfhfc-1,NA
acmpgnkg-1,acmpgnkg-1,NA
acmphgeb-1,acmphgeb-1,NA
