,cell_id,banksy_leiden_0.7
bcjgdcoe-1,bcjgdcoe-1,3
bcjhcffd-1,bcjhcffd-1,1
bcjihknp-1,bcjihknp-1,4
bcjjbdib-1,bcjjbdib-1,1
bcjjgelm-1,bcjjgelm-1,1
bcjkbdbn-1,bcjkbdbn-1,1
bcjkelhp-1,bcjkelhp-1,1
bcjkkapb-1,bcjkkapb-1,1
bcjkkbjj-1,bcjkkbjj-1,1
bcjkmhch-1,bcjkmhch-1,1
bcjlgoma-1,bcjlgoma-1,1
bcjlibon-1,bcjlibon-1,1
bcjljoag-1,bcjljoag-1,1
bcjmadpm-1,bcjmadpm-1,1
bcjoidfp-1,bcjoidfp-1,1
bcjpgpmc-1,bcjpgpmc-1,1
bcjpjjbo-1,bcjpjjbo-1,1
bcjpknii-1,bcjpknii-1,1
bcjpnabc-1,bcjpnabc-1,1
bckahajj-1,bckahajj-1,1
bckalmgh-1,bckalmgh-1,3
bckamjdh-1,bckamjdh-1,3
bckanfba-1,bckanfba-1,1
bckbacjb-1,bckbacjb-1,1
bckbajld-1,bckbajld-1,2
bckbhbac-1,bckbhbac-1,2
bckbofoo-1,bckbofoo-1,2
bckdkjhc-1,bckdkjhc-1,13
bckdomdk-1,bckdomdk-1,13
bckehmbi-1,bckehmbi-1,1
bckfcbko-1,bckfcbko-1,1
bckgjlme-1,bckgjlme-1,1
bckhbpeg-1,bckhbpeg-1,1
bckhhjgo-1,bckhhjgo-1,1
bckhigej-1,bckhigej-1,9
bckhiknl-1,bckhiknl-1,1
bckielff-1,bckielff-1,1
bckilgfc-1,bckilgfc-1,1
bckkcijb-1,bckkcijb-1,1
bckkmcjd-1,bckkmcjd-1,1
bckliimg-1,bckliimg-1,1
bcklmkid-1,bcklmkid-1,1
bckmcnjd-1,bckmcnjd-1,1
bckmghhj-1,bckmghhj-1,1
bckmhchf-1,bckmhchf-1,1
bckmmjog-1,bckmmjog-1,1
bcknmijn-1,bcknmijn-1,1
bckobkma-1,bckobkma-1,1
bckpmled-1,bckpmled-1,1
bclaoiba-1,bclaoiba-1,1
bclbjpci-1,bclbjpci-1,1
bclcfgco-1,bclcfgco-1,1
bclclgll-1,bclclgll-1,2
bclcpddl-1,bclcpddl-1,2
bcldhmjd-1,bcldhmjd-1,1
bclebbhl-1,bclebbhl-1,1
bclefbdj-1,bclefbdj-1,1
bcleijeh-1,bcleijeh-1,1
bcleoonf-1,bcleoonf-1,9
bclepaec-1,bclepaec-1,2
bclgebmj-1,bclgebmj-1,1
bclgkpmm-1,bclgkpmm-1,1
bclgmcfe-1,bclgmcfe-1,1
bclhejlp-1,bclhejlp-1,13
bclhfmbd-1,bclhfmbd-1,13
bclibdhg-1,bclibdhg-1,13
bclididd-1,bclididd-1,13
bclikiek-1,bclikiek-1,13
bclilmob-1,bclilmob-1,13
bcljkleg-1,bcljkleg-1,13
bcljmick-1,bcljmick-1,13
bcllibjb-1,bcllibjb-1,13
bclmbgpg-1,bclmbgpg-1,13
bclmffib-1,bclmffib-1,13
bclmibhj-1,bclmibhj-1,13
bclmoikm-1,bclmoikm-1,13
bclnekgi-1,bclnekgi-1,13
bclniggd-1,bclniggd-1,13
bclobbgb-1,bclobbgb-1,13
bcloekpl-1,bcloekpl-1,13
bclpbanb-1,bclpbanb-1,13
bclpdfpl-1,bclpdfpl-1,2
bclphdie-1,bclphdie-1,13
bcmabnjj-1,bcmabnjj-1,13
bcmakgol-1,bcmakgol-1,13
bcmamlna-1,bcmamlna-1,13
bcmbcfaj-1,bcmbcfaj-1,13
bcmbinpd-1,bcmbinpd-1,13
bcmbjdbh-1,bcmbjdbh-1,13
bcmbkijj-1,bcmbkijj-1,13
bcmcihcm-1,bcmcihcm-1,13
bcmdamda-1,bcmdamda-1,13
bcmdbphi-1,bcmdbphi-1,13
bcmdmlcf-1,bcmdmlcf-1,2
bcmeiggj-1,bcmeiggj-1,13
bcmfeffa-1,bcmfeffa-1,13
bcmfnbbf-1,bcmfnbbf-1,2
bcmginhh-1,bcmginhh-1,13
bcmgkggl-1,bcmgkggl-1,13
bcmglnoj-1,bcmglnoj-1,13
bcmhdbdj-1,bcmhdbdj-1,13
bcmiklkf-1,bcmiklkf-1,13
bcmjbflp-1,bcmjbflp-1,13
bcmjednf-1,bcmjednf-1,13
bcmkpbjo-1,bcmkpbjo-1,13
bcmlamco-1,bcmlamco-1,13
bcmmeajd-1,bcmmeajd-1,13
bcmmfhdk-1,bcmmfhdk-1,13
bcmmpilp-1,bcmmpilp-1,13
bcmnfjek-1,bcmnfjek-1,13
bcmnoafa-1,bcmnoafa-1,13
bcmoeemk-1,bcmoeemk-1,13
bcmoilkk-1,bcmoilkk-1,13
bcmookji-1,bcmookji-1,2
bcmpkabn-1,bcmpkabn-1,13
bcmppfok-1,bcmppfok-1,13
bcnadlkd-1,bcnadlkd-1,13
bcnbakkg-1,bcnbakkg-1,13
bcnbfmkj-1,bcnbfmkj-1,13
bcncceep-1,bcncceep-1,13
bcndhjfj-1,bcndhjfj-1,13
bcndhmlk-1,bcndhmlk-1,13
bcndknop-1,bcndknop-1,2
bcnephgn-1,bcnephgn-1,13
bcnfacca-1,bcnfacca-1,13
bcnfboco-1,bcnfboco-1,13
bcnffifl-1,bcnffifl-1,13
bcnfganb-1,bcnfganb-1,13
bcngciap-1,bcngciap-1,2
bcngdehd-1,bcngdehd-1,13
bcngeknk-1,bcngeknk-1,13
bcngmaln-1,bcngmaln-1,13
bcnhiblb-1,bcnhiblb-1,13
bcnhibod-1,bcnhibod-1,13
bcnhonpl-1,bcnhonpl-1,13
bcnicdfd-1,bcnicdfd-1,13
bcnilpco-1,bcnilpco-1,13
bcnjmkgc-1,bcnjmkgc-1,13
bcnjppml-1,bcnjppml-1,13
bcnkihii-1,bcnkihii-1,13
bcnkkoci-1,bcnkkoci-1,13
bcnkobhi-1,bcnkobhi-1,13
bcnlfdnh-1,bcnlfdnh-1,13
bcnmegol-1,bcnmegol-1,13
bcnncolm-1,bcnncolm-1,13
bcnnofag-1,bcnnofag-1,13
bcnpbfdk-1,bcnpbfdk-1,13
bcnpnmdl-1,bcnpnmdl-1,13
bcoacleh-1,bcoacleh-1,13
bcoahnkg-1,bcoahnkg-1,13
bcoamllg-1,bcoamllg-1,13
bcoamnoi-1,bcoamnoi-1,13
bcoapdnh-1,bcoapdnh-1,13
bcobegih-1,bcobegih-1,13
bcocpmbe-1,bcocpmbe-1,13
bcodhofp-1,bcodhofp-1,13
bcodldoa-1,bcodldoa-1,13
bcodnblf-1,bcodnblf-1,5
bcoeamio-1,bcoeamio-1,5
bcoeneao-1,bcoeneao-1,2
bcofgfhd-1,bcofgfhd-1,5
bcofhmhh-1,bcofhmhh-1,4
bcofjaek-1,bcofjaek-1,13
bcofpifh-1,bcofpifh-1,13
bcogedcg-1,bcogedcg-1,13
bcogfhob-1,bcogfhob-1,13
bcogikgg-1,bcogikgg-1,13
bcogioni-1,bcogioni-1,13
bcognbni-1,bcognbni-1,13
bcohkmeg-1,bcohkmeg-1,13
bcoiaojc-1,bcoiaojc-1,13
bcoifabk-1,bcoifabk-1,13
bcoiiakp-1,bcoiiakp-1,13
bcoinnhe-1,bcoinnhe-1,13
bcojanee-1,bcojanee-1,13
bcojkpbg-1,bcojkpbg-1,13
bcojmmho-1,bcojmmho-1,13
bcojogip-1,bcojogip-1,13
bcokdnjp-1,bcokdnjp-1,13
bcokjobn-1,bcokjobn-1,13
bcokmabb-1,bcokmabb-1,13
bcolamjh-1,bcolamjh-1,13
bcolgihf-1,bcolgihf-1,13
bcolhnld-1,bcolhnld-1,13
bcomkknc-1,bcomkknc-1,13
bconikkg-1,bconikkg-1,13
bconkghg-1,bconkghg-1,13
bcoocamm-1,bcoocamm-1,13
bcoogkep-1,bcoogkep-1,13
bcooipak-1,bcooipak-1,2
bcooofki-1,bcooofki-1,13
bcooopcc-1,bcooopcc-1,13
bcoplfea-1,bcoplfea-1,13
bcpamekb-1,bcpamekb-1,13
bcpbfleo-1,bcpbfleo-1,2
bcpbpfcm-1,bcpbpfcm-1,13
bcpbphio-1,bcpbphio-1,13
bcpcndof-1,bcpcndof-1,13
bcpcpdie-1,bcpcpdie-1,13
