,cell_id,banksy_leiden_0.7
aaaaolij-1,aaaaolij-1,0
aaabedlc-1,aaabedlc-1,6
aaabgpmn-1,aaabgpmn-1,6
aaabhoen-1,aaabhoen-1,8
aaabmlkg-1,aaabmlkg-1,0
aaacfgmi-1,aaacfgmi-1,8
aaadblgo-1,aaadblgo-1,6
aaadlcen-1,aaadlcen-1,0
aaadnfgd-1,aaadnfgd-1,0
aaaeceae-1,aaaeceae-1,0
aaafcbcn-1,aaafcbcn-1,0
aaafeadj-1,aaafeadj-1,5
aaaflckl-1,aaaflckl-1,2
aaagghfg-1,aaagghfg-1,5
aaaghdnn-1,aaaghdnn-1,2
aaahfiif-1,aaahfiif-1,0
aaahoifk-1,aaahoifk-1,2
aaaifggp-1,aaaifggp-1,0
aaaiomao-1,aaaiomao-1,0
aaajaegc-1,aaajaegc-1,0
aaajibdj-1,aaajibdj-1,0
aaakdgdc-1,aaakdgdc-1,5
aaakhfpe-1,aaakhfpe-1,5
aaakhhgl-1,aaakhhgl-1,2
aaakhlig-1,aaakhlig-1,0
aaakldgg-1,aaakldgg-1,2
aaaknkji-1,aaaknkji-1,5
aaaldeig-1,aaaldeig-1,0
aaalejbf-1,aaalejbf-1,0
aaalhboi-1,aaalhboi-1,0
aaalhkkp-1,aaalhkkp-1,0
aaalnhmn-1,aaalnhmn-1,12
aaaloeok-1,aaaloeok-1,6
aaamjmeh-1,aaamjmeh-1,6
aaanbobj-1,aaanbobj-1,6
aaaodidm-1,aaaodidm-1,6
aaaoefpp-1,aaaoefpp-1,12
aaaoihmg-1,aaaoihmg-1,6
aaapeana-1,aaapeana-1,11
aaapeeoc-1,aaapeeoc-1,11
aaaphdpa-1,aaaphdpa-1,11
aaapiejb-1,aaapiejb-1,6
aabaejpd-1,aabaejpd-1,12
aabbbedg-1,aabbbedg-1,0
aabbegmk-1,aabbegmk-1,11
aabbjhll-1,aabbjhll-1,11
aabbmjjn-1,aabbmjjn-1,11
aabcjceo-1,aabcjceo-1,11
aabckibc-1,aabckibc-1,2
aabcmdoc-1,aabcmdoc-1,2
aabdfifa-1,aabdfifa-1,2
aabeacnc-1,aabeacnc-1,2
aabeknlg-1,aabeknlg-1,2
aabfiond-1,aabfiond-1,0
aabfomgf-1,aabfomgf-1,11
aabgncaf-1,aabgncaf-1,11
aabhoigo-1,aabhoigo-1,11
aabhpkie-1,aabhpkie-1,0
aabibkgf-1,aabibkgf-1,0
aabihmdm-1,aabihmdm-1,0
aabikncd-1,aabikncd-1,0
aabjppln-1,aabjppln-1,2
aabklnjk-1,aabklnjk-1,11
aabkmbgf-1,aabkmbgf-1,11
