,cell_id,banksy_leiden_0.7
aaaagfaf-1,aaaagfaf-1,10
aaabjoej-1,aaabjoej-1,10
aaacbfik-1,aaacbfik-1,10
aaadmalc-1,aaadmalc-1,10
aaadmbgg-1,aaadmbgg-1,4
aaaemebm-1,aaaemebm-1,4
aaaficap-1,aaaficap-1,10
aaafkeop-1,aaafkeop-1,10
aaagbagg-1,aaagbagg-1,10
aaaiefdn-1,aaaiefdn-1,10
aaajepfd-1,aaajepfd-1,4
aaajlchb-1,aaajlchb-1,4
aaajlmkl-1,aaajlmkl-1,6
aaakohjc-1,aaakohjc-1,0
aaamgpaj-1,aaamgpaj-1,0
aaamkdah-1,aaamkdah-1,0
aaamkldi-1,aaamkldi-1,6
aaampnne-1,aaampnne-1,6
aaananhi-1,aaananhi-1,6
aaaoccel-1,aaaoccel-1,6
aaaofpcd-1,aaaofpcd-1,0
aaapfdmk-1,aaapfdmk-1,14
aabbcgbd-1,aabbcgbd-1,6
aabbkgkk-1,aabbkgkk-1,6
aabbnkmp-1,aabbnkmp-1,6
aabcdnfe-1,aabcdnfe-1,6
aabdellp-1,aabdellp-1,10
aabdpald-1,aabdpald-1,4
aabeaddg-1,aabeaddg-1,8
aabenpba-1,aabenpba-1,4
aabfjmnk-1,aabfjmnk-1,2
aabflpnh-1,aabflpnh-1,4
aabhealh-1,aabhealh-1,4
aabibggg-1,aabibggg-1,10
aabjhnij-1,aabjhnij-1,4
aabkiked-1,aabkiked-1,4
aabknbah-1,aabknbah-1,8
aablbnpo-1,aablbnpo-1,10
aablkjof-1,aablkjof-1,10
aabmkine-1,aabmkine-1,10
aabmlcfi-1,aabmlcfi-1,10
aabnaaki-1,aabnaaki-1,10
aabpdeml-1,aabpdeml-1,10
aabpeooa-1,aabpeooa-1,10
aabpgllh-1,aabpgllh-1,10
aabpjmod-1,aabpjmod-1,10
aacaaeeg-1,aacaaeeg-1,10
aacbgplf-1,aacbgplf-1,10
aacbhhfa-1,aacbhhfa-1,10
aaccmnnp-1,aaccmnnp-1,10
aacdkibk-1,aacdkibk-1,10
aacdobgp-1,aacdobgp-1,10
aacfbfne-1,aacfbfne-1,8
aacfcdmg-1,aacfcdmg-1,8
aacffjam-1,aacffjam-1,8
aacflmhi-1,aacflmhi-1,10
aacfpbce-1,aacfpbce-1,8
aacgeppk-1,aacgeppk-1,8
aacgplng-1,aacgplng-1,10
aacigfil-1,aacigfil-1,10
aacincnj-1,aacincnj-1,8
aacjekol-1,aacjekol-1,8
aacjkjcb-1,aacjkjcb-1,8
aackdbpm-1,aackdbpm-1,8
aackfchn-1,aackfchn-1,10
aaclbkmb-1,aaclbkmb-1,10
aaclpldf-1,aaclpldf-1,8
aacndbig-1,aacndbig-1,10
aacodnff-1,aacodnff-1,10
aacojmgi-1,aacojmgi-1,10
aacpjika-1,aacpjika-1,10
aadagbba-1,aadagbba-1,10
aadcfhii-1,aadcfhii-1,10
aadchpbg-1,aadchpbg-1,8
aaddillh-1,aaddillh-1,10
aaddlkdb-1,aaddlkdb-1,10
aaddnbkn-1,aaddnbkn-1,10
aadeande-1,aadeande-1,10
aadeiadk-1,aadeiadk-1,10
aadfbpbg-1,aadfbpbg-1,8
aadfgipl-1,aadfgipl-1,10
aadgbgii-1,aadgbgii-1,8
aadgjila-1,aadgjila-1,8
aadgjkci-1,aadgjkci-1,8
aadgodeg-1,aadgodeg-1,8
aadhchhm-1,aadhchhm-1,4
aadkjojg-1,aadkjojg-1,4
aadlpola-1,aadlpola-1,4
aadnlcmo-1,aadnlcmo-1,8
aadppjhh-1,aadppjhh-1,8
aaedenea-1,aaedenea-1,10
aaedjdne-1,aaedjdne-1,10
aaedndbo-1,aaedndbo-1,10
aaeecphd-1,aaeecphd-1,10
aaeeicda-1,aaeeicda-1,10
aaeekkeo-1,aaeekkeo-1,4
aaegigch-1,aaegigch-1,10
aaegjcol-1,aaegjcol-1,6
aaegnjmh-1,aaegnjmh-1,6
aaehbnlc-1,aaehbnlc-1,2
aaehceki-1,aaehceki-1,6
aaehnelb-1,aaehnelb-1,6
aaeiganf-1,aaeiganf-1,6
aaeinljm-1,aaeinljm-1,6
aaekbaji-1,aaekbaji-1,8
aaekndmf-1,aaekndmf-1,4
aaemgega-1,aaemgega-1,6
aaeobfjb-1,aaeobfjb-1,8
aaeoccid-1,aaeoccid-1,4
aafaaemc-1,aafaaemc-1,4
aafbffcn-1,aafbffcn-1,4
aafbkbkk-1,aafbkbkk-1,4
aafbpmkn-1,aafbpmkn-1,2
aafdnemm-1,aafdnemm-1,2
aafegdjo-1,aafegdjo-1,2
aafekhok-1,aafekhok-1,5
aaffdnlp-1,aaffdnlp-1,6
aafgcknb-1,aafgcknb-1,6
aafhfnjl-1,aafhfnjl-1,6
aafhlanb-1,aafhlanb-1,6
aafjfifn-1,aafjfifn-1,6
aafkbhkg-1,aafkbhkg-1,6
aafmaclc-1,aafmaclc-1,6
aafpgakd-1,aafpgakd-1,6
aafplieb-1,aafplieb-1,2
aagaobbh-1,aagaobbh-1,6
aagbeohi-1,aagbeohi-1,12
aagcfhjh-1,aagcfhjh-1,2
aagcfnld-1,aagcfnld-1,12
aagcnfmg-1,aagcnfmg-1,12
aageooio-1,aageooio-1,5
aaghddhn-1,aaghddhn-1,2
aagieoal-1,aagieoal-1,2
aagjbgca-1,aagjbgca-1,2
aagjjmap-1,aagjjmap-1,5
aagmfnea-1,aagmfnea-1,5
aagmkdpk-1,aagmkdpk-1,5
aagmnemb-1,aagmnemb-1,2
aagmnkgm-1,aagmnkgm-1,5
aagnehpj-1,aagnehpj-1,6
aagoalom-1,aagoalom-1,5
aagoommc-1,aagoommc-1,5
aagphelp-1,aagphelp-1,11
aahahajg-1,aahahajg-1,5
aahaodma-1,aahaodma-1,6
aahclhbm-1,aahclhbm-1,12
aahfglck-1,aahfglck-1,0
aahgbpfl-1,aahgbpfl-1,5
aahhlhdg-1,aahhlhdg-1,10
aahicmcc-1,aahicmcc-1,10
aahimgea-1,aahimgea-1,10
aahljgae-1,aahljgae-1,4
aahmbgco-1,aahmbgco-1,10
aahnfljd-1,aahnfljd-1,4
aahplbap-1,aahplbap-1,10
aaibhldk-1,aaibhldk-1,10
aaicimka-1,aaicimka-1,10
aaiddmcd-1,aaiddmcd-1,10
aaiehogb-1,aaiehogb-1,10
aaifefdl-1,aaifefdl-1,10
aaigfcbk-1,aaigfcbk-1,10
aaiggoaj-1,aaiggoaj-1,10
aaigicap-1,aaigicap-1,8
aaiimbei-1,aaiimbei-1,10
aaijlcam-1,aaijlcam-1,8
aaimmeko-1,aaimmeko-1,8
aainkohl-1,aainkohl-1,8
aaioklkk-1,aaioklkk-1,10
aaipakee-1,aaipakee-1,1
aajbgmfc-1,aajbgmfc-1,10
aajbmlah-1,aajbmlah-1,10
aajbobec-1,aajbobec-1,10
aajcadao-1,aajcadao-1,8
aajcmnoi-1,aajcmnoi-1,8
aajeoana-1,aajeoana-1,10
aajggbhf-1,aajggbhf-1,10
aajhbnie-1,aajhbnie-1,10
aajhchcd-1,aajhchcd-1,4
aajhnmdo-1,aajhnmdo-1,10
aajjfbmj-1,aajjfbmj-1,4
aajjhmce-1,aajjhmce-1,4
aajjmnfk-1,aajjmnfk-1,10
aajjnmom-1,aajjnmom-1,4
aajkfhhd-1,aajkfhhd-1,4
aajkilii-1,aajkilii-1,10
aajllapg-1,aajllapg-1,4
aajpcgif-1,aajpcgif-1,4
aajpdnfo-1,aajpdnfo-1,4
aakbeglk-1,aakbeglk-1,4
aakcjodo-1,aakcjodo-1,4
aakckohg-1,aakckohg-1,4
aakcponc-1,aakcponc-1,10
aakddlgn-1,aakddlgn-1,10
aakeholc-1,aakeholc-1,4
aakfhajh-1,aakfhajh-1,10
aakfhbkj-1,aakfhbkj-1,10
aakfodcf-1,aakfodcf-1,4
aakhbamp-1,aakhbamp-1,4
aakindib-1,aakindib-1,4
aakkkcln-1,aakkkcln-1,10
aakmblop-1,aakmblop-1,13
aaknfpfh-1,aaknfpfh-1,2
aakngkio-1,aakngkio-1,13
aaknjngj-1,aaknjngj-1,2
aakofljb-1,aakofljb-1,13
