,cell_id,banksy_leiden_0.7
aaaajiec-1,aaaajiec-1,5
aaabokfk-1,aaabokfk-1,2
aaafaakd-1,aaafaakd-1,5
aaafablo-1,aaafablo-1,5
aaaflghc-1,aaaflghc-1,5
aaagclam-1,aaagclam-1,11
aaagnfjg-1,aaagnfjg-1,5
aaagpmci-1,aaagpmci-1,0
aaahfiaf-1,aaahfiaf-1,2
aaahkepc-1,aaahkepc-1,2
aaaigjkl-1,aaaigjkl-1,2
aaaihkhn-1,aaaihkhn-1,2
aaajapda-1,aaajapda-1,11
aaajebcj-1,aaajebcj-1,11
aaajkpdn-1,aaajkpdn-1,1
aaakahol-1,aaakahol-1,1
aaakamkl-1,aaakamkl-1,11
aaakaoki-1,aaakaoki-1,1
aaakddom-1,aaakddom-1,1
aaakpokj-1,aaakpokj-1,2
aaalmjpl-1,aaalmjpl-1,17
aaamadja-1,aaamadja-1,17
aaamfgeg-1,aaamfgeg-1,2
aaamgjdb-1,aaamgjdb-1,2
aaamkcdg-1,aaamkcdg-1,11
aaamlpak-1,aaamlpak-1,17
aaanaclo-1,aaanaclo-1,11
aaancokj-1,aaancokj-1,0
aaanhkig-1,aaanhkig-1,13
aaanjhbe-1,aaanjhbe-1,4
aaaokboj-1,aaaokboj-1,17
aaaolbdo-1,aaaolbdo-1,2
aaaooagh-1,aaaooagh-1,11
aaapkbhg-1,aaapkbhg-1,2
aaaplncg-1,aaaplncg-1,17
aaapnehi-1,aaapnehi-1,0
aababoej-1,aababoej-1,11
aabaebfp-1,aabaebfp-1,11
aabajlnk-1,aabajlnk-1,2
aabamnnp-1,aabamnnp-1,0
aabaodbi-1,aabaodbi-1,2
aabbdpgc-1,aabbdpgc-1,3
aabbieji-1,aabbieji-1,3
aabdbpdb-1,aabdbpdb-1,2
aabdiaco-1,aabdiaco-1,2
aabdnnpi-1,aabdnnpi-1,9
aabebifb-1,aabebifb-1,9
aabecopm-1,aabecopm-1,9
aabemgol-1,aabemgol-1,2
aabfgfme-1,aabfgfme-1,4
aabfghch-1,aabfghch-1,4
aabgcafo-1,aabgcafo-1,4
aabgkpbe-1,aabgkpbe-1,4
aabhhkij-1,aabhhkij-1,2
aabhhpmk-1,aabhhpmk-1,2
aabidlmb-1,aabidlmb-1,3
aabiedbb-1,aabiedbb-1,11
aabjojoa-1,aabjojoa-1,11
aabkfjaj-1,aabkfjaj-1,14
aabkfpfc-1,aabkfpfc-1,5
aablglpj-1,aablglpj-1,5
aabmldio-1,aabmldio-1,11
aabmmiah-1,aabmmiah-1,11
aabmnjgf-1,aabmnjgf-1,5
aabnepcn-1,aabnepcn-1,5
aaboglme-1,aaboglme-1,13
aabpiehi-1,aabpiehi-1,11
aacadajc-1,aacadajc-1,11
aacahjcd-1,aacahjcd-1,11
aacaildd-1,aacaildd-1,5
aacakhcp-1,aacakhcp-1,5
aacakofh-1,aacakofh-1,11
aacbcjej-1,aacbcjej-1,20
aacbifhg-1,aacbifhg-1,2
aacbjigd-1,aacbjigd-1,1
aaccndpl-1,aaccndpl-1,17
aacdgpgk-1,aacdgpgk-1,2
aacdlgjn-1,aacdlgjn-1,7
aacebojg-1,aacebojg-1,7
aaceogbf-1,aaceogbf-1,7
aacffelo-1,aacffelo-1,17
aacflckl-1,aacflckl-1,7
aacfogef-1,aacfogef-1,17
aacgdnhj-1,aacgdnhj-1,2
aacgneca-1,aacgneca-1,3
aachflgp-1,aachflgp-1,2
aachonoe-1,aachonoe-1,11
aacioojf-1,aacioojf-1,11
aacipijf-1,aacipijf-1,2
aacjbled-1,aacjbled-1,0
aacjgnkc-1,aacjgnkc-1,20
aacjimpg-1,aacjimpg-1,2
aackfnii-1,aackfnii-1,2
aaclcmhp-1,aaclcmhp-1,2
aaclpojj-1,aaclpojj-1,2
aacmdfeo-1,aacmdfeo-1,13
aacmfenp-1,aacmfenp-1,13
aacnehlj-1,aacnehlj-1,13
aacnkbic-1,aacnkbic-1,5
aacobamo-1,aacobamo-1,2
aacodbli-1,aacodbli-1,2
aacodllf-1,aacodllf-1,2
aacpieki-1,aacpieki-1,2
aacppbhi-1,aacppbhi-1,2
aadablmi-1,aadablmi-1,2
aadadnnm-1,aadadnnm-1,0
aadaihgn-1,aadaihgn-1,2
aadalmbk-1,aadalmbk-1,2
aadappae-1,aadappae-1,7
aadbicmj-1,aadbicmj-1,2
aaddelki-1,aaddelki-1,2
aaddfmih-1,aaddfmih-1,5
aadefcnd-1,aadefcnd-1,7
aadejkpa-1,aadejkpa-1,17
aadeodld-1,aadeodld-1,2
aadeplaa-1,aadeplaa-1,17
aadfmdji-1,aadfmdji-1,11
aadgbago-1,aadgbago-1,11
aadgciha-1,aadgciha-1,11
aadgdhnc-1,aadgdhnc-1,11
aadgjipk-1,aadgjipk-1,0
aadhnfca-1,aadhnfca-1,2
aadjgddj-1,aadjgddj-1,2
aadkcpca-1,aadkcpca-1,0
aadkeckd-1,aadkeckd-1,2
aadkefdn-1,aadkefdn-1,0
aadlgiln-1,aadlgiln-1,2
aadlheke-1,aadlheke-1,2
aadlknlj-1,aadlknlj-1,11
aadmhfpk-1,aadmhfpk-1,0
aadnfbnp-1,aadnfbnp-1,11
aadnpnmn-1,aadnpnmn-1,11
aadodfjf-1,aadodfjf-1,11
aadofgdk-1,aadofgdk-1,11
aadogipp-1,aadogipp-1,11
aadojbcp-1,aadojbcp-1,0
aadojood-1,aadojood-1,0
aadomecf-1,aadomecf-1,2
aadpakep-1,aadpakep-1,0
aadpbeik-1,aadpbeik-1,0
aadpbhnj-1,aadpbhnj-1,2
aadpmhjb-1,aadpmhjb-1,0
aaeaahab-1,aaeaahab-1,0
aaeadlll-1,aaeadlll-1,0
aaebcbep-1,aaebcbep-1,0
aaeddckp-1,aaeddckp-1,6
aaedmobm-1,aaedmobm-1,0
aaedohfc-1,aaedohfc-1,11
