,cell_id,initial_cell_type,banksy_leiden_0.7
aafiiejl-1,aafiiejl-1,Hepatocyte,NA
aafiifnn-1,aafiifnn-1,Hepatocyte,NA
aafilfio-1,aafilfio-1,Hepatocyte,NA
aafjikdb-1,aafjikdb-1,Hepatocyte,NA
aafkfmaf-1,aafkfmaf-1,Hepatocyte,NA
aafkmkdi-1,aafkmkdi-1,Hepatocyte,NA
aafledgo-1,aafledgo-1,Hepatocyte,NA
aaflgjpf-1,aaflgjpf-1,Hepatocyte,NA
aafmaffi-1,aafmaffi-1,Hepatocyte,NA
aafmdgcm-1,aafmdgcm-1,Tumor,NA
aafnkfno-1,aafnkfno-1,Hepatocyte,NA
aafolgio-1,aafolgio-1,Hepatocyte,NA
aafplbam-1,aafplbam-1,Hepatocyte,NA
aagabeel-1,aagabeel-1,Hepatocyte,NA
aagdaepf-1,aagdaepf-1,Cholangiocyte,NA
aagdbdme-1,aagdbdme-1,Cholangiocyte,NA
aagdbmbi-1,aagdbmbi-1,Hepatocyte,NA
aagdlbdo-1,aagdlbdo-1,Tumor,NA
aagenecf-1,aagenecf-1,Tumor,NA
aageohak-1,aageohak-1,Tumor,NA
aagfhpln-1,aagfhpln-1,Tumor,NA
aaghdhli-1,aaghdhli-1,Tumor,NA
aagjkmho-1,aagjkmho-1,Tumor,NA
aagknlde-1,aagknlde-1,Tumor,NA
aagleabe-1,aagleabe-1,Tumor,NA
aagmnhag-1,aagmnhag-1,Tumor,NA
aagpfeml-1,aagpfeml-1,Tumor,NA
aahaoipo-1,aahaoipo-1,Tumor,NA
aahcjgdn-1,aahcjgdn-1,Tumor,NA
aahebhgb-1,aahebhgb-1,Tumor,NA
aahemegl-1,aahemegl-1,Tumor,NA
aahgiaoc-1,aahgiaoc-1,Hepatocyte,NA
aahhbgno-1,aahhbgno-1,Lymphocyte,NA
aahjcimf-1,aahjcimf-1,Hepatocyte,NA
aahmnkhd-1,aahmnkhd-1,Hepatocyte,NA
aahnfice-1,aahnfice-1,Hepatocyte,NA
aahnonik-1,aahnonik-1,Hepatocyte,NA
aahokfhn-1,aahokfhn-1,Hepatocyte,NA
aaiagafp-1,aaiagafp-1,Fibroblast,NA
aaibbbgl-1,aaibbbgl-1,Hepatocyte,NA
aaibbnom-1,aaibbnom-1,Tumor,NA
aaibdddb-1,aaibdddb-1,Tumor,NA
aaibhedd-1,aaibhedd-1,Tumor,NA
aaibmlin-1,aaibmlin-1,Tumor,NA
aaidengl-1,aaidengl-1,Tumor,NA
aaidjobj-1,aaidjobj-1,Tumor,NA
aaigioal-1,aaigioal-1,Tumor,NA
aaiiclnn-1,aaiiclnn-1,Tumor,NA
aaikhkie-1,aaikhkie-1,Tumor,NA
aaikmelj-1,aaikmelj-1,Tumor,NA
aailcjae-1,aailcjae-1,Tumor,NA
aailflol-1,aailflol-1,Tumor,NA
aailmjmk-1,aailmjmk-1,Hepatocyte,NA
aaimjlkf-1,aaimjlkf-1,Tumor,NA
aainfebf-1,aainfebf-1,Hepatocyte,NA
aaiohnpg-1,aaiohnpg-1,Hepatocyte,NA
aaioiicf-1,aaioiicf-1,Hepatocyte,NA
aajaefom-1,aajaefom-1,Fibroblast,NA
aajbemda-1,aajbemda-1,Hepatocyte,NA
aajbmkee-1,aajbmkee-1,Hepatocyte,NA
aajdbbeg-1,aajdbbeg-1,Hepatocyte,NA
aajddemj-1,aajddemj-1,Hepatocyte,NA
aajdmghp-1,aajdmghp-1,Fibroblast,NA
aajdocgg-1,aajdocgg-1,Myeloid,NA
aajeaokj-1,aajeaokj-1,Hepatocyte,NA
aajefidl-1,aajefidl-1,Hepatocyte,NA
aajfbojk-1,aajfbojk-1,Hepatocyte,NA
aajgmlok-1,aajgmlok-1,Hepatocyte,NA
aajhonnp-1,aajhonnp-1,Hepatocyte,NA
aajiodmm-1,aajiodmm-1,Hepatocyte,NA
aajjgppk-1,aajjgppk-1,Hepatocyte,NA
aajjjoka-1,aajjjoka-1,Hepatocyte,NA
aajlepih-1,aajlepih-1,Hepatocyte,NA
aajllnnp-1,aajllnnp-1,Hepatocyte,NA
aajncinn-1,aajncinn-1,Hepatocyte,NA
aakaodae-1,aakaodae-1,Hepatocyte,NA
aakaomob-1,aakaomob-1,Hepatocyte,NA
aakbaiai-1,aakbaiai-1,Hepatocyte,NA
aakbcpdi-1,aakbcpdi-1,Hepatocyte,NA
aakbmloh-1,aakbmloh-1,Hepatocyte,NA
aakgihdg-1,aakgihdg-1,Hepatocyte,NA
aakhefdn-1,aakhefdn-1,Hepatocyte,NA
aakhhffn-1,aakhhffn-1,Hepatocyte,NA
aakhhkil-1,aakhhkil-1,Hepatocyte,NA
aakiamnf-1,aakiamnf-1,Hepatocyte,NA
aakigmbp-1,aakigmbp-1,Hepatocyte,NA
aakjlomh-1,aakjlomh-1,Hepatocyte,NA
aaklhmfc-1,aaklhmfc-1,Hepatocyte,NA
aakllgbj-1,aakllgbj-1,Hepatocyte,NA
aaklmagl-1,aaklmagl-1,Hepatocyte,NA
aaklmeha-1,aaklmeha-1,Hepatocyte,NA
aaklnogn-1,aaklnogn-1,Necrosis,NA
aaknjnhb-1,aaknjnhb-1,Hepatocyte,NA
aakoelpk-1,aakoelpk-1,Cholangiocyte,NA
aakpdplk-1,aakpdplk-1,Fibroblast,NA
aakpebon-1,aakpebon-1,Myeloid,NA
aalagbnd-1,aalagbnd-1,Hepatocyte,NA
aalbchcj-1,aalbchcj-1,Hepatocyte,NA
aalbnonj-1,aalbnonj-1,Hepatocyte,NA
aalcnbig-1,aalcnbig-1,Hepatocyte,NA
aalcnehk-1,aalcnehk-1,Hepatocyte,NA
aalecdoe-1,aalecdoe-1,Hepatocyte,NA
aalepgab-1,aalepgab-1,Hepatocyte,NA
aalfbikc-1,aalfbikc-1,Hepatocyte,NA
aalgcdcl-1,aalgcdcl-1,Hepatocyte,NA
aaligchk-1,aaligchk-1,Hepatocyte,NA
aalkheno-1,aalkheno-1,Hepatocyte,NA
aalkmcnn-1,aalkmcnn-1,Hepatocyte,NA
aalmpdhd-1,aalmpdhd-1,Hepatocyte,NA
aalnbecb-1,aalnbecb-1,Hepatocyte,NA
aalnmgag-1,aalnmgag-1,Hepatocyte,NA
aalnoiob-1,aalnoiob-1,Hepatocyte,NA
aambhinc-1,aambhinc-1,Hepatocyte,NA
aamcfkge-1,aamcfkge-1,Hepatocyte,NA
aamcflik-1,aamcflik-1,Hepatocyte,NA
aamdlbjo-1,aamdlbjo-1,Hepatocyte,NA
aamdoabf-1,aamdoabf-1,Hepatocyte,NA
aamggpmc-1,aamggpmc-1,Hepatocyte,NA
aamgnoia-1,aamgnoia-1,Hepatocyte,NA
aamidmko-1,aamidmko-1,Hepatocyte,NA
aamjmmbp-1,aamjmmbp-1,Smooth muscle,NA
aamjpjfc-1,aamjpjfc-1,Hepatocyte,NA
aammbfmm-1,aammbfmm-1,Hepatocyte,NA
aamnimba-1,aamnimba-1,Hepatocyte,NA
aamnkjjp-1,aamnkjjp-1,Hepatocyte,NA
aanaohce-1,aanaohce-1,Hepatocyte,NA
aancdeie-1,aancdeie-1,Hepatocyte,NA
aanchbof-1,aanchbof-1,Myeloid,NA
aandpeme-1,aandpeme-1,Hepatocyte,NA
aaneedkk-1,aaneedkk-1,Hepatocyte,NA
aanfbmpj-1,aanfbmpj-1,Fibroblast,NA
aanfhagf-1,aanfhagf-1,Hepatocyte,NA
aanfmmmh-1,aanfmmmh-1,Hepatocyte,NA
aangdmdl-1,aangdmdl-1,Hepatocyte,NA
aanhokeb-1,aanhokeb-1,Hepatocyte,NA
aanjpada-1,aanjpada-1,Endothelial-Mural Cell,NA
aankgfob-1,aankgfob-1,Hepatocyte,NA
aankikkn-1,aankikkn-1,Hepatocyte,NA
aanndlib-1,aanndlib-1,Hepatocyte,NA
aanonlkf-1,aanonlkf-1,Fibroblast,NA
aanpamfi-1,aanpamfi-1,Hepatocyte,NA
aaocjfpi-1,aaocjfpi-1,Hepatocyte,NA
aaockpmp-1,aaockpmp-1,Hepatocyte,NA
aaodhimc-1,aaodhimc-1,Hepatocyte,NA
aaogbkcf-1,aaogbkcf-1,Hepatocyte,NA
aaogckcc-1,aaogckcc-1,Hepatocyte,NA
aaojeigi-1,aaojeigi-1,Hepatocyte,NA
aaojmndp-1,aaojmndp-1,Hepatocyte,NA
aaojnghh-1,aaojnghh-1,Hepatocyte,NA
aaokkdpa-1,aaokkdpa-1,Hepatocyte,NA
aaoklapf-1,aaoklapf-1,Hepatocyte,NA
aaolpipg-1,aaolpipg-1,Hepatocyte,NA
abdojbma-1,abdojbma-1,Hepatocyte,NA
abdpjcef-1,abdpjcef-1,Hepatocyte,NA
abdpkppo-1,abdpkppo-1,Hepatocyte,NA
abeafoii-1,abeafoii-1,Hepatocyte,NA
abeamlee-1,abeamlee-1,Hepatocyte,NA
abebcmag-1,abebcmag-1,Hepatocyte,NA
abedanma-1,abedanma-1,Hepatocyte,NA
abedonil-1,abedonil-1,Myeloid,NA
abegmgce-1,abegmgce-1,Hepatocyte,NA
abejapco-1,abejapco-1,Hepatocyte,NA
abekdaia-1,abekdaia-1,Hepatocyte,NA
abekfjpk-1,abekfjpk-1,Hepatocyte,NA
abekiihl-1,abekiihl-1,Hepatocyte,NA
abemdkec-1,abemdkec-1,Hepatocyte,NA
abeojgff-1,abeojgff-1,Hepatocyte,NA
abeomnjh-1,abeomnjh-1,Hepatocyte,NA
abeoocch-1,abeoocch-1,Hepatocyte,NA
abfaekkh-1,abfaekkh-1,Hepatocyte,NA
abfcnnao-1,abfcnnao-1,Hepatocyte,NA
abfephpb-1,abfephpb-1,Hepatocyte,NA
abfgjgdk-1,abfgjgdk-1,Myeloid,NA
