,cell_id,banksy_leiden_0.7
aaaaecnj-1,aaaaecnj-1,10
aaaainpc-1,aaaainpc-1,10
aaaapapp-1,aaaapapp-1,10
aaabappf-1,aaabappf-1,10
aaabcadk-1,aaabcadk-1,10
aaabfbkl-1,aaabfbkl-1,10
aaabjehh-1,aaabjehh-1,10
aaabkihf-1,aaabkihf-1,10
aaacafjb-1,aaacafjb-1,10
aaacjpli-1,aaacjpli-1,10
aaacpdbk-1,aaacpdbk-1,10
aaacpihk-1,aaacpihk-1,10
aaadpcig-1,aaadpcig-1,10
aaadpflh-1,aaadpflh-1,10
aaaeihfh-1,aaaeihfh-1,10
aaaelnfc-1,aaaelnfc-1,10
aaaelpbm-1,aaaelpbm-1,10
aaaenlko-1,aaaenlko-1,10
aaafccem-1,aaafccem-1,10
aaaficec-1,aaaficec-1,10
aaafmblk-1,aaafmblk-1,10
aaagcika-1,aaagcika-1,10
aaagijde-1,aaagijde-1,10
aaagnomi-1,aaagnomi-1,10
aaagpgcf-1,aaagpgcf-1,10
aaahdjip-1,aaahdjip-1,10
aaahemnn-1,aaahemnn-1,10
aaahgodb-1,aaahgodb-1,10
aaahjcip-1,aaahjcip-1,10
aaahmafm-1,aaahmafm-1,10
aaahmoof-1,aaahmoof-1,10
aaaidabd-1,aaaidabd-1,10
aaaiidcc-1,aaaiidcc-1,10
aaaijcll-1,aaaijcll-1,10
aaajdfmk-1,aaajdfmk-1,10
aaajinfh-1,aaajinfh-1,10
aaajkpno-1,aaajkpno-1,10
aaakejnp-1,aaakejnp-1,10
aaakghoc-1,aaakghoc-1,21
aaakiiig-1,aaakiiig-1,10
aaaldflp-1,aaaldflp-1,4
aaalgfgg-1,aaalgfgg-1,4
aaalnbma-1,aaalnbma-1,4
aaalnoio-1,aaalnoio-1,21
aaalpokg-1,aaalpokg-1,4
aaamfjmg-1,aaamfjmg-1,10
aaamgijo-1,aaamgijo-1,4
aaamjfng-1,aaamjfng-1,4
aaamnbmp-1,aaamnbmp-1,4
aaangmbc-1,aaangmbc-1,4
aaapbjbh-1,aaapbjbh-1,10
aaapjjgn-1,aaapjjgn-1,10
aabafkla-1,aabafkla-1,10
aabafmcp-1,aabafmcp-1,10
aabaicma-1,aabaicma-1,10
aabbhdom-1,aabbhdom-1,4
aabbhike-1,aabbhike-1,4
aabbhpgm-1,aabbhpgm-1,4
aabbigci-1,aabbigci-1,10
aabcempl-1,aabcempl-1,4
aabcilel-1,aabcilel-1,4
aabdgecl-1,aabdgecl-1,4
aabdkdcc-1,aabdkdcc-1,4
aabdmccm-1,aabdmccm-1,21
aabehnal-1,aabehnal-1,4
aabfcbfp-1,aabfcbfp-1,21
aabfipig-1,aabfipig-1,21
aabggmpc-1,aabggmpc-1,21
aabghhfh-1,aabghhfh-1,3
aabgljih-1,aabgljih-1,7
aabhkkah-1,aabhkkah-1,1
aabhpbbp-1,aabhpbbp-1,3
aabiahnk-1,aabiahnk-1,21
aabiddck-1,aabiddck-1,10
aabincko-1,aabincko-1,21
aabjafjn-1,aabjafjn-1,4
aabjibog-1,aabjibog-1,21
aabjikhi-1,aabjikhi-1,4
aabjmddk-1,aabjmddk-1,4
aabkbfnf-1,aabkbfnf-1,4
aabkcejd-1,aabkcejd-1,4
