,cell_id,banksy_leiden_0.7
aaaceoji-1,aaaceoji-1,16
aaacfffj-1,aaacfffj-1,16
aaachdnn-1,aaachdnn-1,16
aaacknip-1,aaacknip-1,18
aaadfegj-1,aaadfegj-1,16
aaadnmoh-1,aaadnmoh-1,16
aaaefdkc-1,aaaefdkc-1,18
aaafbhob-1,aaafbhob-1,16
aaafmlol-1,aaafmlol-1,16
aaagkleg-1,aaagkleg-1,16
aaahicdj-1,aaahicdj-1,16
aaaibphh-1,aaaibphh-1,16
aaaifnfg-1,aaaifnfg-1,16
aaajkegk-1,aaajkegk-1,18
aaalennp-1,aaalennp-1,16
aaalgbfg-1,aaalgbfg-1,16
aaamgpfa-1,aaamgpfa-1,6
aaamjoej-1,aaamjoej-1,16
aaampglg-1,aaampglg-1,6
aaancnck-1,aaancnck-1,16
aaanklnm-1,aaanklnm-1,16
aaanmcaa-1,aaanmcaa-1,16
aaapehhb-1,aaapehhb-1,16
aabachdd-1,aabachdd-1,16
aabacmdk-1,aabacmdk-1,16
aabaohhl-1,aabaohhl-1,16
aabbekej-1,aabbekej-1,16
aabbpjga-1,aabbpjga-1,16
aabdbfca-1,aabdbfca-1,16
aabdlblp-1,aabdlblp-1,16
aabfdbnd-1,aabfdbnd-1,16
aabfkoga-1,aabfkoga-1,16
aabiigef-1,aabiigef-1,16
aabjfjdm-1,aabjfjdm-1,16
aabjiphj-1,aabjiphj-1,16
aabjknej-1,aabjknej-1,16
aabkfgbh-1,aabkfgbh-1,16
aabnbopm-1,aabnbopm-1,16
aabniiep-1,aabniiep-1,16
aabnjjpb-1,aabnjjpb-1,16
aabnkbnl-1,aabnkbnl-1,16
aaboibmi-1,aaboibmi-1,20
aaboppkd-1,aaboppkd-1,16
aabpdefc-1,aabpdefc-1,16
aabpdpia-1,aabpdpia-1,16
aabphghi-1,aabphghi-1,16
aabplnfi-1,aabplnfi-1,16
aacampng-1,aacampng-1,16
aacapbaa-1,aacapbaa-1,16
aacbpebd-1,aacbpebd-1,16
aaccfejg-1,aaccfejg-1,16
aacdibbi-1,aacdibbi-1,16
aachmaio-1,aachmaio-1,16
aacihcif-1,aacihcif-1,16
aaciofdi-1,aaciofdi-1,16
aacjdfgp-1,aacjdfgp-1,16
aackgpgb-1,aackgpgb-1,16
aacodfel-1,aacodfel-1,16
aacpbgch-1,aacpbgch-1,16
aacpedkp-1,aacpedkp-1,6
aacphjah-1,aacphjah-1,16
aadboohf-1,aadboohf-1,16
aadckmja-1,aadckmja-1,16
aaddgbni-1,aaddgbni-1,16
aaddnicg-1,aaddnicg-1,6
aadebjno-1,aadebjno-1,4
aadeijnj-1,aadeijnj-1,4
aadfkfcb-1,aadfkfcb-1,3
aadgpamb-1,aadgpamb-1,2
aadialcn-1,aadialcn-1,4
