#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4"
"#Areas (µm^2): 244200.7, 78681.8, 15953.1, 8421.4"
Selection,X,Y
Selection 1,4178.92170554528,556.1145520227413
Selection 1,4217.30690170395,518.5307621714138
Selection 1,4227.768502959247,507.9998501003469
Selection 1,4251.147907503692,498.9591205683367
Selection 1,4390.930495208007,464.550632464476
Selection 1,4559.542050346691,430.9002314081007
Selection 1,4615.883079715798,418.0560708607072
Selection 1,4668.593955108946,405.3332042409113
Selection 1,4716.093523541382,399.77534320134777
Selection 1,4735.67382899643,401.59908404129806
Selection 1,4777.048054085184,403.51812725293223
Selection 1,4817.239663379861,411.18996817348335
Selection 1,4849.174621745927,428.9032135287252
Selection 1,4873.476726525312,438.83631981377516
Selection 1,4895.482910532313,466.2790709327425
Selection 1,4905.784230526142,519.8909869309018
Selection 1,4911.320431935777,552.7616413098636
Selection 1,4904.896185699087,579.125742858409
Selection 1,4885.818383658372,618.7498698489685
Selection 1,4864.69591255244,645.6814537016313
Selection 1,4843.274538553498,664.7159364824904
Selection 1,4824.625597185361,675.1255546259597
Selection 1,4765.239223848356,698.9684752508683
Selection 1,4711.233102585504,717.6304123969632
Selection 1,4693.108324261628,725.0986527961896
Selection 1,4672.0811555273785,731.6918441463188
Selection 1,4630.585636511027,748.1401671137565
Selection 1,4585.247699145421,757.6314169482725
Selection 1,4565.979292361339,762.9336943546837
Selection 1,4533.23426383596,772.4206122632139
Selection 1,4514.264759944885,778.1387545642458
Selection 1,4495.269264497897,784.1644636102573
Selection 1,4474.917876217406,790.155517248384
Selection 1,4444.473100390397,797.194896975033
Selection 1,4419.759462642376,805.4732075335722
Selection 1,4380.001045946263,816.5066230189724
Selection 1,4360.160824932076,823.9315441583425
Selection 1,4329.061928281237,833.5267602165134
Selection 1,4301.85743309148,845.3355904533413
Selection 1,4278.395721953307,854.6925505823025
Selection 1,4261.605176833004,858.5782881914129
Selection 1,4241.396742110039,861.7059387530378
Selection 1,4213.308534019213,863.0704954385113
Selection 1,4189.46994532029,857.6209325485886
Selection 1,4175.69008876,845.7991065338038
Selection 1,4157.64761702985,825.7466211463216
Selection 1,4140.809420723705,804.2689321095671
Selection 1,4131.1189022938515,783.042494779979
Selection 1,4122.82326403137,753.9796033423862
Selection 1,4114.6359239185285,714.6847027267347
Selection 1,4112.0757556610215,686.2845959649432
Selection 1,4113.046107081802,664.2784119579417
Selection 1,4123.6246703387105,631.8192905476146
Selection 1,4147.614876447131,591.450072287527
Selection 1,4178.92170554528,556.1145520227413
Selection 2,4976.760462127499,492.5530774962969
Selection 2,4992.332526911057,488.7927628312156
Selection 2,5001.0750614258895,491.4310269288688
Selection 2,5013.740831297093,499.25910337001295
Selection 2,5026.524850057135,506.7245498853841
Selection 2,5038.767551681603,514.8837232152775
Selection 2,5049.830392170767,525.9938632599764
Selection 2,5063.347554041611,534.5235497748987
Selection 2,5079.8708654420525,551.7852597923127
Selection 2,5092.066267510984,564.7295714905591
Selection 2,5101.778442914298,578.0549073861758
Selection 2,5104.658460295799,590.6365891586493
Selection 2,5113.164497032954,605.4334667820406
Selection 2,5109.9428717503615,617.7234679620444
Selection 2,5104.645321530373,633.8972882021392
Selection 2,5094.213141781685,644.5291771853111
Selection 2,5081.03233230576,653.6080640950638
Selection 2,5058.388983969628,669.20377865639
Selection 2,5043.46071869197,683.4829889219749
Selection 2,5023.747315045961,698.3245383478165
Selection 2,5011.906659643545,705.4299826905
Selection 2,5003.931429029623,715.0501867358269
Selection 2,4989.849300245437,726.609672558114
Selection 2,4976.1849842018155,732.929418728289
