#Selection names:,Selection 1
#Areas (µm^2): 5688801.9
Selection,X,Y
Selection 1,10066.484125851473,341.29398975544217
Selection 1,10201.329359875623,207.5669845012512
Selection 1,10235.99445174427,172.6387799808501
Selection 1,10398.53229236557,113.24109884728666
Selection 1,10559.590124320754,146.7879619459771
Selection 1,10556.893219640271,462.65470037717483
Selection 1,10599.879249120651,1037.0625082385727
Selection 1,10774.914940700288,1925.2650423986026
Selection 1,10840.857549046243,2757.556138060815
Selection 1,10891.934292568072,3754.0295284177946
Selection 1,11025.26662884463,4450.98205383382
Selection 1,11266.047594281408,5139.67941980105
Selection 1,11470.12434479844,5982.98835775548
Selection 1,11356.130788425833,6370.915073685924
Selection 1,11189.284478132051,6497.011812039235
Selection 1,11046.184084659108,6494.347796440223
Selection 1,10919.429564676411,6438.370579779466
Selection 1,10861.446114046026,6298.26309272023
Selection 1,10870.29327696127,6119.839825749255
Selection 1,10741.532523008944,5892.214492900201
Selection 1,10693.350018656412,5736.879361120677
Selection 1,10609.055302850586,5546.451579413405
Selection 1,10486.872365192121,5216.9687612539155
Selection 1,10279.342261120812,4771.354596426313
Selection 1,10144.299692607849,4527.58072457583
Selection 1,9979.72272893545,4222.238492214809
Selection 1,9728.219922939681,3850.493204367264
Selection 1,9596.696486143932,3581.2631834595395
Selection 1,9606.72765599207,3426.552944227932
Selection 1,9652.575035560281,3195.3755905801936
Selection 1,9691.285484449652,3042.3426945035203
Selection 1,9711.24915690152,2852.2766926924114
Selection 1,9709.900704561278,2660.599125889307
Selection 1,9705.690902133207,2521.313865866803
Selection 1,9699.474865735509,2262.674129192195
Selection 1,9701.711323275422,2030.773215752131
Selection 1,9711.841160367967,1744.9342087024072
Selection 1,9752.064507004925,1345.2332016059534
Selection 1,9879.147917802316,944.315298495135
Selection 1,10017.97273068425,523.5323901768568
Selection 1,10066.484125851473,341.29398975544217
