#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8, Selection 9, Selection 10, Selection 12, Selection 14, Selection 15, Selection 16, Selection 17, Selection 18, Selection 20, Selection 21, Selection 22, Selection 23, Selection 24, Selection 25, Selection 26"
"#Areas (µm^2): 73452.4, 4546.9, 48739.0, 881315.4, 207617.3, 71806.4, 142028.1, 68367.9, 276202.4, 92268.3, 6999.8, 46489.2, 357082.1, 616969.5, 8496376.1, 946366.8, 48600.6, 8127.4, 846412.0, 1231065.0, 1012393.6, 1525288.3, 321422.7"
Selection,X,Y
Selection 1,5113.355355211617,8345.875312205106
Selection 1,5153.906967467903,8350.618307536262
Selection 1,5154.439140857093,8350.71143787937
Selection 1,5185.82406648458,8365.904988140748
Selection 1,5224.380028531403,8393.631221717553
Selection 1,5243.0060971530565,8420.712195059965
Selection 1,5268.051507281816,8486.754912658456
Selection 1,5270.366461524793,8569.328266158667
Selection 1,5246.751267379482,8630.428423405056
Selection 1,5209.492477968809,8675.902639511349
Selection 1,5185.6976753046465,8684.058196700687
Selection 1,5115.291135914796,8684.883065453932
Selection 1,5083.520384580147,8667.248169769644
Selection 1,5056.958280292196,8644.697322402715
Selection 1,5034.626954448306,8623.483560676124
Selection 1,5016.852363249356,8598.943715267096
Selection 1,5000.627727046423,8576.791997942057
Selection 1,4990.729302007488,8537.105167443204
Selection 1,4991.833561790057,8502.826549011997
Selection 1,4999.330554410272,8476.630313929116
Selection 1,5006.514895164339,8448.817602176567
Selection 1,5017.584101659493,8418.743153519961
Selection 1,5049.028896793263,8377.579541866106
Selection 1,5087.33207648022,8354.729346967755
Selection 1,5113.355355211617,8345.875312205106
Selection 2,5392.0346026283805,8808.26746573766
Selection 2,5426.007221360804,8817.28780468443
Selection 2,5427.683567536753,8821.099496584504
Selection 2,5439.218425747448,8854.16076838794
Selection 2,5393.870600821086,8914.18327452122
Selection 2,5370.860753905979,8875.088486917843
Selection 2,5370.168928500032,8845.612733324073
Selection 2,5392.0346026283805,8808.26746573766
Selection 3,5528.144599081115,8988.953635702428
Selection 3,5568.396863805981,8971.471739867533
Selection 3,5585.286716745402,8974.212432821863
Selection 3,5617.077424582146,8983.25272827073
Selection 3,5652.420389791734,9000.841058783464
Selection 3,5682.082404071718,9029.558465297634
Selection 3,5727.483446336999,9058.761480029441
Selection 3,5778.425744017221,9115.910249861094
Selection 3,5783.767434411217,9151.452780091628
Selection 3,5761.901760282869,9183.888748162764
Selection 3,5733.6832663210635,9204.543727830705
Selection 3,5691.841133595992,9213.70376229214
Selection 3,5644.045311079355,9208.608202090645
Selection 3,5574.117727739776,9192.822608933793
Selection 3,5533.4663329730165,9169.493457985172
Selection 3,5511.361180819532,9145.41261212432
Selection 3,5495.242979294438,9103.743435750735
Selection 3,5493.42028543646,9076.34315837481
Selection 3,5500.045844131877,9045.989318688878
Selection 3,5528.144599081115,8988.953635702428
Selection 4,5543.590931702357,7925.744377941611
Selection 4,5554.420660172375,7921.792990526873
Selection 4,5588.8389741182455,7936.680541089468
Selection 4,5618.341336381472,7967.752814850804
Selection 4,5639.362185254481,7997.082220762544
