#Selection names:,Selection 1
#Areas (µm^2): 9921761.7
Selection,X,Y
Selection 1,7193.37311422756,677.5212396794165
Selection 1,7150.062539174419,744.5794558057821
Selection 1,7106.008778435309,866.7134480754904
Selection 1,7085.702658769422,993.6724304910341
Selection 1,7058.239089266348,1096.8609045814774
Selection 1,7041.980473182513,1159.6315109810932
Selection 1,7012.721824407172,1301.7514813904243
Selection 1,6981.187884070171,1407.3067160500334
Selection 1,6946.612599233659,1503.943722478003
Selection 1,6933.0180179933795,1562.4267191508693
Selection 1,6919.835047286866,1652.9696029538857
Selection 1,6881.06362173111,1731.3471087588705
Selection 1,6846.282531627716,1773.4685867144597
Selection 1,6808.1056546207365,1833.7237954077157
Selection 1,6765.812672276079,1855.9736314830625
Selection 1,6684.096547697197,1876.3140520267632
Selection 1,6632.290788572122,1881.7678915991887
Selection 1,6545.875443732723,1908.225302019719
Selection 1,6489.564835988077,1949.8093995562224
Selection 1,6426.4512208103215,1984.6819586671204
Selection 1,6389.2119011302575,2012.6829085892803
Selection 1,6346.049963214311,2060.978544551389
Selection 1,6296.050716987441,2113.20734783617
Selection 1,6283.976807996913,2158.324435787515
Selection 1,6280.043640674241,2207.84346972499
Selection 1,6266.288988670827,2278.228870999313
Selection 1,6246.3258777830815,2326.4559052057944
Selection 1,6215.409353246731,2397.2757842657616
Selection 1,6173.745220328661,2427.449123116142
Selection 1,6116.66855964617,2449.3788176652242
Selection 1,6008.197750372371,2470.576760154275
Selection 1,5861.7673029844145,2480.329643079388
Selection 1,5689.645498113773,2453.151914224764
Selection 1,5642.57326012703,2448.178286941734
Selection 1,5575.583645756293,2442.2671023317885
Selection 1,5476.888586659483,2428.5353175802516
Selection 1,5400.27185924895,2417.010222634748
Selection 1,5329.269042173974,2400.362863269021
Selection 1,5266.864311804375,2384.6759284820864
Selection 1,5145.747912243149,2349.0144491814667
Selection 1,5071.875255057736,2323.39169345441
Selection 1,5021.8760088308645,2290.0741074710804
Selection 1,4941.749158257366,2274.5929779510293
Selection 1,4894.070938095909,2246.8664350513814
Selection 1,4860.513245967881,2194.3174902403366
Selection 1,4819.843838506418,2145.5759428666456
Selection 1,4816.74532587722,2088.4878485582153
Selection 1,4819.386493468897,2030.7366039453811
Selection 1,4842.779692138044,1978.2219600121505
Selection 1,4864.835156572444,1931.7671378260595
Selection 1,4930.338399571243,1890.4117128083162
Selection 1,4985.791485370539,1864.2858775399877
Selection 1,5046.652676238509,1845.7634035204292
Selection 1,5090.169056558534,1830.293707626316
Selection 1,5132.416304399441,1800.7034836987739
Selection 1,5174.549215980968,1760.6171911601486
Selection 1,5230.848390099677,1717.2608816032555
Selection 1,5288.050820667488,1661.3390171405008
Selection 1,5322.203061344291,1618.577256132384
Selection 1,5357.658735378026,1576.9474240921284
Selection 1,5405.668530691685,1530.8699115619913
Selection 1,5423.493553529026,1488.4168584542
Selection 1,5454.3300426838105,1434.4958785305957
Selection 1,5486.492832447402,1391.5283122555943
Selection 1,5538.515830465299,1314.2827354184712
Selection 1,5568.391895041291,1265.2324801444547
Selection 1,5590.664598368513,1214.7987561319399
Selection 1,5614.492274823304,1167.520712878313
Selection 1,5648.564480118543,1094.4712767604358
Selection 1,5675.730775347228,1030.0885291035618
Selection 1,5702.805601568411,988.8017058414464
Selection 1,5734.2595065238465,939.2369374002195
Selection 1,5760.739784196253,873.9166324164299
Selection 1,5801.980872954616,798.2603295846886
Selection 1,5818.319524420016,747.5979330534141
Selection 1,5865.8376738183415,664.4068707285313
Selection 1,5913.3443895907285,523.6589354317605
Selection 1,5952.904735336206,410.4203041418158
Selection 1,5903.991683573446,323.7076850280294
Selection 1,5747.305273719104,249.6520898276081
Selection 1,5676.622598170391,199.6985781044894
Selection 1,5600.909127208961,176.01953878689295
Selection 1,5305.40706484137,59.84246563088238
Selection 1,4916.149269782185,-38.90976159561721
Selection 1,4633.121293312951,-39.298504877509195
Selection 1,4343.919158837199,-36.64590365989337
Selection 1,4149.158774609318,-79.08752314174662
Selection 1,3928.6612983950026,-113.91434774889238
Selection 1,3876.7297693846103,-115.61795801365426
Selection 1,3767.9616858364234,-173.24343274117055
Selection 1,3479.6399405578964,-173.9065830455745
Selection 1,3385.4840309584724,-160.86081585031735
Selection 1,3158.537989715125,-122.52386808020582
Selection 1,2977.7380627575426,-87.92571599182007
Selection 1,2825.750873163718,-41.20792040915507
Selection 1,2729.068132231996,10.83794486061754
Selection 1,2660.294872214931,60.80289020967433
Selection 1,2616.9614299099135,102.79859827994561
Selection 1,2577.83556195008,140.54099750128117
Selection 1,2565.121369907025,204.77510802096108
Selection 1,2559.770432968041,259.8966186680555
Selection 1,2561.382574225299,308.03218386703236
Selection 1,2569.9920945566128,398.4264305328545
Selection 1,2577.755526568514,447.0993761509174
Selection 1,2596.929717266539,492.1249950947585
Selection 1,2613.908651784468,564.0768031225879
Selection 1,2626.5428084459572,620.7647205231882
Selection 1,2635.9183817151165,673.9653820126988
Selection 1,2642.972928918862,738.3481296695726
Selection 1,2647.6835828053177,789.7537118868172
Selection 1,2652.7143782180374,859.4759628567368
Selection 1,2653.960643445279,934.1375402318719
Selection 1,2659.700323666155,979.826309480117
Selection 1,2668.7100209052983,1029.2996089138398
Selection 1,2683.9510442806513,1091.2812951237338
Selection 1,2698.254510329088,1149.4441502703362
Selection 1,2715.1648430913897,1202.8391834007928
Selection 1,2744.6635980114274,1238.6950343423584
Selection 1,2798.9733212169235,1241.1646975449662
Selection 1,2846.9716829046447,1300.1050392553525
Selection 1,2883.5592859062426,1369.4728478211937
Selection 1,2905.4775468293874,1416.5222185560608
Selection 1,2908.415988695453,1467.5962256211037
Selection 1,2882.9190028537146,1507.122270488767
Selection 1,2822.961068434846,1563.6615507521733
Selection 1,2742.3082710681992,1591.5481644149534
Selection 1,2685.483150156343,1601.929896766657
Selection 1,2631.2991968361644,1589.4786781201758
Selection 1,2609.906882706168,1533.5225127796073
Selection 1,2603.5726539365164,1483.6719036899306
Selection 1,2594.071310782039,1408.6558839107174
Selection 1,2592.424868646967,1334.337315313722
Selection 1,2590.435417733756,1281.5596979839174
Selection 1,2580.110853511742,1220.3326310859316
Selection 1,2569.134572611263,1164.467934752867
Selection 1,2544.0949318070443,1113.5768657028325
Selection 1,2538.446720593673,1058.1580807813498
Selection 1,2536.217163535763,991.5572096925042
Selection 1,2524.6806349643216,922.4295072713608
Selection 1,2508.593523269557,872.08725226635
Selection 1,2498.005985650969,826.650022788741
Selection 1,2491.786093140698,774.1811133592623
Selection 1,2481.8388385746384,721.8722746929155
Selection 1,2477.4711934663223,668.6373123255911
Selection 1,2475.321671789979,608.919484051421
Selection 1,2469.319018172529,547.9782578018848
Selection 1,2463.2820636772653,492.84531352885244
Selection 1,2455.8044723138137,401.0218636207803
Selection 1,2448.4640844616188,341.0639292019123
Selection 1,2429.2441592598416,278.78496871763025
Selection 1,2405.7251907053774,229.90621783268344
Selection 1,2373.3565956749017,155.56478198381222
Selection 1,2301.0960797467465,53.65687399842479
Selection 1,2247.152232571266,31.658577693714196
Selection 1,2102.0366521661795,28.25135716419044
Selection 1,1950.8155155102013,33.93386925537606
Selection 1,1779.3568609439637,72.2022152698596
Selection 1,1599.0714471535916,118.83997547095858
Selection 1,1460.9761130744364,151.1399687458065
Selection 1,1353.9688079207015,170.13122142882327
Selection 1,1263.2429861026772,199.19549856321737
Selection 1,1070.2433802692499,303.6759723846547
Selection 1,984.7541591308292,412.5926930700356
Selection 1,925.1506671160392,539.7803480043394
Selection 1,894.0397709387429,605.9124404297272
Selection 1,873.4706778762825,685.284671691318
Selection 1,861.796945793585,761.0896116602531
Selection 1,882.6861803823099,837.763507200476
Selection 1,905.9193082883241,910.8472441961675
Selection 1,915.5921558318717,971.5140634231915
Selection 1,932.0222763047765,1096.6207984367795
Selection 1,980.6723546709634,1117.773006422078
Selection 1,1017.1227541613051,1152.817069922046
Selection 1,1062.7429216539224,1186.4090629278878
Selection 1,1108.3059210168492,1226.392452833071
Selection 1,1158.93401667031,1242.9826440691081
Selection 1,1159.265591822512,1242.9826440691081
Selection 1,1207.595528662435,1258.418039085407
Selection 1,1260.0873053437895,1275.694247877724
Selection 1,1303.7408891750708,1289.0601565992451
Selection 1,1355.3751439110752,1300.4823489113062
Selection 1,1402.2415766309343,1311.7673377121116
Selection 1,1458.7008215127746,1315.0830892341312
Selection 1,1509.4661206774915,1326.7568213168286
Selection 1,1557.0300045795682,1354.048886430833
Selection 1,1586.1514498436522,1403.1448762086018
Selection 1,1633.0293161894494,1436.7711700922575
Selection 1,1693.3073921345817,1487.364964867904
Selection 1,1739.6364444353546,1519.1390113496043
Selection 1,1788.0807175346577,1567.0116031520072
Selection 1,1826.3833644269548,1614.586920680022
Selection 1,1839.0975564700097,1691.9697010284008
Selection 1,1811.073739295974,1758.0789262019127
Selection 1,1801.9725730493262,1854.2585875923623
Selection 1,1795.7869814168687,1906.979036792477
