#Selection names:,Selection 1
#Areas (µm^2): 426959.0
Selection,X,Y
Selection 1,4159.032329248314,542.141696515436
Selection 1,4164.539413189543,539.4541824469043
Selection 1,4193.652364394076,529.1966586315519
Selection 1,4211.008779952203,523.2006113073377
Selection 1,4240.146714687255,516.6906170696194
Selection 1,4298.254837595309,506.0226495386214
Selection 1,4339.902382968082,504.70209149697894
Selection 1,4411.55871756823,493.75216697871144
Selection 1,4475.466588632147,475.03593354527106
Selection 1,4526.183155582794,450.80190894323835
Selection 1,4555.585201926173,445.71597594502083
Selection 1,4590.687062303345,445.17704550099927
Selection 1,4611.31988943506,440.4908489910627
Selection 1,4638.591197532871,430.2797231609573
Selection 1,4675.184931589519,416.55662675524064
Selection 1,4746.498634913999,395.9559213056187
Selection 1,4792.28273912532,389.7635748130521
Selection 1,4810.977558104031,391.8550532249507
Selection 1,4833.009462944731,395.76319121305465
Selection 1,4857.93231917389,399.0074811045492
Selection 1,4912.107320563324,408.4940845496454
Selection 1,4944.7679331013505,422.8774599761832
Selection 1,4977.671242792976,443.2640208785118
Selection 1,4991.451444411305,450.3200837118283
Selection 1,5002.961713828324,461.8374912804232
Selection 1,5055.3807299299515,505.9691134017981
Selection 1,5116.790247942113,569.3166395669643
Selection 1,5135.667089786023,584.1140277849361
Selection 1,5148.790581459319,593.5292497142678
Selection 1,5161.23951780864,614.6046422437233
Selection 1,5164.537343836957,633.7241812412328
Selection 1,5164.298215759146,651.8229645633107
Selection 1,5150.2431953051255,677.1669717354807
Selection 1,5131.923129284178,687.7814031296552
Selection 1,5117.536184781851,695.4691923774872
Selection 1,5102.546066471316,707.8396090594674
Selection 1,5089.968643393619,717.1299133362113
Selection 1,5072.615796911279,727.1233255432352
Selection 1,5058.760644701399,730.438996950494
Selection 1,5042.499935410256,733.6154744020124
Selection 1,5025.489720203586,737.070339765012
Selection 1,5005.43865242535,741.8493322454424
Selection 1,4988.467697052351,746.1072396607922
Selection 1,4975.469123031643,750.7149165033878
Selection 1,4952.580640001771,763.4029809305198
Selection 1,4937.340686386059,774.4671158740105
Selection 1,4922.082887391407,785.1243761776437
Selection 1,4907.592439691222,795.606751767654
Selection 1,4891.024789882292,805.0719407580209
Selection 1,4868.050649033502,815.3294645733732
Selection 1,4852.2110906853695,822.2284880720078
Selection 1,4835.347207586016,831.5758975613634
Selection 1,4819.529063692613,840.6699026697551
Selection 1,4805.438352480709,846.5695849476873
Selection 1,4790.077050288199,853.3294144905813
Selection 1,4774.419514805265,860.5282403554266
Selection 1,4746.652105172891,870.5823268508502
Selection 1,4727.314852552301,877.21010058958
Selection 1,4706.981827786795,883.4631213705462
Selection 1,4691.663354503743,890.0516352756056
Selection 1,4668.753457019141,897.5502635066616
Selection 1,4639.4620520251965,905.8733482447973
Selection 1,4615.981102414479,914.2142783618739
Selection 1,4592.782109791031,921.2096669067906
Selection 1,4577.834820389954,925.1392193496239
Selection 1,4544.660260938423,934.3117441253564
Selection 1,4528.652956028243,937.6095701536742
Selection 1,4510.154436217886,943.6163247052532
Selection 1,4482.205003720313,950.9757589805687
Selection 1,4467.432599032858,955.2300973201303
Selection 1,4450.090459777884,959.7271328132908
Selection 1,4427.219822126952,962.689465717516
Selection 1,4402.057837819981,967.7218625789101
Selection 1,4381.81760902497,970.316580676948
Selection 1,4364.197081858514,968.0395103240618
Selection 1,4348.3289709040755,964.6631646284031
Selection 1,4325.315570221615,960.7514575645108
Selection 1,4310.589563519408,958.9419361398818
Selection 1,4290.688396924277,958.6171502431537
Selection 1,4272.525370238011,962.0327557724828
Selection 1,4254.7085439032035,967.5576850926517
Selection 1,4238.080219805874,962.1719497282237
Selection 1,4225.345757393495,953.3063654702781
Selection 1,4206.490330004313,950.6474040080521
Selection 1,4186.942501912217,953.6275822912182
Selection 1,4167.619525594779,960.2517869541598
Selection 1,4152.083338688645,970.4165147990183
Selection 1,4135.694142669126,971.6978130069903
Selection 1,4118.344865262576,973.8107058736182
Selection 1,4102.291162367149,970.4236529505946
Selection 1,4092.1228654465026,958.0318218138851
Selection 1,4087.9934447595288,941.9781189184591
Selection 1,4082.3864266962305,920.2067566102999
Selection 1,4091.2020438931413,903.5034819214173
Selection 1,4090.5845937817785,886.150635439078
Selection 1,4090.0706468682743,849.753200550782
Selection 1,4093.2578315471574,825.2372189614797
Selection 1,4095.848980569407,803.5229618659322
Selection 1,4098.747070109444,766.0976331506281
Selection 1,4101.520241996894,744.854494059126
Selection 1,4104.05785488232,725.1246431018304
Selection 1,4108.108755901952,702.9713896843316
Selection 1,4116.956494780957,666.9629840569518
Selection 1,4124.012557614273,639.5203603213067
Selection 1,4128.670201517904,620.3223016564563
Selection 1,4131.136432887565,606.0174458972593
Selection 1,4134.177285459132,591.4556166813103
Selection 1,4145.14505535634,564.9730743326973
Selection 1,4159.032329248314,542.141696515436
