#Selection names:,Selection 1
#Areas (µm^2): 4415390.4
Selection,X,Y
Selection 1,8864.988401690209,-32.285362281036846
Selection 1,8924.96168890306,-127.80672574912573
Selection 1,8996.959695356583,-146.39493757533137
Selection 1,9109.86679872681,-167.262835757581
Selection 1,9360.832709879005,-192.6400036550827
Selection 1,9635.77290501729,-185.04939963440845
Selection 1,9889.494480995469,-157.3925453808627
Selection 1,10099.375934742033,-71.91683277841861
Selection 1,10239.714428880045,19.721548434869863
Selection 1,10399.217319307876,177.54598846869098
Selection 1,10517.961421809514,288.2736114765464
Selection 1,10719.325366093934,539.3898316192484
Selection 1,10784.910188952434,661.3655774168158
Selection 1,10872.56538191725,881.6183515084595
Selection 1,10948.922349095516,1127.1731390023506
Selection 1,11038.306095451177,1444.9263449371108
Selection 1,10969.99065926511,1790.1109416396534
Selection 1,10942.684525989416,1995.4079711757113
Selection 1,10931.91238166965,2186.074925635618
Selection 1,10939.352676699815,2355.773775919603
Selection 1,10899.220176234072,2618.964818299813
Selection 1,10696.829120514509,2923.365575577743
Selection 1,10543.614156189613,3026.176925085489
Selection 1,10395.960624513526,3079.937440690661
Selection 1,10245.32596452569,3074.4261110386865
Selection 1,10131.767522196593,3053.4830583611824
Selection 1,10001.524781921065,3022.8200242974685
Selection 1,9835.934377377644,2943.7073922932136
Selection 1,9778.340982514506,2855.225499880601
Selection 1,9724.40510642041,2756.5476476118365
Selection 1,9692.264033950029,2628.4092332034243
Selection 1,9660.749248940101,2493.757429206315
Selection 1,9638.904342319547,2367.698289166603
Selection 1,9616.934178206902,2216.8882686898405
Selection 1,9626.05292363108,2087.5974853541975
Selection 1,9608.491823240014,1971.7343051706382
Selection 1,9600.775961727248,1867.119247776791
Selection 1,9603.155854076966,1702.3054396843295
Selection 1,9607.840484281143,1583.1605132080035
Selection 1,9561.11943973145,1373.1036989725128
Selection 1,9476.320117586292,1213.7761690336076
Selection 1,9379.521127698883,1071.4335550221522
Selection 1,9197.797558174225,796.9693383538118
Selection 1,9087.32045015055,566.1197804313258
Selection 1,8984.408894649134,309.0663551635419
Selection 1,8864.988401690209,-32.285362281036846
