#Selection names:,Selection 1
#Areas (µm^2): 12241249.1
Selection,X,Y
Selection 1,9286.59041300124,-21.961916800298983
Selection 1,9421.787494003524,-132.82297263336673
Selection 1,9468.174600802311,-159.00347029843937
Selection 1,9649.703729722909,-222.78918332680243
Selection 1,10021.433761238657,-232.94754677413334
Selection 1,10263.169775956849,-191.26797425581586
Selection 1,10475.256583540151,94.54267428128603
Selection 1,10489.984834066769,247.68895031787793
Selection 1,10379.399072636068,481.68919232956796
Selection 1,10333.59008408225,837.5622662689937
Selection 1,10469.613048291634,1222.754194060472
Selection 1,10507.989087981552,1583.7752733241548
Selection 1,10457.362447386316,2062.7324745617293
Selection 1,10388.593905675116,2568.2831150679267
Selection 1,10495.353074912919,2973.9844758357235
Selection 1,10571.527036047784,3183.2908099551214
Selection 1,10627.384270287987,3353.1199267751354
Selection 1,10739.814504214544,3709.3784128778734
Selection 1,10828.569419537567,4032.4088646149526
Selection 1,10889.106658618002,4302.032202292893
Selection 1,11037.15998821081,4587.567556427628
Selection 1,11170.512596717239,4831.423338044046
Selection 1,11217.174997918391,5037.563786536226
Selection 1,11288.834130854442,5422.507949365575
Selection 1,11367.678447692266,5806.598699547586
Selection 1,11408.862490286321,6054.418720558085
Selection 1,11381.608344452019,6295.411440389888
Selection 1,11269.866346531378,6505.048127792126
Selection 1,11158.785055176417,6564.291483181439
Selection 1,11036.691987726786,6578.827027626401
Selection 1,10859.154627640506,6453.733251190975
Selection 1,10790.220909287886,6310.332396998165
Selection 1,10757.0479338027,6187.908976265695
Selection 1,10712.450240619295,6028.348340653958
Selection 1,10646.352054611054,5925.718587451655
Selection 1,10548.67760065135,5839.551439510879
Selection 1,10452.324559823006,5725.634615811542
Selection 1,10326.542547381663,5634.264403666036
Selection 1,10175.763803205426,5576.562696929977
Selection 1,10010.642220665883,5549.0332566933075
Selection 1,9879.271731856494,5534.002182324086
Selection 1,9750.764304831724,5527.890646591545
Selection 1,9627.652648093337,5489.624724662575
Selection 1,9479.819554022422,5423.7192447359885
Selection 1,9257.90473627463,5357.263176004668
Selection 1,9053.966643001384,5247.2280033787
Selection 1,8949.134534580146,5178.404402787028
Selection 1,8836.53912401217,5078.968064652177
Selection 1,8834.144062711577,4963.399474538639
Selection 1,8818.727576179042,4811.161670029857
Selection 1,8702.167926216984,4751.560431917468
Selection 1,8567.218610176831,4705.310972319863
Selection 1,8463.294973283402,4635.33113523825
Selection 1,8334.95272290005,4510.01712328093
Selection 1,8288.125145057476,4382.115343941365
Selection 1,8269.322537375832,4254.681565085822
Selection 1,8243.059451390049,4133.7722635663695
Selection 1,8260.485587059862,4014.0742574173314
Selection 1,8305.881634010128,3772.47588990032
Selection 1,8372.502879382868,3669.0753123713894
Selection 1,8463.84556208814,3548.303658053121
Selection 1,8443.72154127513,3404.65503889818
Selection 1,8423.707638223073,3241.7633410178073
Selection 1,8455.531671136663,3083.2488241350648
Selection 1,8554.224714385122,2949.0703324215374
Selection 1,8519.785384649049,2851.6711728642013
Selection 1,8496.082536605278,2735.7997589080596
Selection 1,8531.127514026557,2597.464321718796
Selection 1,8539.413875537797,2468.24112924787
Selection 1,8503.735720991072,2308.3776697935305
Selection 1,8500.046775999357,2187.771192116682
Selection 1,8508.96631463604,2010.867009155844
Selection 1,8445.180601607677,1866.7503895168797
Selection 1,8419.302927785207,1765.3044022447527
Selection 1,8409.997976985213,1651.0296958223382
Selection 1,8419.68833994852,1532.5429850437129
Selection 1,8428.332584182835,1422.7555773798751
Selection 1,8459.138027807669,1306.9942811846804
Selection 1,8512.985612910592,1196.3809903137428
Selection 1,8605.209237703435,1094.7147675197225
Selection 1,8734.927960098621,992.1951320783659
Selection 1,8790.64754713764,809.4271783471174
Selection 1,8849.092548760089,654.4639592549053
Selection 1,8942.444880602638,542.1989019697673
Selection 1,9064.84077189487,304.56477384683694
Selection 1,9112.989762868803,114.77681285523796
Selection 1,9286.59041300124,-21.961916800298983
