#Selection names:,Selection 1
#Areas (µm^2): 35136808.9
Selection,X,Y
Selection 1,3804.3825751486215,312.5367677194294
Selection 1,3802.272564065049,230.5794951048957
Selection 1,3935.0922091151606,181.16081446334087
Selection 1,4155.866000385748,145.01299300530462
Selection 1,4664.1565650967505,174.91407112381847
Selection 1,5150.125433607862,178.49553730514464
Selection 1,5684.902190078441,197.12471410878697
Selection 1,6186.362982071567,385.8041262660942
Selection 1,7128.871617138705,1195.7985126241633
Selection 1,7558.592032290381,1628.267494845231
Selection 1,8038.008761120926,2132.6156704264026
Selection 1,8488.607180678475,2764.3696468301
Selection 1,8599.688158907049,3053.9131414428953
Selection 1,8974.04854641869,3428.384582169464
Selection 1,9046.92721871312,3740.41635280454
Selection 1,9232.719247282379,4140.374506356359
Selection 1,9341.301528175143,4233.909076626808
Selection 1,9360.263864623561,4992.624640993331
Selection 1,9248.683146927828,5520.5993880497645
Selection 1,8996.842218782014,6214.01566204048
Selection 1,8475.030925153913,7359.77944372381
Selection 1,8414.67350284226,7602.930457801753
Selection 1,8207.392677185042,7741.774739761537
Selection 1,8088.399157393074,7893.22356161529
Selection 1,7866.736940403087,8120.910415514948
Selection 1,7347.424344110794,8618.290001859586
Selection 1,7083.978355005335,8833.788765421243
Selection 1,6875.975683451107,8972.383177647447
Selection 1,6693.76512106317,9074.413318859646
Selection 1,6413.688913022719,9193.07367900684
Selection 1,6062.37206760798,9340.496821819568
Selection 1,5892.294068950583,9349.853055176985
Selection 1,5725.936352993169,9325.004898337553
Selection 1,5615.6605105728,9288.579443842205
Selection 1,5516.573279556111,9229.165973857413
Selection 1,5429.701902181154,9159.702187921925
Selection 1,5358.738897844179,9078.883210760372
Selection 1,5338.4994494241255,8959.528768019896
Selection 1,5326.45017560478,8817.186309789979
Selection 1,5214.647351479194,8753.774924067893
Selection 1,5092.877501314106,8720.125799945667
Selection 1,4979.436642268379,8599.54977184102
Selection 1,4886.401811465093,8483.110475992322
Selection 1,4945.870808057346,8365.532884690645
Selection 1,4909.278773739609,8253.785587172522
Selection 1,4839.287485033228,8134.597724254436
Selection 1,4732.259949149411,8048.3926661690275
Selection 1,4652.801373870687,7955.940864744095
Selection 1,4564.208671664393,7866.320920299748
Selection 1,4540.582100189133,7740.358811271245
Selection 1,4493.800933402043,7621.8927942501705
Selection 1,4488.470379085651,7508.3408819895185
Selection 1,4541.137366263757,7406.532847207169
Selection 1,4574.869780297177,7280.515211571204
Selection 1,4558.961407259195,7165.686187338917
Selection 1,4469.841202282008,7075.288870390096
Selection 1,4392.770271124167,6987.529067295738
Selection 1,4309.674703056654,6888.52512619024
Selection 1,4237.712219785356,6790.354084196681
Selection 1,4233.631014136868,6677.662834351697
Selection 1,4259.173253569582,6549.868347276934
Selection 1,4226.495845077947,6445.006349084152
Selection 1,4180.991790262492,6329.871928510822
Selection 1,4088.2345924965184,6260.8801187387635
Selection 1,4023.2129351580224,6172.453996354858
Selection 1,3937.924066095745,6082.195495924691
Selection 1,3875.5676859154446,5956.0112804663395
Selection 1,3784.8094460181173,5853.231530053398
Selection 1,3710.2649754998174,5655.445754272254
Selection 1,3644.576998871773,5506.273523324458
Selection 1,3586.5794573772737,5405.7981271212075
Selection 1,3553.485599329672,5304.156672161246
Selection 1,3482.772464726277,5219.64517560344
Selection 1,3460.645111652503,5114.4222544621525
Selection 1,3436.1023511541134,4954.0058855032175
Selection 1,3417.3898844392775,4836.0951345567655
Selection 1,3401.17611506025,4705.385500590226
Selection 1,3398.4553112945914,4565.597266303581
Selection 1,3388.57157516628,4415.8142426736995
Selection 1,3355.0612675627094,4301.124034960069
Selection 1,3315.3319799233473,4192.847150408347
Selection 1,3298.3686013435777,4073.5204709716045
Selection 1,3269.6891085892366,3950.8621950871157
Selection 1,3253.586392425135,3809.658032310179
Selection 1,3240.5098763677347,3700.4371954315966
Selection 1,3220.2426646439512,3575.3079855150304
Selection 1,3189.397634198575,3460.562251193937
Selection 1,3143.8102894719286,3327.8536593587505
Selection 1,3065.8786958984197,3218.410716050318
Selection 1,3014.433294084486,3122.0998154067483
Selection 1,2967.069097919041,3003.8281415117913
Selection 1,2965.5698795175563,2875.0341755027052
Selection 1,2960.0172187713133,2764.4251734375625
Selection 1,2980.0067974577846,2647.319558299316
Selection 1,3016.5155418643276,2528.7424880633152
Selection 1,3086.395777355785,2395.284287027386
Selection 1,3165.6877728121226,2277.651169118247
Selection 1,3295.2313480219505,2235.534237358
Selection 1,3401.7036178311428,2274.7360222264697
