#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4"
"#Areas (µm^2): 1487758.4, 651743.7, 2547356.8, 242604.6"
Selection,X,Y
Selection 1,1051.0483549139783,493.40292728113343
Selection 1,1062.5369788212388,589.747574292383
Selection 1,1062.757384076055,599.8862160138985
Selection 1,1062.757384076055,600.5336564499192
Selection 1,1062.6609567770731,697.9941050636728
Selection 1,1058.3906049650213,772.6426098040162
Selection 1,1050.4560157916612,948.5811044605332
Selection 1,1039.6010569919952,1123.4864494851024
Selection 1,1010.1769554741182,1275.1252647982044
Selection 1,924.8112452183686,1569.931068442436
Selection 1,858.7172194305542,1710.5082950294825
Selection 1,785.5426748317901,1797.2928641131075
Selection 1,707.6156419260647,1867.0098012769527
Selection 1,627.3330278594991,1925.858004312706
Selection 1,536.4296355765084,1986.5107753722616
Selection 1,442.27526578498816,2037.1902086514133
Selection 1,366.6900387116788,2040.3309835325351
Selection 1,278.45906014332684,2007.7523318051108
Selection 1,206.82735232827127,1964.9661617140412
Selection 1,168.35286003453098,1898.0318408922421
Selection 1,137.15174114970384,1847.8758700932774
Selection 1,113.12756837480812,1796.6591990055128
Selection 1,84.24070466554451,1726.9009358563894
Selection 1,58.56349247953222,1641.1219657478605
Selection 1,50.27074476709682,1564.875522910104
Selection 1,43.41063121096259,1478.752169590926
Selection 1,38.20355706594492,1395.1634767021267
Selection 1,30.999060299161698,1244.130775839767
Selection 1,15.460489834664942,1061.5663482103573
Selection 1,16.521190123464525,930.5767502077877
Selection 1,14.70284677123623,783.8006258290537
Selection 1,15.10233129558965,709.4414029856556
Selection 1,19.965022229958326,621.485930985823
Selection 1,67.28327537317287,551.5348132387361
Selection 1,162.4156934829364,479.71025082571697
Selection 1,288.01913807095093,410.69585541159626
Selection 1,347.0739710330939,380.50033550186515
Selection 1,408.3053058865405,356.9169732366007
Selection 1,491.3016596530229,327.547973032428
Selection 1,606.3256520098912,304.7773551442958
Selection 1,785.501348846512,286.4561683377528
Selection 1,944.7854714360288,307.55997148634225
Selection 1,1006.3474141716981,375.40346398425544
Selection 1,1051.0483549139783,493.40292728113343
Selection 2,291.84867937337185,2130.132349541448
Selection 2,413.53993068841,2154.983042021902
Selection 2,477.1406220311237,2168.3864365803724
Selection 2,546.5820526264495,2183.043386025607
Selection 2,607.4965549260988,2214.2720555672863
Selection 2,672.2819245134466,2266.7285062133883
Selection 2,685.3271605328418,2331.8582590113847
Selection 2,716.1838962070199,2426.8942498221672
Selection 2,709.8610204594983,2514.6017659103322
Selection 2,698.6754537776087,2617.3381653112338
Selection 2,677.061963477259,2704.659972203471
Selection 2,627.9804682955197,2838.0189266953084
Selection 2,586.4203024343617,2961.4596447204453
Selection 2,568.8429833628205,3036.8244665389393
Selection 2,550.2600653161842,3096.3201100107135
Selection 2,532.3108123771428,3165.830417248169
Selection 2,495.08987497016574,3267.657644972956
Selection 2,468.489715779613,3325.789530930558
Selection 2,430.2356287406881,3371.537396633212
Selection 2,385.20408011618525,3408.0144663051865
Selection 2,317.9529267405886,3449.6159581516226
Selection 2,226.19546409518816,3459.4377673193408
Selection 2,164.24781216359102,3419.0898303596678
Selection 2,79.97035285349281,3347.8713823973917
Selection 2,73.67502776282373,3287.1221840388544
Selection 2,67.03531946150488,3207.514561065161
Selection 2,81.63716759303568,3055.0492260465007
Selection 2,88.57993311972538,2910.5047048727743
Selection 2,98.38796695901745,2797.4092584955424
Selection 2,87.64321078675941,2657.5207983297946
Selection 2,108.4301813815512,2471.6640672065773
Selection 2,115.95151070213235,2371.861812760408
Selection 2,141.72515018712642,2267.81675715904
Selection 2,162.5258961103445,2205.483396031516
Selection 2,173.93186804704948,2150.4096329844792
Selection 2,213.01247479153227,2096.4792221967978
Selection 2,218.23332426497623,2092.0986677573387
Selection 2,291.84867937337185,2130.132349541448
Selection 3,1510.2489279937627,289.0459300818356
Selection 3,1581.2882966865013,274.59561056299077
Selection 3,1566.4798186285807,249.62094012670315
Selection 3,1669.7534558380949,248.32605925466174
Selection 3,1942.174350790121,250.14440260689008
Selection 3,2423.0435154839593,235.6803077596192
Selection 3,2869.0335486032354,241.30064175741592
Selection 3,3063.720265247501,233.4487045546118
Selection 3,3300.283980306722,213.24029775371054
Selection 3,3517.8928434518048,188.78908979760985
Selection 3,3707.427587264756,171.34952401032902
Selection 3,3809.4614449159326,176.1157876457154
Selection 3,3885.762989067393,187.71461418038402
Selection 3,3963.965528541637,234.4680788581337
Selection 3,3988.5407144535716,341.5023807279378
Selection 3,4012.867944453839,431.7032312612039
Selection 3,4039.5645309433726,529.7697943257
Selection 3,4054.5245376139787,588.7833013025651
Selection 3,4070.5176939165317,671.2975185741386
Selection 3,4099.996896748113,798.1682933773428
Selection 3,4113.744674517233,879.2361011641892
Selection 3,4128.0572407518175,966.6543353554088
Selection 3,4138.512715027131,1029.2356523946005
Selection 3,4139.71116860019,1157.2360041287343
Selection 3,4134.903578979526,1240.5767411058662
Selection 3,4133.071460298871,1311.161523960548
Selection 3,4108.620252342771,1384.4462711867202
Selection 3,4075.9864993016436,1436.0486514704119
Selection 3,4041.58950422199,1505.985993889073
Selection 3,3993.293202760531,1544.7359927513328
Selection 3,3940.602571531187,1593.6384086635342
Selection 3,3880.4870382802446,1650.5167397343735
Selection 3,3837.3978109638037,1710.274114446241
Selection 3,3820.399055686155,1776.9329286995205
Selection 3,3808.2767666712984,1859.2542913731302
Selection 3,3800.163098228402,1929.866624884664
Selection 3,3792.2285090550417,2011.9400316466063
Selection 3,3792.2285090550417,2013.097159234388
Selection 3,3785.05156294511,2069.4933538103182
Selection 3,3777.475132310825,2130.2701028257075
Selection 3,3775.822092899709,2199.477352837792
Selection 3,3740.3230715459777,2247.112438534804
Selection 3,3728.0492539184374,2304.555558071108
Selection 3,3756.0407212800123,2357.025784045636
Selection 3,3775.9047448702636,2415.075018032683
Selection 3,3728.5589410701973,2446.909802025105
Selection 3,3669.5592094217595,2452.9158452188285
Selection 3,3621.070053362337,2439.0854154791527
Selection 3,3579.248156261085,2398.4481966225344
Selection 3,3528.5824983103585,2362.549690744451
Selection 3,3431.0669483829015,2324.033872465433
Selection 3,3343.6624895201076,2288.824133008648
Selection 3,3276.7281686983097,2250.198112102222
