#Selection names:,"Selection 1, Selection 2, Selection 3"
"#Areas (µm^2): 13809816.7, 9202741.8, 2395626.8"
Selection,X,Y
Selection 1,223.55726228031577,417.00952109904904
Selection 1,233.52442832782873,414.0840931422468
Selection 1,490.15953749405327,320.00440115091595
Selection 1,723.0546693471107,236.28020635180673
Selection 1,1023.7783078092177,196.35976467579354
Selection 1,2124.697103057245,150.14835845550596
Selection 1,2952.153106201689,163.45517234751063
Selection 1,3723.404648335352,171.79134758724842
Selection 1,4058.0684288449634,166.92426390690449
Selection 1,4416.394520438801,163.63639354837449
Selection 1,4984.315875203199,155.94743688315003
Selection 1,5533.001893933044,149.88947102570037
Selection 1,5810.451552455633,150.40724588531154
Selection 1,6005.0572334404515,167.07959636478793
Selection 1,6230.884738459819,182.97528455484758
Selection 1,6384.482650563442,202.57306299112625
Selection 1,6536.760236775056,281.6631727967167
Selection 1,6541.21310056771,461.58993651156186
Selection 1,6573.315141863597,590.697097755581
Selection 1,6710.499590917549,759.0257046151385
Selection 1,6720.233758278237,878.1656998116447
Selection 1,6769.474147427249,1246.3554024810733
Selection 1,6748.581931841943,1592.9021160187592
Selection 1,6721.709416628128,1731.0185598200112
Selection 1,6482.575097716757,2120.954806593105
Selection 1,6366.049865561286,2223.5518950250366
Selection 1,6263.426888386373,2282.060454161087
Selection 1,6183.301228861562,2395.2201497290857
Selection 1,6162.486679505197,2524.8191970897356
Selection 1,6101.855243444741,2636.3479018499593
Selection 1,5975.259290269835,2642.8200875950974
Selection 1,5821.402490736408,2612.633813279772
Selection 1,5732.578213570128,2532.093933867271
Selection 1,5667.1573600582715,2452.5378266880302
Selection 1,5537.6359789265625,2373.88782551311
Selection 1,5442.080628585341,2279.963465979663
Selection 1,5327.574718382354,2164.73267097322
Selection 1,5220.964874788436,2069.25498686094
Selection 1,5087.327183522821,1951.8495374441302
Selection 1,5008.521849890016,1866.7273505240712
Selection 1,4834.6789407756005,1729.672345185022
Selection 1,4737.414933397662,1692.13366786322
Selection 1,4634.196515134196,1663.837271785475
Selection 1,4632.021860723829,1663.086498239039
Selection 1,4531.2110955575545,1624.9523798286846
Selection 1,4396.097745942047,1592.9797822477012
Selection 1,4268.569798019843,1543.2733957250387
Selection 1,4137.676313510165,1537.914425928064
Selection 1,4031.351246089033,1532.529567388109
