#Selection names:,"Selection 1, Selection 2"
"#Areas (µm^2): 9547079.8, 2244658.7"
Selection,X,Y
Selection 1,-9.559418943093444,496.3396299353533
Selection 1,540.5782175636707,371.29153232991496
Selection 1,883.2889308235458,291.5024601891668
Selection 1,1653.3829646568008,229.71834095807753
Selection 1,1828.8449304092835,227.86851702900293
Selection 1,2007.0692998958505,210.85013688151724
Selection 1,2368.475566998906,243.38237371417466
Selection 1,2754.176188370472,299.3210493293886
Selection 1,2974.52721480183,335.40494810586904
Selection 1,3079.301242144611,363.57160046591054
Selection 1,3114.5712183922997,476.4355244585112
Selection 1,3065.2179159645916,563.6485566346119
Selection 1,3018.2570524851526,661.9112037470509
Selection 1,2892.937647370117,749.1242359231516
Selection 1,2788.3855988988244,799.6120970273589
Selection 1,2691.109524548558,835.3506953370788
Selection 1,2557.1082791263984,904.1641454986515
Selection 1,2464.691075629835,970.4125064785737
Selection 1,2334.9814217231287,1069.9823625008923
Selection 1,2224.2632934882554,1180.503176183332
Selection 1,2146.348709595635,1267.3462435736176
Selection 1,2096.304806234406,1367.7546864437834
Selection 1,2049.121963883478,1474.6005165871281
Selection 1,2057.458503723841,1579.9418232681592
Selection 1,2034.0274006222307,1677.365883532751
Selection 1,2000.903220132269,1794.2994201693157
Selection 1,1934.210901409369,1890.4656001621368
Selection 1,1862.2157540897877,1974.0529774372515
Selection 1,1759.9081586524387,1950.0792593164456
Selection 1,1628.373345135713,1945.812332120047
Selection 1,1563.3335357894516,2066.9881316339556
Selection 1,1490.0805081981,2191.7649217297962
Selection 1,1433.9445180304529,2296.3169702010887
Selection 1,1354.4514177183567,2365.4510565103674
Selection 1,1295.947652921492,2454.0452905535108
Selection 1,1233.7935689045878,2536.473444833072
Selection 1,1207.6247263879477,2629.3346060726135
Selection 1,1181.7765200190115,2733.9359831820143
Selection 1,1186.1421044916283,2831.680679594313
Selection 1,1196.1804823467398,2930.781913554599
Selection 1,1206.3421817971225,3024.407668684825
Selection 1,1202.149247557887,3126.5179495697384
Selection 1,1185.9694542582472,3252.108662194372
Selection 1,1145.791278518749,3481.881458504483
Selection 1,1125.3938866608205,3621.9501264140063
Selection 1,1093.2809432520864,3772.131165135804
Selection 1,1053.3247463840776,4006.6888393424542
Selection 1,1028.8577418821844,4162.44401417053
Selection 1,1011.2720823964498,4260.040724668502
Selection 1,1016.0816246120431,4433.110251472715
Selection 1,1018.8686926651825,4529.153109870264
Selection 1,1080.233518472348,4620.164447180732
Selection 1,1113.1110557717657,4717.366528573834
Selection 1,1118.4138843684455,4828.109321127763
Selection 1,1104.305893869371,4937.1009470288345
Selection 1,1041.9544953000327,5066.12000000202
Selection 1,962.4120663498267,5150.02801342484
Selection 1,1074.1907603040377,5174.963639988765
Selection 1,929.9291581552791,5271.006498386315
Selection 1,898.5068156800659,5377.827664210606
Selection 1,787.3693940212675,5559.283059493289
Selection 1,728.0517066956108,5733.265166102513
Selection 1,674.6041273048851,5850.075381143806
Selection 1,623.6229798195899,5941.160711411436
Selection 1,520.1561613866886,6133.715050268567
Selection 1,392.4443173233834,6168.837040601929
Selection 1,275.90540979168725,6130.286709920017
Selection 1,105.57362240250488,5948.091385065702
Selection 1,16.31345174489443,5693.703598339373
Selection 1,-97.833016838531,5285.903747095129
Selection 1,-163.46476984209517,5081.905164196789
Selection 1,-147.18631926623905,4882.888773747423
Selection 1,-124.76645324585635,4487.026452925474
Selection 1,-171.92463127772947,3954.0305181614663
Selection 1,-269.44734881853844,3468.316083024603
Selection 1,-277.8825459351179,3071.2205462499373
Selection 1,-277.04395908727105,2352.033666944814
Selection 1,-248.08804851749167,1921.5426421705893
Selection 1,-231.7602693035274,1455.2143618104271
Selection 1,-255.90663765771345,924.709523270906
Selection 1,-244.09242883069032,772.5306747057078
Selection 1,-92.20955209414417,591.4699085278928
Selection 1,-86.78340190219163,575.0188077186565
Selection 1,-9.559418943093444,496.3396299353533
Selection 2,246.95777367521387,6348.3140018196145
Selection 2,541.0274028383827,6569.513616825033
Selection 2,704.9779734768384,6699.521295885995
Selection 2,889.9792627638466,6806.445581084989
Selection 2,999.520965360941,6922.781430970768
Selection 2,1038.0582598180779,7053.151093288915
Selection 2,1032.4335968987557,7172.35496436623
Selection 2,999.5488102268775,7273.9887250371485
Selection 2,950.3190872498413,7431.53497651004
Selection 2,922.1957726532306,7565.3295573384685
Selection 2,1052.1756068482564,7777.256831986785
Selection 2,1134.6520997543553,7880.366370552378
Selection 2,1197.2195135153281,7986.817293030437
Selection 2,1245.7531148439336,8093.463129570058
Selection 2,1235.7011182405918,8239.676520606494
Selection 2,1106.5566300236826,8396.331736369395
Selection 2,995.8454430572252,8460.152169097542
Selection 2,847.1260140864379,8494.26212987066
Selection 2,559.460704088833,8507.209992531476
Selection 2,436.8597593671753,8497.770582978752
Selection 2,85.95875882610507,8364.198761077821
Selection 2,-91.8028653172224,8199.99758664593
Selection 2,-126.99877586188985,7847.203135221127
Selection 2,-114.80272458137969,7350.116588509558
Selection 2,-167.06753794557562,7148.1299310008335
Selection 2,-223.36985687067016,6915.179782569901
Selection 2,-151.58579248447066,6616.042387806157
Selection 2,-5.455936045847284,6429.091957903541
Selection 2,21.887722304519958,6423.133156592972
Selection 2,246.95777367521387,6348.3140018196145
