#Selection names:,"Selection 1, Selection 2"
"#Areas (µm^2): 14402734.2, 305211.7"
Selection,X,Y
Selection 1,490.18790226860585,1457.7489856237687
Selection 1,613.0972263717662,1538.2088882670093
Selection 1,777.7983511531273,1606.1739960576008
Selection 1,1027.1023895025553,1688.1793075378794
Selection 1,1277.294215907303,1796.8182606777514
Selection 1,1442.9160097830697,1842.950358515294
Selection 1,1647.7977643274232,1889.0166942746646
Selection 1,1835.022400882638,1923.4760232367064
Selection 1,1971.5773562064542,1934.6226954868325
Selection 1,2018.0711454739417,2063.3519635082002
Selection 1,1998.8357376086806,2208.028535486238
Selection 1,1948.9552013153434,2349.186836282083
Selection 1,1902.6586982823708,2573.3039986916974
Selection 1,1887.697825498278,2766.6116274778074
Selection 1,1859.3543698062172,3044.39064567564
Selection 1,1860.2092768224509,3194.426827024682
Selection 1,1920.1842921151651,3433.8336726092484
Selection 1,2040.4302520523659,3593.8985708794958
Selection 1,2139.139131388291,3734.760942323567
Selection 1,2160.840617184997,3868.4552472469086
Selection 1,2084.589487544754,4002.7414108737958
Selection 1,1969.736018017643,4076.1976521917363
Selection 1,1870.3695179,4183.028148181883
Selection 1,1798.2285181454965,4301.465650969359
Selection 1,1796.7488713866298,4309.0940520372915
Selection 1,1709.0551401444877,4444.235122680413
Selection 1,1683.6709779701591,4627.448272467146
Selection 1,1782.8073108142007,4851.433910720417
Selection 1,1826.5062117593855,4999.234181411617
Selection 1,1826.5062117593855,5000.187731545109
Selection 1,1925.8069497988574,5116.718134065602
Selection 1,2040.824824521397,5286.384295748936
Selection 1,2153.2450971561498,5395.647988631441
Selection 1,2337.60908331089,5446.646480253699
Selection 1,2540.4522134319163,5477.48889491629
Selection 1,2693.0202347905747,5448.750866755198
Selection 1,2816.4227744800232,5378.812896619451
Selection 1,2953.2736591556118,5255.969334594462
Selection 1,3080.2931131445125,5154.202518623548
Selection 1,3317.1023566412914,5104.2562202520385
Selection 1,3500.545673701626,5078.14867521782
Selection 1,3624.671596250965,5048.8516693922675
Selection 1,3829.356064560803,5019.521782527629
Selection 1,3974.920424594161,4978.9465802956065
Selection 1,4115.125175256514,4928.375542181465
Selection 1,4315.831037836955,4794.155140632748
Selection 1,4494.440842151659,4717.476557484389
Selection 1,4726.416572902809,4589.207624010224
Selection 1,4986.8015214241905,4449.956423481362
Selection 1,5170.836697188072,4358.711540017941
Selection 1,5291.148419203444,4302.320557985592
Selection 1,5423.659006719693,4258.490132884064
Selection 1,5489.158036578841,4120.093839371437
Selection 1,5542.359557819856,3977.4887728558115
Selection 1,5633.209868814247,3839.6514570076442
Selection 1,5765.786218408666,3771.0287284353344
Selection 1,5990.7911688736,3916.987660937723
Selection 1,6037.811054766463,4127.952407712971
Selection 1,6121.328894044695,4552.808313742113
Selection 1,6180.810693751119,4937.911043516381
Selection 1,6130.930157457782,5310.124405968969
Selection 1,5997.531781886215,5608.585597751844
Selection 1,5672.831520912777,6025.68157855671
Selection 1,5057.19982610714,6604.091937117087
Selection 1,4058.5369069896497,6912.910656212026
Selection 1,2835.8225875407147,6967.657586290079
Selection 1,1551.6536060402,6960.588162886606
Selection 1,1064.3566067869,6906.334448394842
Selection 1,939.7374686512718,6521.7249342068635
Selection 1,914.9122841414044,6069.41336054098
Selection 1,895.8412814715721,5712.654086458772
Selection 1,885.9769697457965,5551.10954142966
Selection 1,849.807826751287,5292.8947414879485
Selection 1,842.8041654259869,4793.365995694687
Selection 1,794.7320862823749,4079.058302592211
Selection 1,700.8896007311662,3506.5007689891268
Selection 1,621.9751069249634,3241.8741664256613
Selection 1,524.6801122697332,2935.028309675878
Selection 1,400.6199517985657,2573.271117652612
Selection 1,242.06758132627095,2154.3009176198484
Selection 1,175.22042886460025,1792.313558322981
Selection 1,155.85349684299453,1585.5247035116445
Selection 1,192.02263983750407,1419.9029096358774
Selection 1,172.6885888549843,1233.2701317842086
Selection 1,129.97611908237778,1070.8706797388613
Selection 1,261.3687512697048,1013.5261475730208
Selection 1,384.01502706017754,1079.6499171748012
Selection 1,544.704665073057,1161.3921803423927
Selection 1,711.312890121402,1218.1777348437724
Selection 1,787.9257111915904,1338.4565758200595
Selection 1,746.1010294743028,1360.158061616765
Selection 1,490.18790226860585,1457.7489856237687
Selection 2,5607.5626583272315,343.24616580658915
Selection 2,5666.321075173765,468.19411433307636
Selection 2,5733.792967378069,596.5945719635848
Selection 2,5799.291997237217,805.1590028855607
Selection 2,5824.709040450631,962.8893473807078
Selection 2,5741.421368446001,1194.3061004673964
Selection 2,5551.927940193858,1263.191877352394
Selection 2,5413.104193173112,1171.7497076544569
Selection 2,5398.998227405255,997.6774867336086
Selection 2,5386.569194630777,862.7008212859165
Selection 2,5372.9235634101215,697.0790274101493
Selection 2,5378.085886546611,564.2067484639559
Selection 2,5419.483114755781,423.8375926061734
Selection 2,5607.5626583272315,343.24616580658915
