#Selection names:,"Selection 1, Selection 2, Selection 4"
"#Areas (µm^2): 9480310.9, 8554519.1, 2573290.4"
Selection,X,Y
Selection 1,6285.805515688773,7912.841096722953
Selection 1,6477.028623497498,8066.938278104011
Selection 1,6497.497056445201,8114.498187993758
Selection 1,6519.6097253729395,8204.285765856695
Selection 1,6537.9882882899465,8297.008381777448
Selection 1,6527.124037468605,8415.070671820396
Selection 1,6512.018579820262,8522.499211413035
Selection 1,6445.788139876867,8692.946552446014
Selection 1,6295.640198186167,8874.319611065943
Selection 1,5808.946348096327,9108.292854355534
Selection 1,5128.125085522749,9307.752508755828
Selection 1,4565.458313140532,9473.55910898535
Selection 1,4314.76610960537,9409.264872158628
Selection 1,3497.7959612084783,9416.348916895033
Selection 1,2507.72003416603,9462.77169162102
Selection 1,2174.047697059097,9355.512185633803
Selection 1,1863.8095643404881,9099.257239811051
Selection 1,1546.072486217615,8961.387284550694
Selection 1,1178.747094939908,8783.456364804853
Selection 1,1066.8468481492346,8607.938015609154
Selection 1,1077.0810646230864,8540.170906525544
Selection 1,1093.1546238297663,8460.156544394391
Selection 1,1102.2363384484545,8396.446241840955
Selection 1,1155.7892579850516,8328.940366511179
Selection 1,1217.4250571991947,8246.605633978299
Selection 1,1335.272213562512,8222.78726230492
Selection 1,1375.8402788642668,8156.295588607687
Selection 1,1408.7557318477361,8006.777681264478
Selection 1,1398.383215151265,7933.4631965846775
Selection 1,1375.5483117276253,7859.9489449166485
Selection 1,1371.2149047522107,7762.800721872069
Selection 1,1452.904236246199,7693.881110933291
Selection 1,1504.0138518498488,7655.618049341863
Selection 1,1545.288784956104,7604.6467339608325
Selection 1,1580.0943409820413,7539.476595724188
Selection 1,1635.2761298072694,7434.660393669919
Selection 1,1677.4115976320466,7319.1182410169295
Selection 1,1707.207612260873,7239.564879627844
Selection 1,1798.2859922015932,7213.549071083952
Selection 1,1869.848674061545,7148.10233240207
Selection 1,1932.4372081426234,7125.651596263484
Selection 1,1995.4867429657672,7095.133347138755
Selection 1,2066.419390478229,7058.114987550904
Selection 1,2137.1215376196587,7045.990668034584
Selection 1,2255.030160748585,7053.335946524826
Selection 1,2311.04175090953,7088.925203812275
Selection 1,2422.4195301925297,7184.413824185422
Selection 1,2480.36732347015,7288.308024755558
Selection 1,2515.218979570294,7349.236956165202
Selection 1,2561.7185877532897,7409.64342006717
Selection 1,2634.8486721362638,7451.164220235861
Selection 1,2730.4755927320293,7457.295530105331
Selection 1,2801.5311737757092,7489.4119151358855
Selection 1,2877.8728966617387,7503.656838065707
Selection 1,2962.236032459706,7520.022364409028
Selection 1,3081.3125241351972,7552.10801605678
Selection 1,3131.9765056881847,7496.480593180889
Selection 1,3211.898667670922,7497.925062172694
Selection 1,3281.156345820547,7518.086161292354
Selection 1,3394.316661306199,7529.503613004173
Selection 1,3515.774990149028,7504.73250646386
Selection 1,3589.058741446024,7485.001674703461
Selection 1,3670.7480729400127,7462.074571131408
Selection 1,3761.6727859667103,7464.087607705094
Selection 1,3852.5821323020064,7414.71442822989
Selection 1,3913.7722974654866,7386.316782518661
Selection 1,4010.8897871272634,7358.933338439977
Selection 1,4092.102751187784,7360.977108396466
Selection 1,4184.5641333547,7357.12006885452
Selection 1,4255.819481386608,7352.264194371432
Selection 1,4405.460322261035,7341.599710538318
Selection 1,4501.748010587094,7331.549894361292
Selection 1,4718.894726791297,7319.456308227778
Selection 1,4844.17936179327,7341.015776265036
Selection 1,4930.663101004738,7416.220363987302
Selection 1,5007.327524410213,7422.643640993414
Selection 1,5152.634958309226,7458.248264972265
Selection 1,5233.44838839329,7482.589104153318
Selection 1,5343.6121990555175,7506.4228425181
Selection 1,5463.318725078498,7519.2386631475165
Selection 1,5650.592593196863,7545.177638234398
Selection 1,5802.891871683869,7572.607182387288
Selection 1,5906.340438203343,7627.773604521114
Selection 1,6015.0597798737645,7679.559354546461
Selection 1,6107.859229251529,7716.347213763278
Selection 1,6192.268465123703,7785.9890591979565
Selection 1,6251.107526502649,7857.567107749311
Selection 1,6285.805515688773,7912.841096722953
