#Selection names:,Selection 1
#Areas (µm^2): 20487588.5
Selection,X,Y
Selection 1,537.8710161237324,1274.9487743470497
Selection 1,465.6715764658932,1079.1558946245266
Selection 1,458.95383275789237,1100.9070356596571
Selection 1,613.6902108863684,854.7962989398233
Selection 1,793.2104978404817,706.2885084241052
Selection 1,1087.225921487761,565.8028778703692
Selection 1,1244.342859279752,571.1509845116907
Selection 1,1789.9149575072367,535.409979152616
Selection 1,2777.4885033961255,358.13981023662046
Selection 1,3460.4156331677914,351.4546769349688
Selection 1,3880.242004511523,352.43298912545436
Selection 1,4297.100828877448,277.4616649279058
Selection 1,4628.096453325084,125.23628808834248
Selection 1,5043.716082249728,68.46157063382672
Selection 1,5295.729302518825,167.01021862207875
Selection 1,5500.229160736671,291.4841396581998
Selection 1,5739.752595373901,515.4850208730586
Selection 1,5892.923673997601,911.4079643625913
Selection 1,6000.929339827214,1326.7340996300888
Selection 1,6134.697226672949,2057.761578767298
Selection 1,6107.989303872691,2635.030991966516
Selection 1,6213.125253943547,3976.003511465163
Selection 1,6227.767326394482,5284.854780709532
Selection 1,6215.342761575313,5936.019374696765
Selection 1,6376.275116910198,6656.1549781132335
Selection 1,6467.192929812663,7323.526944056178
Selection 1,6486.2047967144335,7786.562103813024
Selection 1,6412.994434459759,8368.690467558321
Selection 1,6081.118329040686,9062.705135488824
Selection 1,5767.014895082101,9220.96343750305
Selection 1,5445.052353193282,9247.312645833461
Selection 1,5028.519632890852,9235.833782798429
Selection 1,4775.984646120161,9225.561504798332
Selection 1,4542.983292752836,9180.363481597895
Selection 1,4370.082918287676,9008.050094447026
Selection 1,4240.847877924525,8920.034607709671
Selection 1,4239.706513702292,8787.049370616325
Selection 1,4311.090693201393,8669.554076539
Selection 1,4397.149555557778,8514.719867191476
Selection 1,4511.775133876344,8418.910493336583
Selection 1,4630.379181769552,8318.763935437206
Selection 1,4800.246788444206,8144.754807156161
Selection 1,4909.295987277003,8004.758332697669
Selection 1,4987.463131296806,7891.600222664831
Selection 1,5083.533388402493,7687.067754040636
Selection 1,5146.210589406273,7509.667143499243
Selection 1,5192.386924797194,7342.049654862705
Selection 1,5223.073317172093,7149.191711711639
Selection 1,5250.237785661243,7007.206002465825
Selection 1,5296.251069020418,6829.31623582919
Selection 1,5316.241248112675,6653.5787560116205
Selection 1,5305.773307674479,6509.538591165788
Selection 1,5260.575284474043,6385.977761507454
Selection 1,5199.789487038535,6253.579511728398
Selection 1,5138.057987818892,6113.843920520702
Selection 1,5106.980270567799,5933.345321376105
Selection 1,5132.546829145823,5797.881693400194
Selection 1,5112.100104364673,5561.814961836013
Selection 1,5089.533703170805,5352.260490633992
Selection 1,5029.693607519434,5234.341261274124
Selection 1,4987.756624953951,5060.984341120072
Selection 1,4968.418653988685,4923.433647137792
Selection 1,4924.720709480327,4798.894505288972
Selection 1,4834.096390235008,4590.024852620291
Selection 1,4729.547427478445,4463.920411266694
Selection 1,4615.345784442423,4361.2954624847525
Selection 1,4569.169449051501,4219.440194864336
Selection 1,4553.125129127538,4076.1500693645417
Selection 1,4559.745041616489,3885.7705170960394
Selection 1,4462.4681994758685,3768.7969895203078
Selection 1,4337.439901531805,3669.5961334050653
Selection 1,4231.782184959358,3592.0811975122547
Selection 1,4140.473047180699,3483.8472588381946
Selection 1,4034.2935641066592,3405.5496731929948
Selection 1,3910.700124041976,3320.4365126207454
Selection 1,3772.725494777153,3189.47312072107
Selection 1,3682.916435690573,3089.2287316026427
Selection 1,3602.1404591628093,2964.428706503026
Selection 1,3483.0798655807084,2862.227693003628
Selection 1,3378.4656820114456,2775.842726583747
Selection 1,3272.1557573120076,2693.664502582955
Selection 1,3153.943034294994,2578.3867161373987
Selection 1,3036.610792249419,2362.7667093543664
Selection 1,2895.212070317897,2293.2739334235375
Selection 1,2719.6050321257258,2181.7137333018263
Selection 1,2552.802803647927,2087.7957630152064
Selection 1,2349.0855951824706,1999.0302369318108
Selection 1,2225.361713492389,1966.5828826140375
Selection 1,2059.9291220812697,1926.2764203660297
Selection 1,1921.2044534704066,1881.6001636671865
Selection 1,1775.8598723705934,1837.5435046889836
Selection 1,1641.4723878042178,1798.1827442251117
Selection 1,1477.7355375232735,1749.1366930754325
Selection 1,1294.0085081500724,1698.8840568908208
Selection 1,1113.2816361610278,1615.2057541979502
Selection 1,955.6755422737934,1535.3428690479739
Selection 1,843.6587964631896,1468.6545880632038
Selection 1,657.257713769328,1368.9971862590678
Selection 1,537.8710161237324,1274.9487743470497
