#Selection names:,"Selection 1, Selection 2"
"#Areas (µm^2): 1660984.6, 2318660.3"
Selection,X,Y
Selection 1,1740.0301586324006,569.2155224397034
Selection 1,1800.5933038532398,635.2157056543724
Selection 1,1793.4978643091697,678.6280399062604
Selection 1,1752.3527119234345,795.9337090549786
Selection 1,1710.7457261945938,891.0713777346476
Selection 1,1632.5699366616975,1021.4763198878043
Selection 1,1535.7738664317865,1079.982207489357
Selection 1,1438.578940132831,1122.5128599044078
Selection 1,1326.3324453335829,1137.8793147749989
Selection 1,1146.8262218384702,1181.20767932814
Selection 1,1055.446197177702,1209.6943996278558
Selection 1,915.5106942168296,1293.559136250821
Selection 1,820.7298967568329,1335.9428416930655
Selection 1,759.851865165694,1441.0938969482427
Selection 1,687.2600605994327,1542.7392172807577
Selection 1,604.9907482526486,1671.212856362747
Selection 1,577.7635734341296,1754.5947672179204
Selection 1,567.876141406741,1842.3431024079066
Selection 1,531.1603906298781,1925.9139450852595
Selection 1,460.54187398415723,1997.9179617602958
Selection 1,429.57804757142304,2091.8800546575153
Selection 1,439.92731294191634,2224.783095348377
Selection 1,478.8262758861858,2315.6383093919803
Selection 1,486.38354877336127,2414.869500885536
Selection 1,370.92521299706357,2411.069872017262
Selection 1,270.79134724198434,2282.953104154945
Selection 1,241.5698920782376,2178.0119731466334
Selection 1,215.79119456309286,2084.4487363184594
Selection 1,185.45714089095716,1988.5553403500726
Selection 1,91.85191921340947,1861.3832315986526
Selection 1,-7.232325307340557,1677.2166898231144
Selection 1,-68.69814478970387,1416.5117676402347
Selection 1,-88.38903914573457,1234.1925592371174
Selection 1,-57.23628091082048,1023.3026608355382
Selection 1,48.796456181193705,874.2984304100548
Selection 1,179.36933773184313,743.4736397631664
Selection 1,409.23638805010813,612.3759475953522
Selection 1,790.7946991537418,521.0379077839574
Selection 1,1092.6867585717298,509.7859681519401
Selection 1,1419.0559851742933,507.8966499301461
Selection 1,1604.335125458221,520.3451577692996
Selection 1,1740.0301586324006,569.2155224397034
Selection 2,1500.758502054539,3994.654420675586
Selection 2,1532.0162224128856,4034.3510957579456
Selection 2,1717.925135437411,4071.9695207963323
Selection 2,1818.331902713417,4082.0878694952735
Selection 2,1932.131836939473,4065.063013074441
Selection 2,2030.8802026652374,4126.8437189271035
Selection 2,2051.473771282791,4225.466130104748
Selection 2,2111.617068009899,4353.30999644614
Selection 2,2175.2660996596687,4451.050725786947
Selection 2,2215.4665929345074,4571.022432870864
Selection 2,2142.2240232029617,4638.177199443296
Selection 2,2068.561604977683,4703.190738697694
Selection 2,1949.9124206490224,4388.283375974014
Selection 2,1954.3208298332083,4477.711105138928
Selection 2,1964.2082618605968,4571.988084406446
Selection 2,1981.5270122270417,4702.749897779276
Selection 2,1971.9544665699518,4900.099682257997
Selection 2,1906.0592454787159,5006.9931087621635
Selection 2,1821.4387815670339,5107.567815435661
Selection 2,1717.4842945189928,5198.255090081771
Selection 2,1619.407686383199,5269.377424919971
Selection 2,1451.8671449594478,5326.560789766268
Selection 2,1307.922088883435,5339.995941565692
Selection 2,1093.778364655433,5329.310797400212
Selection 2,888.0526027267575,5287.577857123252
Selection 2,793.0828734445813,5224.138749720349
Selection 2,692.7810682920082,5104.334982033925
Selection 2,681.2562271390651,5002.81561624953
Selection 2,660.3057873018389,4925.143644909111
Selection 2,654.3019538414713,4805.759725716419
Selection 2,651.0481280150481,4676.8662381406975
Selection 2,597.0136268717412,4538.295242784455
Selection 2,538.6127013936214,4431.4018162802895
Selection 2,508.5935340917838,4349.321435755685
Selection 2,401.09132727170777,4042.727073207899
Selection 2,326.6941741823988,3786.514529907951
Selection 2,311.11779506494156,3513.9488877771428
Selection 2,388.15999366476177,3275.223034241132
Selection 2,471.12205602620367,3195.0739567876954
Selection 2,563.0688761535097,3192.1560097562583
Selection 2,650.9851507409887,3249.5702912741076
Selection 2,734.6819479664606,3308.118163725034
Selection 2,809.4569647001285,3366.3301573809745
Selection 2,912.8656487063183,3439.341810440968
Selection 2,990.8525064170352,3532.4642063507235
Selection 2,1062.9614852155046,3632.3671554342504
Selection 2,1126.1486835221694,3710.458975268401
Selection 2,1206.5706624965323,3819.451644241226
Selection 2,1323.8763316452503,3913.0988507681463
Selection 2,1500.758502054539,3994.654420675586
