#Selection names:,"Selection 1, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8, Selection 9"
"#Areas (µm^2): 394955.6, 3137746.5, 125960.2, 75680.7, 167620.9, 13445.9, 12948.8, 11430.9"
Selection,X,Y
Selection 1,301.4574590682983,3164.2421772003167
Selection 1,411.9464572906494,3375.8432447433465
Selection 1,610.3503656387329,3571.022283363342
Selection 1,738.7001808166503,3749.6800662994383
Selection 1,809.1511810302734,4001.1702917098996
Selection 1,478.4283870697021,4133.7868576049805
Selection 1,185.06446857452315,3989.4119205474854
Selection 1,122.94851627349776,3560.1073396682737
Selection 1,151.3273698806755,3339.6750904083246
Selection 1,176.53096714019696,3268.2814359664912
Selection 1,301.4574590682983,3164.2421772003167
Selection 3,2194.777533687782,10308.696176063602
Selection 3,2244.9269465354046,10261.39204477252
Selection 3,2354.7474481498966,10273.63927198252
Selection 3,2492.2403134129213,10337.085496604745
Selection 3,2583.216365385595,10428.009458081011
Selection 3,2680.182824444933,10508.333003538708
Selection 3,2797.5687580953318,10633.089742430522
Selection 3,2884.768249078588,10716.486627176157
Selection 3,2971.4728803459884,10892.812957509683
Selection 3,3081.5140540031744,10988.503199407078
Selection 3,3231.2221406733515,11087.47514257804
Selection 3,3346.7067712049397,11193.531393260182
Selection 3,3468.5724875462347,11461.563042516062
Selection 3,3399.135855837346,11576.162134608752
Selection 3,3362.4381011194823,11679.97849394545
Selection 3,3259.55937071809,11780.51315200858
Selection 3,3117.8471752461974,11827.941548986033
Selection 3,3012.416010520922,11860.914833210883
Selection 3,2843.9813903928707,11908.134868202713
Selection 3,2659.789395102074,11911.260297987059
Selection 3,2362.45684161795,11881.829167517799
Selection 3,2032.6979541212347,11780.174563781942
Selection 3,1849.7300854959738,11708.836628954245
Selection 3,1523.5914874994592,11558.998316043051
Selection 3,1292.518045443471,11357.69459268296
Selection 3,1002.9990664202116,10986.966529763109
Selection 3,925.6446792576461,10831.76289572212
Selection 3,875.1689882404562,10655.358429643988
Selection 3,848.7591065627317,10463.769583863572
Selection 3,869.8818028552712,10276.816792263271
Selection 3,1035.8681696522515,10134.32323934529
Selection 3,1212.637269205226,10113.955855250637
Selection 3,1374.169898559513,10124.426045028196
Selection 3,1614.7759014577566,10147.814677914386
Selection 3,1749.1172916882326,10145.835239050966
Selection 3,1857.4394789640273,10172.401392217907
Selection 3,1975.4504985712952,10195.503527373865
Selection 3,2082.0536994656995,10249.469281650241
Selection 3,2194.777533687782,10308.696176063602
Selection 4,5737.831026008582,12083.432451797466
Selection 4,5648.677492533354,12128.545365214055
Selection 4,5636.218464945751,12131.966491641797
Selection 4,5512.113274160217,12184.3556814159
Selection 4,5369.29401119904,12213.588440817142
Selection 4,5237.7593592905705,12235.519393066634
Selection 4,5127.645043746853,12236.489563247636
Selection 4,5020.007215244115,12213.307602080538
Selection 4,4920.539240897182,12080.036856163959
Selection 4,5073.6984755243,12066.14810409909
Selection 4,5190.118897244529,12046.846823655998
Selection 4,5307.330773586103,11981.896483117345
Selection 4,5420.661969203668,11986.109064166432
Selection 4,5590.54387405595,12030.711361698282
Selection 4,5737.831026008582,12083.432451797466
Selection 5,7869.933183525706,11591.300862087124
Selection 5,7966.260870181502,11711.167941029336
Selection 5,7925.437130196711,11788.653901538304
Selection 5,7783.358260268404,11830.881835206126
Selection 5,7585.979690022989,11758.629687515719
Selection 5,7557.334138889196,11597.402721909742
Selection 5,7669.5419795603375,11580.807705655765
Selection 5,7869.933183525706,11591.300862087124
Selection 6,8426.402374713012,11436.150225509531
Selection 6,8502.867103452505,11501.764366698344
Selection 6,8575.553274644937,11545.779455962747
Selection 6,8696.620300916282,11621.09529896158
Selection 6,8839.848056585248,11753.217159137499
Selection 6,8920.704081933485,11859.986940636183
Selection 6,8805.177238011547,11912.912277089263
Selection 6,8648.673469339397,11881.151969058566
Selection 6,8542.235588165793,11837.775149650088
Selection 6,8380.038452378816,11760.697681848907
Selection 6,8217.99450135726,11547.719796324753
Selection 6,8267.447649794118,11440.388337352855
Selection 6,8426.402374713012,11436.150225509531
Selection 7,313.18621351699846,1674.5904859187754
Selection 7,359.16508680403103,1681.584495338864
Selection 7,371.84793552930336,1763.313680468946
Selection 7,371.49326973720935,1827.1677096775031
Selection 7,355.3063229860512,1888.0141729691054
Selection 7,300.56011131846094,1877.4593189963955
Selection 7,294.1477537974062,1807.1787456350996
Selection 7,313.18621351699846,1674.5904859187754
Selection 8,316.56263185773065,2314.790613911347
Selection 8,334.01218882874286,2381.2549833497137
Selection 8,333.96962893369164,2385.8940119103004
Selection 8,327.82681741462807,2450.0175871208485
Selection 8,306.00777788502086,2508.977228398512
Selection 8,241.92676256952367,2492.0667634314827
Selection 8,249.8996495757909,2365.621315234222
Selection 8,316.56263185773065,2314.790613911347
Selection 9,261.39082123962834,2940.1657117943996
Selection 9,292.9418901042873,2976.2423161661754
Selection 9,310.06515454657347,3045.444705519506
Selection 9,258.8656007999206,3093.7643730343575
Selection 9,201.6792884827258,3069.349179906624
Selection 9,207.1127684176021,2978.739163342515
Selection 9,261.39082123962834,2940.1657117943996
