#Selection names:,"Selection 1, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 9"
"#Areas (µm^2): 1301118.1, 94508.1, 74121.6, 1013895.9, 5217527.9, 1173645.4, 18265.2"
Selection,X,Y
Selection 1,2229.301158904061,941.2855669088623
Selection 1,2315.001567656936,929.2361172179192
Selection 1,2350.108177563402,929.4271027317525
Selection 1,2482.2527908166694,948.924987462198
Selection 1,2635.093288841702,983.0419451606175
Selection 1,2709.6818131533614,1022.2287001353419
Selection 1,2855.7857312359065,1139.0076606847413
Selection 1,2902.2299357362995,1271.6036942434334
Selection 1,2946.7295604594797,1390.6397563199555
Selection 1,2948.118546014632,1525.5623406835273
Selection 1,2895.285007960539,1598.0673866624584
Selection 1,2819.2380488159706,1638.4695039979408
Selection 1,2726.9052340372455,1668.002809364359
Selection 1,2591.3749684932945,1645.570692648655
Selection 1,2492.3229360915216,1623.2601121690268
Selection 1,2417.5434262660283,1602.8246621888538
Selection 1,2318.005248919952,1594.351850302427
Selection 1,2224.0230137944845,1587.2506616517128
Selection 1,2112.435386757465,1609.1271841453558
Selection 1,2065.6612981877233,1688.3514477473348
Selection 1,2009.528919440145,1787.1777699963955
Selection 1,1953.5701638869614,1876.6978890259381
Selection 1,1910.2511768856605,1961.4954571679643
Selection 1,1851.3408270277782,2051.241286350219
Selection 1,1807.327347248901,2119.6488249414524
Selection 1,1756.0737802637946,2196.8416971690217
Selection 1,1713.8833440260541,2290.6503091000964
Selection 1,1652.4901824883384,2433.8894444751404
Selection 1,1589.7080353954705,2586.50423234746
Selection 1,1482.1831911072707,2728.111309695201
Selection 1,1396.534869312714,2811.9018633097417
Selection 1,1321.599098612267,2835.6187916639615
Selection 1,1248.1912120224865,2834.7506756919915
Selection 1,1177.85645597348,2829.750327693444
Selection 1,1116.168135005294,2752.800527938027
Selection 1,1123.8422801975087,2672.3435396558502
Selection 1,1203.604775702109,2424.756864450016
Selection 1,1331.391446776088,2146.768767905794
Selection 1,1425.4257688598746,2014.3116329026168
