#Selection names:,Selection 1
#Areas (µm^2): 31989462.8
Selection,X,Y
Selection 1,-17.8243122697525,2011.912471160313
Selection 1,79.75513633891892,2001.8230967592283
Selection 1,211.6860665745123,1876.5573793766198
Selection 1,243.52893786940416,1762.2233435138796
Selection 1,299.4141840982773,1663.9846980296384
Selection 1,388.64380561639626,1643.055197230293
Selection 1,462.8400761666562,1657.0081977631899
Selection 1,534.326315117351,1689.4919549093306
Selection 1,549.5244653041019,1772.184540744714
Selection 1,560.1448594105069,1848.1386696298275
Selection 1,576.2219387646848,1958.3344139959345
Selection 1,602.5715027631602,2058.257673717743
Selection 1,649.8322565366601,2119.5080500727827
Selection 1,712.3460935698754,2166.8603589678896
Selection 1,778.2108480539046,2192.6605922367235
Selection 1,859.4568629678981,2213.956313522497
Selection 1,937.5533816986142,2235.2703458325914
Selection 1,1005.4689709066388,2256.859043507506
Selection 1,1107.7726637902272,2292.5838519585327
Selection 1,1199.4925846160547,2328.931235236486
Selection 1,1330.1783651977937,2363.9968468119423
Selection 1,1422.7405931424048,2392.012714023664
Selection 1,1532.7349162409769,2398.494816633435
Selection 1,1702.606288870484,2430.9968848038966
Selection 1,1820.9321280352867,2445.645704261007
Selection 1,1916.5339860172483,2438.9438693593793
Selection 1,2004.3353476382993,2429.0009831528655
Selection 1,2082.358622271729,2416.3480653467873
Selection 1,2179.8282047344715,2443.8329128531896
Selection 1,2255.489357230443,2467.5456893493856
Selection 1,2389.288011946818,2519.2560220329824
Selection 1,2486.8491495311673,2545.147810423424
Selection 1,2591.2586102117166,2561.6460433369934
Selection 1,2678.7669954436246,2564.099720596059
Selection 1,2787.571101961306,2559.2839211995342
Selection 1,2866.7296601026624,2549.5790783091993
Selection 1,2965.682435535437,2534.3992391467696
Selection 1,3073.809034153228,2525.3902151806474
Selection 1,3149.342009478949,2517.6995849656646
Selection 1,3217.092799468081,2545.3492316909587
Selection 1,3273.1611559401676,2592.701540586065
Selection 1,3341.186611294121,2638.076258854463
