#Selection names:,Selection 1
#Areas (µm^2): 2089069.1
Selection,X,Y
Selection 1,1679.7177310096042,2103.637332429978
Selection 1,1690.4530812389048,2081.0760567099874
Selection 1,1751.9910623945907,2102.171871922486
Selection 1,1800.6352631161426,2143.6705326501437
Selection 1,1817.1188537856829,2206.9011774927776
Selection 1,1827.4679586099085,2282.1849510055577
Selection 1,1816.6417271088253,2377.7579684437674
Selection 1,1782.6521314621918,2493.9042337817277
Selection 1,1760.2839784447385,2560.1680410701006
Selection 1,1731.6336575153239,2660.6940878204537
Selection 1,1710.7764056412536,2710.644706823878
Selection 1,1696.4512451765463,2775.215850425303
Selection 1,1684.1936336448894,2819.8726353474
Selection 1,1667.8690852009681,2887.522382030455
Selection 1,1679.1610832199365,2943.6642876740584
Selection 1,1694.6336197408973,2997.3069583436445
Selection 1,1722.9544960601008,3059.072142678786
Selection 1,1763.0104165982118,3107.6822629234193
Selection 1,1803.8274677875006,3160.257078649562
Selection 1,1869.0915810862668,3203.289360838548
Selection 1,1928.9596188729502,3226.486805461016
Selection 1,1986.9986710650116,3228.8610786863323
Selection 1,2034.4727754123646,3226.1914413277236
Selection 1,2096.45380276799,3212.559250560357
Selection 1,2212.588707946977,3167.6866226177763
Selection 1,2285.3391660088214,3154.9405242502894
Selection 1,2369.461143202444,3151.2257522661816
Selection 1,2470.0212704297155,3144.216534179961
Selection 1,2541.442589891742,3123.1320791264343
Selection 1,2601.6059918117185,3082.451349844819
Selection 1,2653.8286426097043,3045.8261973164954
Selection 1,2725.2272417537843,3028.4110736111847
Selection 1,2771.360847342346,3066.490326488028
Selection 1,2791.082083319136,3135.105686683771
Selection 1,2788.719170252793,3181.8754611748104
Selection 1,2782.152998366511,3251.615477108861
Selection 1,2774.5644121726773,3342.6330707989764
Selection 1,2773.4738369112883,3394.878441914908
Selection 1,2779.1084757617996,3458.0068453267863
Selection 1,2775.166500598236,3516.250380380358
Selection 1,2767.021266614735,3574.0281489160457
Selection 1,2754.0706853857373,3656.7528265560127
Selection 1,2731.782053481093,3704.101969154665
Selection 1,2666.6997027258917,3792.12048087596
Selection 1,2637.2541706683805,3831.3243894911097
Selection 1,2592.6087459052565,3883.9673661710895
Selection 1,2541.8174751378447,3926.3975599345167
Selection 1,2466.5337016250646,3971.3156285129885
Selection 1,2417.060209298498,3994.7629966328586
Selection 1,2327.9397621568414,4023.311076131518
Selection 1,2281.6925549785515,4038.6132102678866
Selection 1,2225.6983314015943,4053.642700588908
Selection 1,2074.8354202427413,4073.3412162477525
Selection 1,1875.589592018711,4074.590833734761
Selection 1,1771.8486202790543,4051.6773930866125
Selection 1,1699.3480857146117,4001.942617103671
Selection 1,1620.838027053555,3949.583644398012
Selection 1,1568.6608168914606,3899.337661261295
Selection 1,1500.8293076648408,3839.8558688796875
Selection 1,1430.3054407616662,3782.36210431832
Selection 1,1351.3750562186158,3722.073740649643
Selection 1,1230.7074476094788,3621.3091305608605
Selection 1,1145.9493015133794,3526.4404429789643
Selection 1,1094.2037773922518,3412.895654045777
Selection 1,986.9979571658891,3246.3670836634255
Selection 1,951.4974603758731,3216.2853827034373
Selection 1,951.4974603758731,3216.3876241341923
Selection 1,917.7918687035597,3136.218982263106
Selection 1,881.4620803085287,3045.1673080960722
Selection 1,851.482620779296,2940.267600141189
Selection 1,824.7748870342308,2778.748859865845
Selection 1,830.9434533564643,2678.790821064132
Selection 1,836.0668850531991,2628.6925199940615
Selection 1,831.6250628948325,2542.8324384775997
Selection 1,860.8888324087789,2487.735667459495
Selection 1,907.6131662639262,2453.950554674372
Selection 1,960.1425413541775,2436.1832660409045
Selection 1,1006.3215875786308,2423.641650534928
Selection 1,1040.2884629073183,2386.4484900579637
Selection 1,1117.4807431275294,2335.9185029469263
Selection 1,1186.7663527026687,2300.8951328337675
Selection 1,1228.0378102508696,2273.7557130477358
Selection 1,1266.5146686917608,2247.0138988257527
Selection 1,1335.9366001745734,2210.956754246069
Selection 1,1402.268568416783,2196.2680686942317
Selection 1,1465.2606499209876,2185.816722439251
Selection 1,1511.5532977351688,2160.9379742888077
Selection 1,1561.6061581693486,2130.913074123683
Selection 1,1620.00873544854,2111.4872022801865
Selection 1,1627.1542754424345,2108.9879673061696
Selection 1,1679.7177310096042,2103.637332429978
