#Selection names:,Selection 1
#Areas (µm^2): 8482565.4
Selection,X,Y
Selection 1,1638.2624604459686,-22.270339453908367
Selection 1,1662.4935279636907,94.66987560246504
Selection 1,1698.5928734492766,243.1646392241909
Selection 1,1714.440792243666,384.66559618628264
Selection 1,1730.5241927437676,546.3944316689997
Selection 1,1748.3737060367052,693.3585642036002
Selection 1,1696.8032124858685,799.9140360380926
Selection 1,1659.102591401444,913.8165370907865
Selection 1,1629.3612519700703,1070.0351006598523
Selection 1,1625.4758038258292,1371.9932918938184
Selection 1,1645.2091707644604,1545.3078272975458
Selection 1,1660.8451560237095,1688.786830587615
Selection 1,1680.672715644625,1893.0436621218441
Selection 1,1717.6433434413439,2046.9309568043655
Selection 1,1750.1869151706849,2139.522363490161
Selection 1,1781.6001747126102,2259.735774255925
Selection 1,1823.7278518644127,2344.79176635895
Selection 1,1879.2073417300626,2436.4412462218993
Selection 1,1905.4164555757618,2564.402005105575
Selection 1,1873.626425304698,2664.10495930386
Selection 1,1789.2297819776659,2728.6269466688345
Selection 1,1753.2952736860775,2830.5905252419507
Selection 1,1702.6196106169448,2935.474076965891
Selection 1,1675.1153473898316,3031.974479966499
Selection 1,1558.8344811094505,3108.882805051903
Selection 1,1447.8755013781515,3176.4425064205566
Selection 1,1294.718199983336,3271.2945374811834
Selection 1,1224.0736882698607,3346.9312613557445
Selection 1,1183.9947019577485,3485.111926267303
Selection 1,1183.9240574460352,3644.9333599337556
Selection 1,1195.1094384673354,3769.0322188437613
Selection 1,1234.1994016154583,3904.551940480779
Selection 1,1315.0167230156746,4059.216324792149
Selection 1,1454.798663526072,4235.238899811558
Selection 1,1611.4646423359898,4356.2058520356
Selection 1,1815.0856732647978,4464.362599468931
Selection 1,2006.5323000083165,4484.119514578134
Selection 1,2107.1771810294485,4510.846688176399
Selection 1,2188.7009475467994,4574.002881648246
Selection 1,2275.9233713423705,4691.696638162896
Selection 1,2307.0540528374427,4793.4482832008725
Selection 1,2255.1303367280375,4937.492442584649
Selection 1,2199.0385944275376,5062.580324658644
Selection 1,2115.890004140777,5125.053621183927
Selection 1,1852.8804870315078,5205.117401125866
Selection 1,1382.81190609004,5292.551758456578
Selection 1,1195.6039500493296,5311.060620525508
Selection 1,728.5730831115422,5311.861258324928
Selection 1,407.7528072500778,5295.259798072261
Selection 1,297.8534951944812,5281.130895729566
Selection 1,125.85765734273873,4962.594792413504
Selection 1,43.132934126258874,4583.139571829855
Selection 1,15.275448340578167,4287.492290308959
Selection 1,1.5939612387351416,4010.1183891512833
Selection 1,33.59592504493962,3672.673104866581
Selection 1,120.48867445251456,2783.093865199924
Selection 1,149.4058279138973,2122.8973550669225
Selection 1,155.05738885097517,1739.886360727029
Selection 1,121.33640859307643,1455.188978521722
Selection 1,92.48989964340718,945.3475374855681
Selection 1,82.41128263895106,462.46875175339056
Selection 1,110.3394129363453,170.6362738650225
Selection 1,175.45010456559854,36.97685770312657
Selection 1,335.3421827437656,-41.55629115168719
Selection 1,655.9034287289464,-75.70113847986713
Selection 1,1028.0116200943944,-98.84899015131599
Selection 1,1129.7632651323706,-95.55224627135377
Selection 1,1386.1792944817155,-80.01045369438913
Selection 1,1526.4086502329653,-70.99150436563542
Selection 1,1526.432198403536,-70.99150436563542
Selection 1,1638.2624604459686,-22.270339453908367
