#Selection names:,Selection 1
#Areas (µm^2): 3990477.1
Selection,X,Y
Selection 1,3476.88856489783,3705.962737682515
Selection 1,3641.4857582717814,3738.2353829475287
Selection 1,3680.9803714024347,3746.5465107000978
Selection 1,3824.933795842587,3883.6801186174775
Selection 1,3930.0963720021027,4086.6827652351535
Selection 1,3991.374182871342,4265.489306057045
Selection 1,3999.3669408108085,4471.1897179331145
Selection 1,3858.312357300484,4861.108957453817
Selection 1,3689.4758185204837,4933.127560438776
Selection 1,3459.529031930771,4971.030324503917
Selection 1,3230.453573250602,5015.8031740096885
Selection 1,3110.863817665762,5017.88095594783
Selection 1,3040.4203074403626,5022.974872957469
Selection 1,2891.8421425572474,5021.39978019791
Selection 1,2807.6919740624926,5021.986250906257
Selection 1,2665.414180217615,5026.024520640872
Selection 1,2428.9659469182325,5018.567964491894
Selection 1,2277.053277150519,5008.597962450002
Selection 1,2156.407874290654,5003.219188239166
Selection 1,2043.8054982881135,4989.361723216235
Selection 1,1921.400683303209,4972.588660957523
Selection 1,1826.6437731403569,4960.088456716764
Selection 1,1726.9269964154876,4937.8193261055485
Selection 1,1566.6361736713948,4870.693564458796
Selection 1,1384.629178412526,4762.699172593263
Selection 1,1286.4539818353114,4578.430076030772
Selection 1,1232.1132816305133,4384.509347239492
Selection 1,1245.434544862957,4037.486250957853
Selection 1,1332.4667979815872,3768.7821286994085
Selection 1,1409.0598724916488,3680.3423458807465
Selection 1,1478.6488111134574,3558.524001604189
Selection 1,1558.5261215902597,3407.2983403805383
Selection 1,1688.9404508205832,3295.734855347069
Selection 1,1889.195063262006,3212.2549390904232
Selection 1,2133.0998527103666,3179.0271843861024
Selection 1,2425.7822487872086,3196.654818248405
Selection 1,2726.172545602319,3321.5563228202705
Selection 1,2986.6828342498648,3503.881687892241
Selection 1,3174.1858978612386,3587.3113352310284
Selection 1,3476.88856489783,3705.962737682515
