#Selection names:,"Selection 1, Selection 2"
"#Areas (µm^2): 2837482.3, 22529112.3"
Selection,X,Y
Selection 1,5346.232054687197,1562.7114477112602
Selection 1,5328.374436674705,1382.3629905020368
Selection 1,5341.878417501844,1336.726855581224
Selection 1,5355.228287278172,1258.1494835499893
Selection 1,5289.73109068435,959.5400587262151
Selection 1,5194.336350233584,678.0369605422395
Selection 1,5168.7153880365895,420.13211701339054
Selection 1,5365.457408275619,300.6575248737193
Selection 1,5475.473434671889,255.38740369857774
Selection 1,5592.597833286723,236.45100833042295
Selection 1,5784.889896933642,251.82358564861983
Selection 1,6074.9846862002205,325.37308464721133
Selection 1,6207.520189895954,814.0784906438774
Selection 1,6267.315277609842,1548.8029253757488
Selection 1,6212.971868318322,1943.269423802716
Selection 1,6158.917417247068,2200.6734064164357
Selection 1,6045.9154892413735,2783.983733728472
Selection 1,5928.444340762219,3341.576779436758
Selection 1,5831.79744802363,3909.4374739051927
Selection 1,5749.502146891628,4080.500740303174
Selection 1,5612.574478247839,4156.496752233358
Selection 1,5447.849028814376,4090.267528148194
Selection 1,5417.643262855813,3980.386348921382
Selection 1,5412.191584433445,3861.9712702560223
Selection 1,5418.028540482836,3631.9605269236017
Selection 1,5425.0598571759965,3520.6923482395086
Selection 1,5425.637773616531,3343.2527371143055
Selection 1,5420.436525651728,3197.752641269265
Selection 1,5415.851721890159,3032.3144282258118
Selection 1,5418.799095736882,2860.7695647940527
Selection 1,5420.2631507195665,2730.064129826676
Selection 1,5419.916400855247,2652.8352294900196
Selection 1,5419.319220533363,2573.988163119869
Selection 1,5411.247654247241,2421.726444920584
Selection 1,5383.700303915134,2291.5411347496874
Selection 1,5347.734637432584,2194.1429506384043
Selection 1,5307.184167188469,2003.680955719841
Selection 1,5277.132512280716,1911.7151861495747
Selection 1,5250.64467542292,1778.6210298946585
Selection 1,5283.027259974159,1613.452511190121
Selection 1,5346.232054687197,1562.7114477112602
Selection 2,3925.5343717044125,6076.658571812207
Selection 2,4594.066731192872,6128.213090466082
Selection 2,4611.680234893327,6137.743213068023
Selection 2,4817.921273659674,6184.521188345501
Selection 2,5012.220953985033,6180.869888360662
Selection 2,5649.292426811663,6015.045755086886
Selection 2,6035.457587472488,6086.096837810756
Selection 2,6131.1262399054685,6184.245618535325
Selection 2,6324.002142878248,6441.62782124028
Selection 2,6341.110435260047,6714.533789918519
Selection 2,6403.389212359962,7066.7808997767725
Selection 2,6442.359376349103,7259.6797669004
Selection 2,6580.236138040801,7572.86485616612
Selection 2,6633.811501969303,7951.1533130860635
Selection 2,6322.46354477143,8834.813837719066
Selection 2,5667.870424847737,9452.021320062131
Selection 2,4485.951509000249,9520.821916002893
Selection 2,4066.740935269077,9529.732006531936
Selection 2,3385.624221115886,9536.483466881262
Selection 2,1948.757302553336,9358.12090724445
Selection 2,1585.7859342490426,9230.118730417416
Selection 2,1246.858031882658,9113.116381846594
Selection 2,558.4846460614822,8790.515990733174
Selection 2,351.8761808815675,8600.625427370642
Selection 2,65.35247075043507,8324.320764366892
Selection 2,-222.96244314684486,7845.701932391814
Selection 2,-351.33204638745013,7365.406717404827
Selection 2,-409.4313480330186,6828.298193219763
Selection 2,-394.3439009258495,6404.908144034247
Selection 2,-378.7053141983268,6106.971250931633
Selection 2,-294.10538247410676,5996.628506106749
Selection 2,-3.7466591513504226,5854.457448206465
Selection 2,240.5919058719119,5673.362154618735
Selection 2,518.1825613231528,5551.83586833085
Selection 2,688.5995247665384,5558.449543775088
Selection 2,1069.3681099780717,5624.149979351362
Selection 2,1427.5858990568188,5660.34148108789
Selection 2,1875.708338705686,5665.829913140576
Selection 2,2521.8965794189926,5713.779060111305
Selection 2,3925.5343717044125,6076.658571812207
