#Selection names:,Selection 1
#Areas (µm^2): 45866810.4
Selection,X,Y
Selection 1,10533.450720628214,6354.470726512913
Selection 1,10523.557849866975,6491.082651381784
Selection 1,10387.520614585896,6517.641520188922
Selection 1,10211.829797747325,6527.370193925077
Selection 1,9967.668821449239,6549.085250492273
Selection 1,9640.83464302197,6564.355573824972
Selection 1,9403.03630144584,6589.067226099929
Selection 1,9089.830476100444,6741.154720582852
Selection 1,8651.21917284808,6971.030555698738
Selection 1,7849.157754574986,7298.069980407357
Selection 1,7371.960150428169,7452.456233241437
Selection 1,6048.696325286075,7575.686100566061
Selection 1,4605.117130014575,7717.100788418603
Selection 1,3524.290212407201,7749.611799384992
Selection 1,2176.93047383421,7727.445200998818
Selection 1,1466.326798532224,7487.840692146776
Selection 1,708.8038233128356,7096.025541043001
Selection 1,435.41577655001356,6768.6987715404875
Selection 1,351.18270268254906,6509.390619678513
Selection 1,254.38855639625262,6221.75848098976
Selection 1,118.43341962771377,5670.097525967902
Selection 1,-117.2714098786117,4808.104193539598
Selection 1,-133.321669080453,4061.5003204882128
Selection 1,-87.51069908235836,3617.511564664386
Selection 1,-65.67249474634896,3355.0426200695683
Selection 1,-46.46144281166403,3007.8480105320377
Selection 1,43.272231396072584,2663.896292239892
Selection 1,162.23297606854416,2340.674448364447
Selection 1,228.73277122706887,2038.798217749763
Selection 1,308.2041313671323,1786.6736857351598
Selection 1,475.4798506702106,1756.6666794012824
Selection 1,671.9415911817526,1730.4772539005796
Selection 1,820.7861944192891,1598.2165501964034
Selection 1,933.138008832179,1472.811072289433
Selection 1,1092.8606649814496,1349.2117616583732
Selection 1,1264.2413099115977,1227.1723227655998
Selection 1,1474.3724527612803,1129.2698465599944
Selection 1,1716.6041140146458,1090.0678068214816
Selection 1,1919.0590459417094,1136.2482201260125
Selection 1,2089.7418535152547,1220.6454910185594
Selection 1,2289.364386759641,1412.9202073904905
Selection 1,2463.782676653819,1533.1945282636239
Selection 1,2653.06079731799,1699.854508722642
Selection 1,2851.985493205773,1828.66707490008
Selection 1,3115.9732602826066,1806.8699198203415
Selection 1,3317.278813034091,1786.7147349914305
Selection 1,3587.5881655766116,1757.8571078331327
Selection 1,3952.8444478732467,1727.1522641426534
Selection 1,4162.647196672764,1738.6871051547187
Selection 1,4412.55506884875,1840.6945069873932
Selection 1,4604.911883733223,1893.7711953454007
Selection 1,4839.179989270074,2059.692289191546
Selection 1,5106.574844617375,2316.6195841898207
Selection 1,5254.680561242039,2464.0274634578827
Selection 1,5387.023363458758,2585.9848038381147
Selection 1,5633.1957533141085,2821.853830369523
Selection 1,5836.020128547609,3011.049852521152
Selection 1,6013.229767868195,3170.813557926693
Selection 1,6197.49987926734,3410.9106578539827
Selection 1,6402.171471033021,3683.313522466309
Selection 1,6618.213706785685,3851.533374663614
Selection 1,6788.32182477144,3921.68655363023
Selection 1,7019.47018683172,3984.5740142369323
Selection 1,7292.6529873131885,4045.8195045928087
Selection 1,7704.6233232458735,4149.550975188852
Selection 1,8219.832538699355,4292.361337754596
Selection 1,8714.763421555113,4446.0908024883465
Selection 1,8976.903972099764,4558.688912438861
Selection 1,9240.152852563726,4793.080165744524
Selection 1,9550.074737407465,5166.464200782757
Selection 1,9716.242126791234,5314.980409970128
Selection 1,10030.022641724421,5540.5871224338625
Selection 1,10328.573882581179,5787.908891464795
Selection 1,10450.038631886162,5990.117527854232
Selection 1,10495.357010809008,6168.230250812775
Selection 1,10533.450720628214,6354.470726512913
