#Selection names:,"Selection 1, Selection 2"
"#Areas (µm^2): 16905066.4, 2082135.0"
Selection,X,Y
Selection 1,9127.895771381422,2837.778550776107
Selection 1,9174.426422506509,2942.8227465149466
Selection 1,9186.009052329578,2999.23490688434
Selection 1,9205.646988422695,3157.639252542433
Selection 1,9206.297416879284,3269.663045950035
Selection 1,9231.489011332487,3540.1912509321287
Selection 1,9172.900417281438,3891.472650447439
Selection 1,9136.651539066248,4202.37745269614
Selection 1,9094.548804741775,4541.025530266197
Selection 1,9018.82392250756,4771.577401647275
Selection 1,8898.219476768825,5019.09044585782
Selection 1,8830.299736013656,5225.05111828408
Selection 1,8749.771689792336,5369.446235646448
Selection 1,8726.881611416286,5518.494418121324
Selection 1,8738.439224760257,5659.112047139666
Selection 1,8716.0744924453,5800.330071656396
Selection 1,8686.730162461572,5939.746909677961
Selection 1,8618.785405227305,6030.706827683777
Selection 1,8481.945264552991,6075.786523021093
Selection 1,8374.624569216096,6073.88527060953
Selection 1,8229.353875085246,6067.481051960056
Selection 1,7958.40038995846,6075.586391188297
Selection 1,7832.192252901436,6192.313282666608
Selection 1,7698.87943578015,6249.576003325385
Selection 1,7552.307884736127,6241.495680576243
Selection 1,7511.631089720321,6111.009725593202
Selection 1,7497.321663675402,5976.721265787037
Selection 1,7542.726573241013,5876.9055141799945
Selection 1,7624.155212709917,5744.968603409182
Selection 1,7605.592985218079,5601.248930982501
Selection 1,7525.765400411546,5429.585851401669
Selection 1,7431.67842251829,5350.5087609681195
Selection 1,7313.700707085007,5351.434370694801
Selection 1,7193.09626134627,5382.029524633501
Selection 1,7060.734070430767,5497.330476803139
Selection 1,7022.508890366717,5604.551106223636
Selection 1,6963.9953457529655,5735.587423746866
Selection 1,6802.739121477528,5843.108250916557
Selection 1,6702.047793102003,5837.054262974476
Selection 1,6588.99832405132,5793.47555638313
Selection 1,6498.663818022993,5743.092367476719
Selection 1,6415.959338120014,5674.297049953068
Selection 1,6280.570153233471,5587.439834519571
Selection 1,6194.38838273566,5478.543100999408
Selection 1,6154.16188434365,5334.097950678842
Selection 1,6120.314588122013,5200.735100599358
Selection 1,5954.030051547575,5121.933191435903
Selection 1,5766.731672529549,5021.942324475164
Selection 1,5663.638762160472,4958.550566437008
Selection 1,5558.319385151536,4914.471530263672
Selection 1,5419.00261304637,4875.570905263936
Selection 1,5274.157199060211,4844.925718367037
Selection 1,5172.790425748999,4791.040222386694
Selection 1,5053.536869881638,4710.637258560871
Selection 1,4876.4952472944115,4680.59246716236
Selection 1,4753.939516185915,4684.895301567476
Selection 1,4630.933488453627,4722.044773030247
Selection 1,4427.774661686512,4795.167941438112
Selection 1,4186.8909844373375,4800.496451486308
Selection 1,4082.9975467370755,4780.358185811203
Selection 1,3948.408889181715,4698.304134364812
Selection 1,3854.3469277675604,4604.0170246387615
Selection 1,3758.909060002932,4524.06435743673
Selection 1,3643.107778251304,4351.150453900922
Selection 1,3615.914865470137,4171.382035091848
Selection 1,3600.104450679247,4032.3404442567758
Selection 1,3557.0010571907924,3900.9288795470534
Selection 1,3452.10696032655,3782.050570866185
Selection 1,3298.430729218265,3705.6502436962837
Selection 1,3199.865801566198,3623.6962581662906
Selection 1,3102.001335328918,3537.7146195012774
Selection 1,3050.6425037376252,3407.804043537526
Selection 1,3090.768936213238,3301.609089760109
Selection 1,3140.4266472257636,3214.977022638508
Selection 1,3208.4964868555285,3099.050658491382
Selection 1,3341.1338590411265,2979.071624730135
Selection 1,3457.4604868538454,2773.36111709487
Selection 1,3630.7996705343453,2660.9370600216757
Selection 1,3777.89656763946,2514.8408220805413
Selection 1,3920.7656797767577,2463.7321552802437
Selection 1,4028.261490467349,2473.7387469200476
Selection 1,4174.257662492086,2525.2977103441362
Selection 1,4280.502649227701,2507.0356806014943
Selection 1,4378.567247297777,2389.258097001005
Selection 1,4386.997800754312,2278.610209943875
Selection 1,4490.240809997987,2194.6298896068224
Selection 1,4591.807715141995,2168.4626524687355
Selection 1,4703.606360237702,2144.1716512631115
Selection 1,4807.024484835073,2109.398745314794
Selection 1,5011.984498097353,1975.3104173414242
Selection 1,5042.22942132866,1878.64674210092
Selection 1,5058.139902035949,1775.603864690041
Selection 1,5065.844977598596,1586.1040355112584
Selection 1,5121.981956697896,1487.6641902546892
Selection 1,5305.552880330095,1509.953873132352
Selection 1,5486.447040698647,1585.7788212829648
Selection 1,5701.213513767934,1675.3127999801084
Selection 1,5810.910774619282,1791.2141476481352
Selection 1,5806.6829896514655,1789.9633236931597
Selection 1,5997.984005325412,1876.470308419263
Selection 1,6160.090789890233,1925.402541537903
Selection 1,6424.965270595838,2078.2031958777056
Selection 1,6558.778417299113,2166.336251745277
Selection 1,6671.327556767805,2278.234962757382
Selection 1,6776.246670111148,2439.3160716791226
Selection 1,6804.140044307101,2548.4629699902816
Selection 1,6831.357973567366,2667.5414105039463
Selection 1,6948.660244064966,2643.850804796711
Selection 1,7050.552363437267,2482.569564042174
Selection 1,7126.377311587879,2293.394949091685
Selection 1,7187.617652423479,2164.409982854615
Selection 1,7302.868571634917,2047.3328606689113
Selection 1,7448.914776617852,2037.1761701545106
Selection 1,7475.53231037973,2182.7720785136544
Selection 1,7352.27611785645,2320.112548769961
Selection 1,7260.040359416559,2494.827638800934
Selection 1,7238.4011049954825,2647.2280294751445
Selection 1,7215.01069703744,2788.9714000529643
Selection 1,7259.9653099792595,2920.2578823671893
Selection 1,7465.075422116135,3095.2481536682567
Selection 1,7570.995194623459,3151.260050372058
Selection 1,7688.19739920466,3187.709060420043
Selection 1,7831.066511341957,3184.206753346112
Selection 1,7954.572868656235,3116.6872762565363
Selection 1,8011.1351279002265,3007.89060865277
Selection 1,8156.430838510174,2842.981978428805
Selection 1,8288.092568010894,2685.9035061629857
Selection 1,8393.086730791534,2550.039008173551
Selection 1,8507.712238025486,2374.0730941876022
Selection 1,8642.200829664445,2278.1849297991835
Selection 1,8848.211535048906,2233.8056958766538
Selection 1,8941.147754903583,2299.599035908363
Selection 1,9013.445379501165,2399.489836952704
Selection 1,9088.870063986187,2652.656605439738
Selection 1,9127.895771381422,2837.778550776107
Selection 2,10201.327873062266,6395.697257745618
Selection 2,10223.89273721002,6485.006088130866
Selection 2,10211.809777804958,6608.71257727794
Selection 2,10191.146166068764,6737.1721974539205
Selection 2,10122.400881503312,6903.456734028358
Selection 2,10065.33829267733,7098.4351721299345
Selection 2,10016.806323224282,7203.17917011958
Selection 2,9861.128773788038,7409.765254523329
Selection 2,9759.13658849934,7463.20045387988
Selection 2,9630.10158930407,7513.983906451883
Selection 2,9517.302285044381,7522.664624699414
Selection 2,9402.501662456734,7518.336773815199
Selection 2,9265.111159242228,7526.1919482524445
Selection 2,9157.365183760641,7527.0925415000265
Selection 2,8984.326197829338,7527.292673332822
Selection 2,8845.859986013553,7529.068843348889
Selection 2,8704.967175725116,7533.3966942331035
Selection 2,8575.456863426956,7522.839740053111
Selection 2,8339.376350164886,7377.393930568563
Selection 2,8227.777836901976,7378.99498523093
Selection 2,8123.909415680813,7389.351807578128
Selection 2,7962.878339717272,7415.218846967021
Selection 2,7804.348911663681,7424.87520789943
Selection 2,7683.419251696652,7439.609914089042
Selection 2,7467.301888755992,7464.5013107930545
Selection 2,7291.636172519237,7409.390007336835
Selection 2,7262.091710702717,7224.743375103357
Selection 2,7331.937720348547,7138.061275023557
Selection 2,7453.367709897565,7117.847959911153
Selection 2,7558.2117738036095,7138.286423335453
Selection 2,7726.072348561316,7167.605736840077
Selection 2,7855.632693817676,7174.9605816953335
Selection 2,8043.756616645986,7197.650528238589
Selection 2,8247.315707078693,7211.384575264218
Selection 2,8355.161748476678,7165.979665698609
Selection 2,8302.126812785718,7060.2850415031835
Selection 2,8160.3584257287985,6910.261216343425
Selection 2,8092.763899201924,6790.007001312084
Selection 2,8130.78894743318,6608.012115863154
Selection 2,8197.908160857161,6507.996232423316
Selection 2,8298.199225567094,6458.538653243586
Selection 2,8432.112438186768,6429.694652841851
Selection 2,8476.291540276503,6525.032454690081
Selection 2,8440.893222350696,6618.869267792341
Selection 2,8514.942000485242,6791.432940620756
Selection 2,8618.335108603516,6741.625130733633
Selection 2,8665.51618818519,6624.147744882337
Selection 2,8766.032401207018,6587.923883146248
Selection 2,9024.077383118458,6570.96271031678
Selection 2,9233.36524726495,6565.634200268585
Selection 2,9319.897248470153,6457.337862246809
Selection 2,9406.479282633556,6383.689347777854
Selection 2,9508.971797504244,6359.198214739434
Selection 2,9610.338570815456,6479.452429770775
Selection 2,9743.151058354752,6491.010043114748
