#Selection names:,Selection 1
#Areas (µm^2): 36531427.7
Selection,X,Y
Selection 1,713.4402034693369,6138.245520231213
Selection 1,583.9358442890853,6125.245437604429
Selection 1,576.3785119558345,6142.143706252257
Selection 1,507.2592607619448,6124.123789739883
Selection 1,440.25459160777217,6083.2847748684735
Selection 1,286.2026930968888,5952.713930833408
Selection 1,229.3664054032696,5832.293080588985
Selection 1,235.61821317286845,5730.370226274611
Selection 1,269.74572852691483,5629.936773222994
Selection 1,312.7728761176844,5397.148872154986
Selection 1,335.22422107850906,5177.820745461524
Selection 1,371.3008294430771,4960.846240516618
Selection 1,408.4990856721911,4743.687858872607
Selection 1,502.38652823563973,4415.964418056245
Selection 1,597.101415945064,4204.395888065052
Selection 1,700.2746318133582,3969.64050631661
Selection 1,944.8858046338736,3385.795211315706
Selection 1,1159.8192782187048,3015.0446229085755
Selection 1,1287.0803416698657,2802.005079324535
Selection 1,1681.7165132908463,2252.489564046695
Selection 1,1914.044722611091,1925.7774450754162
Selection 1,2157.4239215475973,1655.9751644773987
Selection 1,2479.814938089888,1384.6099319369814
Selection 1,2770.3401226771357,1151.0865240725486
Selection 1,3110.254588644215,1012.2044532378983
Selection 1,3406.6270522630275,925.6353032988628
Selection 1,3888.733369648662,815.1805701459772
Selection 1,4420.320906763683,694.8516582511072
Selection 1,4529.984970110413,693.4725830078135
Selection 1,5148.656511921965,662.7100112474043
Selection 1,5912.664196706783,529.4177920655718
Selection 1,6309.41495036748,460.90533397873105
Selection 1,6502.246444719788,427.9730171688729
Selection 1,6614.043477776146,404.95165444082016
Selection 1,6738.454452391165,399.3066397782705
Selection 1,6942.686302088036,415.52456463940666
Selection 1,7174.940960728638,439.8146765912898
Selection 1,7265.224419989611,436.3394069781892
Selection 1,7466.22003978222,425.3435803716592
Selection 1,7851.846253147014,433.5812564916014
Selection 1,8219.084796601222,457.30135067625633
Selection 1,8453.527587961184,466.01710621387383
Selection 1,8947.365238749771,486.66645952346107
Selection 1,9320.726876284207,520.2975077899215
Selection 1,9442.067110024158,522.2098254606224
Selection 1,9592.239210183909,549.7177796468578
Selection 1,9720.290943441223,592.8736409270015
Selection 1,9849.96079165067,622.4961771529543
Selection 1,9972.257184225975,669.2192463957514
Selection 1,10045.752700858582,761.2311466283201
Selection 1,10098.948229909905,1058.945910150606
Selection 1,10094.66390282074,1156.4924990262607
Selection 1,10157.071654497267,1483.186230327629
Selection 1,10228.562915109622,1970.238830919211
Selection 1,10285.270489113866,2255.7441816208684
Selection 1,10346.372716226742,2776.115240090431
Selection 1,10364.208756040009,3174.962188120936
Selection 1,10389.307925467958,3543.175278080406
Selection 1,10343.982319138366,3985.968757197209
Selection 1,10217.953229571214,4218.591169236023
Selection 1,10101.136362629266,4326.839381999639
Selection 1,9926.214458769868,4345.558029968614
Selection 1,9782.735470457572,4314.3909294701725
Selection 1,9705.764684211861,4294.734510335757
Selection 1,9630.798153986405,4242.973219537459
Selection 1,9557.229086674153,4196.415639323858
Selection 1,9466.191732946845,4150.041935809361
Selection 1,9403.379452532286,4117.550923077358
Selection 1,9299.930421615334,4040.9662778997695
Selection 1,9226.618781681831,4007.5742693421466
Selection 1,9161.87579592666,3955.0039210677837
Selection 1,8952.697663023842,3867.2211849146497
Selection 1,8806.570850244421,3794.2037476997157
Selection 1,8692.273094080223,3796.4654310987175
Selection 1,8551.975172662458,3827.7796329564444
Selection 1,8513.673656238709,3914.403945905211
Selection 1,8354.804188211252,4025.3183708058614
Selection 1,8218.900919902117,4101.461711905595
Selection 1,8124.167644522781,4151.090032994265
Selection 1,7928.964140752008,4187.037927669458
Selection 1,7688.490193661375,4185.254323688132
Selection 1,7584.930836724959,4292.822192665056
Selection 1,7460.096945701994,4392.170773191948
Selection 1,7388.587297419728,4429.442580100705
Selection 1,7285.800222619557,4459.304156035495
Selection 1,7204.177355886469,4454.173996130442
Selection 1,7130.332473525558,4422.289776505487
Selection 1,7049.114135530504,4445.807606321126
Selection 1,6971.040089090158,4437.073463113597
Selection 1,6867.922036231596,4511.525138581557
Selection 1,6544.924226582256,4711.399110509618
Selection 1,6442.964596928061,4772.317460923387
Selection 1,6291.413421525018,4789.98801170746
Selection 1,6190.04219730796,4811.005118415259
Selection 1,6090.12359901384,4892.186681070493
Selection 1,5992.006992370957,4975.35411207607
Selection 1,5635.9849275622055,5062.787482500902
Selection 1,5547.1908695639895,5083.289734451206
Selection 1,5383.080915612017,5110.337996889677
Selection 1,5233.203018170835,5125.765251944657
Selection 1,5142.367928812544,5125.434273886267
Selection 1,4947.311526401056,5113.831654172688
Selection 1,4688.505072409568,5068.101519105062
Selection 1,4544.65833069906,5030.370020448541
Selection 1,4422.74807919188,5018.031893938539
Selection 1,4225.062239983178,4982.102386933255
Selection 1,4026.052488540913,4936.280313516077
