#Selection names:,Selection 1
#Areas (µm^2): 31774561.8
Selection,X,Y
Selection 1,3443.3400874755216,317.3685224538304
Selection 1,3663.358689291003,255.7788652529421
Selection 1,3759.4528098895476,262.97134494710156
Selection 1,4054.5064701359925,251.3726614763399
Selection 1,4529.825702536956,137.62132721420497
Selection 1,5133.410822817094,63.428631269947196
Selection 1,5538.911164493224,212.4619943020807
Selection 1,5875.013796687866,489.5668538703065
Selection 1,5922.996059872776,849.9036068362606
Selection 1,6021.779260717334,1319.488294616205
Selection 1,6113.596771768002,1672.7621621167232
Selection 1,6206.386239534095,2739.0958746116385
Selection 1,6033.572335531181,4117.168504301161
Selection 1,6070.27990081714,5608.474091337923
Selection 1,5861.633192572153,6799.898633108289
Selection 1,5670.190118190223,7731.9727246455595
Selection 1,5306.9374950779875,8455.302912266303
Selection 1,4791.768037344519,8832.68130630941
Selection 1,4131.517840554987,8895.502108683171
Selection 1,3713.5116558070326,8784.828637353221
Selection 1,3536.745127828052,8721.197871049937
Selection 1,3359.6222157200777,8613.569864094992
Selection 1,3232.6846686853173,8512.453967133408
Selection 1,3100.5309539444333,8401.456510231648
Selection 1,2984.738510579901,8277.208043442903
Selection 1,2825.532000592965,8189.893931840381
Selection 1,2655.9579523081416,8060.558891574233
Selection 1,2353.0314426667396,7886.578639512808
Selection 1,2077.3521196144734,7681.042192757188
Selection 1,1919.409153357594,7484.901327584028
Selection 1,1886.1682336899905,7335.770768880351
Selection 1,1810.4204070010512,7042.466630721677
Selection 1,1755.9584323799593,6723.438038161367
Selection 1,1739.0463855315313,6532.027362336618
Selection 1,1700.9132837296136,6167.090014250976
Selection 1,1683.612454195013,6001.598184170947
Selection 1,1686.204338769486,5771.730420972472
Selection 1,1738.1716244876463,5630.440313106573
Selection 1,1853.6076837231883,5500.878482940159
Selection 1,1959.2269801329173,5305.677175925245
Selection 1,2008.505185605065,5106.717636277347
Selection 1,1937.1635626927261,4920.976707959255
Selection 1,1861.9341129186785,4727.784111489556
Selection 1,1769.209442266948,4437.136655019715
Selection 1,1707.3281980514319,4148.659901880995
Selection 1,1643.697431748147,3890.6053939351373
Selection 1,1628.9884867880178,3592.214682299061
Selection 1,1651.7646724861895,3257.4403909488356
Selection 1,1714.5206777455908,3016.881103880663
Selection 1,1807.504536854769,2741.169382271216
Selection 1,1938.4595049799618,2507.8025748972036
Selection 1,2168.1004782781706,2203.0293474964906
Selection 1,2527.53007164306,1907.036129091801
Selection 1,2744.9567888840697,1768.597094257821
Selection 1,3076.1996375015783,1656.271296511646
Selection 1,3196.5926759857966,1583.2773471830815
Selection 1,3261.940565819668,1295.9669421028725
Selection 1,3349.222278865011,748.3989271885055
Selection 1,3378.283784656276,586.6977282986405
Selection 1,3443.3400874755216,317.3685224538304
