#Selection names:,"Selection 1, Selection 2"
"#Areas (µm^2): 8355963.0, 11268960.0"
Selection,X,Y
Selection 1,5520.928187259321,8327.909757989513
Selection 1,5571.797199166222,8543.010460003783
Selection 1,5571.797199166222,8543.010460003783
Selection 1,5574.8594482757535,8666.154497010433
Selection 1,5618.8904281904925,8912.323648728216
Selection 1,5593.55997924562,9374.12865279009
Selection 1,5410.925063907172,10146.083003557269
Selection 1,5138.057856846084,10471.186828923688
Selection 1,4777.63410971146,10539.269843106506
Selection 1,3998.9011880998805,10581.457527440747
Selection 1,3066.0152409258953,10488.668406364515
Selection 1,2294.86361565345,10059.091344387432
Selection 1,2268.760171787723,9932.171524498157
Selection 1,2289.631034650752,9654.012275286612
Selection 1,2341.0054663135934,9409.121538245625
Selection 1,2438.8487849492485,9303.102311793256
Selection 1,2632.186706884121,9027.083663901
Selection 1,2854.541668924858,8705.071818217992
Selection 1,3193.85670860542,8216.182261352385
Selection 1,3503.560096702539,7693.54850313416
Selection 1,3706.530724574194,7344.689949238452
Selection 1,4071.4735189384196,7116.864561603987
Selection 1,4524.091775671696,7150.430379513332
Selection 1,4805.788963174835,7228.919094553785
Selection 1,5008.878513342006,7436.022272194614
Selection 1,5123.1033781849665,7717.868112567149
Selection 1,5226.654967005383,7864.172266625506
Selection 1,5520.928187259321,8327.909757989513
Selection 2,10344.35703223392,6951.830146001884
Selection 2,10355.862764325077,7020.923999696585
Selection 2,10378.07150301266,7077.501281788243
Selection 2,10403.99656343511,7325.692112529797
Selection 2,10417.4347828284,7608.013642084394
Selection 2,10405.007402946996,7774.058897198382
Selection 2,10381.133752122192,8208.155006405066
Selection 2,10260.189777582584,8572.83022560438
Selection 2,10090.606584177001,9017.86718599852
Selection 2,9925.304593409988,9517.132713147885
Selection 2,9809.53373872532,9680.888714073191
Selection 2,9720.966359139902,9779.950986237885
Selection 2,9570.529655312366,9900.121965856639
Selection 2,9174.250836079718,10037.655600620705
Selection 2,8981.06156701424,10060.31029791647
Selection 2,8545.924887721792,10071.667377138234
Selection 2,8333.083709322322,10033.939278885835
Selection 2,8159.546349590838,9941.655577565543
Selection 2,7925.507272015669,9779.921255664005
Selection 2,7782.324828214603,9645.598522878867
Selection 2,7650.172427322628,9489.780585179242
Selection 2,7495.424790282646,9298.434611694262
Selection 2,7313.889906177718,8858.362657137905
Selection 2,7180.637474052223,8486.046680451698
Selection 2,7109.254366168844,8169.951218970604
Selection 2,7016.613897962005,7791.956702673515
Selection 2,7003.770290046295,7444.554946897875
Selection 2,6957.896014551062,7129.708169519696
Selection 2,6956.885175039176,6961.968271694608
Selection 2,6966.636803271474,6687.941572252241
Selection 2,6994.613273291576,6502.036293787109
Selection 2,6977.339809867901,6385.016754999525
Selection 2,6977.577654458933,6241.74511947682
Selection 2,6995.445729360188,6091.962488274623
Selection 2,7111.8409260963135,5952.080138174119
Selection 2,7294.892069469064,5861.074851530625
Selection 2,7540.882837743575,5797.7784597423215
Selection 2,7733.090997871047,5798.610915810931
Selection 2,7868.6921453329805,5819.006089491899
Selection 2,8065.984233593751,5908.524847441444
Selection 2,8224.775228681274,6061.8156863613585
Selection 2,8346.581389863371,6171.729617991871
Selection 2,8653.817140328536,6255.361722313383
Selection 2,9087.051062892728,6255.956333790963
Selection 2,9284.343151153505,6296.6277588573785
Selection 2,9547.25061596514,6431.634294841732
Selection 2,9727.120587932843,6597.97685569451
Selection 2,9827.81804166088,6702.658206322326
Selection 2,9989.611824710177,6803.95027152794
Selection 2,10227.991566071672,6883.687670671309
Selection 2,10344.35703223392,6951.830146001884
