#Selection names:,Selection 1
#Areas (µm^2): 39781953.0
Selection,X,Y
Selection 1,3813.277708793295,749.5134940594678
Selection 1,3920.362953536731,890.9231664216105
Selection 1,4078.2204734481425,996.7887614527069
Selection 1,4230.676687490621,1081.2582158158991
Selection 1,4355.011263880006,1194.12808490929
Selection 1,4438.679234146517,1395.5793702531903
Selection 1,4465.685763491184,1617.2768408219313
Selection 1,4511.7885226176295,1967.3860025327365
Selection 1,4543.813039350209,2182.6367531933956
Selection 1,4565.975816980157,2345.8607318391023
Selection 1,4602.286531273244,2647.253599325591
Selection 1,4613.786085703878,2922.3717272948165
Selection 1,4625.355334403786,3169.681841822694
Selection 1,4651.490685382496,3465.7779448441643
Selection 1,4730.837610953861,3754.5909967262337
Selection 1,4825.203651554326,3912.8318351186654
Selection 1,4922.775628541512,4091.1446230627475
Selection 1,5016.897739199508,4288.100628038309
Selection 1,5084.570874667048,4429.4754532658135
Selection 1,5138.374850548554,4569.665475915617
Selection 1,5187.300227580699,4744.179926184126
Selection 1,5239.048222518546,5022.503990540074
Selection 1,5266.159293267128,5246.501371994941
Selection 1,5269.15614684602,5598.074113360553
Selection 1,5252.290133681093,5766.629703605917
Selection 1,5189.91376267857,5962.366058869139
Selection 1,5113.842467763204,6154.234382187512
Selection 1,5011.043420580276,6365.373170960854
Selection 1,4924.483138138788,6534.90448097609
Selection 1,4834.926002118405,6660.911719828112
Selection 1,4727.596827432501,6822.532730280457
Selection 1,4640.4789908368,7017.537295716276
Selection 1,4536.355752537617,7175.359968493048
Selection 1,4415.0180297271245,7295.09472311018
Selection 1,4243.918598653167,7405.804069855997
Selection 1,4062.1210972452564,7519.475423046069
Selection 1,3867.7437802329273,7638.931400586095
Selection 1,3674.8648900100447,7713.469421577377
Selection 1,3390.477424227036,7791.736085974956
Selection 1,2979.490318303155,7885.962738036866
Selection 1,2457.8635599027325,7958.828096565511
Selection 1,2100.81981839891,7990.190517739963
Selection 1,1689.4493939940078,8034.725155807686
Selection 1,1455.9038976482502,8071.001022966137
Selection 1,1282.1212372071452,8091.874456614467
Selection 1,909.744756462479,8073.4751695254545
Selection 1,510.2223578345923,8053.89107985874
Selection 1,222.175942914564,8053.124442896699
Selection 1,39.54211027533556,8003.850594518169
Selection 1,-107.6870335714002,7863.62572473373
Selection 1,-310.0094972812572,7431.834879430793
Selection 1,-516.0606043974104,6581.286017179641
Selection 1,-640.4300279214336,5927.658312769412
Selection 1,-692.7007298788546,5014.66338524646
Selection 1,-634.6802507061175,4152.754357103227
Selection 1,-583.4898099224833,3253.1755764160143
Selection 1,-588.9608100606937,2689.767103584293
Selection 1,-533.8674901975718,2122.0027389227876
Selection 1,-314.748707592063,1158.514313308967
Selection 1,-103.95839016510389,704.7349260492773
Selection 1,146.80159069196287,413.0644091268686
Selection 1,627.0648002767462,170.35411637124423
Selection 1,1529.9540587545969,15.110131557704138
Selection 1,2490.8289492705467,57.867565758874434
Selection 1,2864.9129396124886,153.38356180240157
Selection 1,3168.326940907997,266.21858376115415
Selection 1,3393.9969848255023,400.3452049838962
Selection 1,3570.0795561527343,508.9288765167786
Selection 1,3599.455690652805,527.3281636057908
Selection 1,3813.277708793295,749.5134940594678
