#Selection names:,Selection 1
#Areas (µm^2): 58058161.1
Selection,X,Y
Selection 1,8177.17125857844,1335.3946620300774
Selection 1,8386.591892918208,1457.9576451261446
Selection 1,8407.388349502433,1460.331669850371
Selection 1,8606.553197033541,1581.217008807985
Selection 1,8768.65160520373,1799.1841321549682
Selection 1,8917.360513929278,1923.8995643343344
Selection 1,9076.989936386266,2066.562623428853
Selection 1,9142.671287089866,2216.506025010999
Selection 1,9222.850015442746,2416.9686727246853
Selection 1,9340.158490482523,2564.7279715605437
Selection 1,9419.134379641791,2754.1751445538193
Selection 1,9541.254211456004,2930.89754502524
Selection 1,9632.51172185527,3106.480413629033
Selection 1,9690.27965681145,3243.0976230925216
Selection 1,9706.48633226217,3400.7645184441512
Selection 1,9675.750625499182,3547.194363434442
Selection 1,9676.09881579207,3760.7299739628693
Selection 1,9691.450842342067,3945.6190194856295
Selection 1,9909.797809644926,4329.356375909602
Selection 1,10296.004151782097,4853.730956996754
Selection 1,10522.01130552846,4916.943321987159
Selection 1,10655.937953637824,4926.3444598950955
Selection 1,10842.821179928937,4987.625951443129
Selection 1,11020.493190290046,5094.457064033322
Selection 1,11146.348154337042,5224.363696942997
Selection 1,11210.288553576209,5389.8807007160685
Selection 1,11304.901352252382,5675.4917018720125
Selection 1,11409.105210814432,5879.436252514565
Selection 1,11526.41368585421,6018.459140365269
Selection 1,11625.078153393066,6153.87351063515
Selection 1,11654.76928927739,6290.585681087607
Selection 1,11646.60264422605,6522.353801498094
Selection 1,11548.191405991116,7020.519149629784
Selection 1,11517.29743091318,7227.629066571305
Selection 1,11379.16084562619,7513.366682379207
Selection 1,11219.088271887344,7817.2101934172115
Selection 1,10979.881540674278,8198.953369072833
Selection 1,10831.805705208522,8340.350281647765
Selection 1,10683.60325509081,8418.66144388425
Selection 1,10534.482848746396,8461.07735229043
Selection 1,10213.166515738085,8528.499654458463
Selection 1,9678.124650223408,8656.570374914736
Selection 1,9122.41294277647,8802.272185656264
Selection 1,8437.585943994596,8952.563777531297
Selection 1,8006.146517445163,9101.7158375387
Selection 1,7519.344834326768,9152.330044659211
Selection 1,7039.950108347963,9156.603289162818
Selection 1,6702.933558496767,9147.993492829624
Selection 1,6527.5089582079245,9109.12279467829
Selection 1,6347.051425503719,9053.31738682747
Selection 1,5933.116474587585,8911.730552274601
Selection 1,5421.593280674246,8616.243608265875
Selection 1,4958.152000842242,8263.780070875711
Selection 1,4775.6686337066985,8101.966545672434
Selection 1,4556.11882721023,8005.26460523894
Selection 1,4312.3223148636625,7915.178280370293
Selection 1,4088.4676102005974,7869.312122698236
Selection 1,3832.326169288052,7853.358676551434
Selection 1,3561.750658052209,7838.133264653394
Selection 1,3254.2986294333814,7830.029926928034
Selection 1,2825.454803249105,7846.521485345661
Selection 1,2604.227352614184,7787.139213577008
Selection 1,2478.878847175023,7628.522708335689
Selection 1,2354.986410233389,7492.918416087869
Selection 1,2207.511994364439,7311.606234482944
Selection 1,2212.5449267797994,7134.598951044616
Selection 1,1990.2095979402388,7081.262528906994
Selection 1,1646.1342812423434,6850.317403734239
Selection 1,1536.9607975909132,6728.070957268068
Selection 1,1474.539774175252,6568.21995917015
Selection 1,1344.5698339395972,6392.605436903367
Selection 1,1169.1768873137432,6331.260638029355
Selection 1,1010.8769187023196,6284.5081777935875
Selection 1,887.6492086834694,6236.901068657098
Selection 1,915.2828564734654,6109.020270178763
Selection 1,1125.589793376945,6068.02877660712
Selection 1,1012.5545628407732,6009.912651358054
Selection 1,912.054182848517,5897.09899646281
Selection 1,950.1651930881006,5762.855811723549
Selection 1,1073.931015377776,5620.572596584907
Selection 1,1202.3182724639455,5520.040562929661
Selection 1,1333.491051893208,5512.696913116054
Selection 1,1547.8813113223564,5538.304726474711
Selection 1,1744.0707145324352,5609.936965820372
Selection 1,1915.032148339733,5602.276779376868
Selection 1,2044.3057079896134,5568.66058928182
Selection 1,2282.6261366389654,5494.591017885953
Selection 1,2441.7174468251314,5322.996510818861
Selection 1,2505.53123141234,5147.730178844965
Selection 1,2658.861574934382,4935.144178206228
Selection 1,2756.2915496166393,4741.107224079448
Selection 1,2815.7687823742604,4398.677897857017
Selection 1,2760.0266818494224,4250.981906347139
Selection 1,2646.1051487495397,4089.769800740663
Selection 1,2596.9786637895445,3967.2701249705756
Selection 1,2574.346294751919,3794.1878957429676
Selection 1,2588.178945478412,3619.238100398969
Selection 1,2580.1072614160425,3475.182280132905
Selection 1,2558.329541279137,3324.352575987047
Selection 1,2597.54842972336,3021.8701724576003
Selection 1,2649.650359004385,2640.316918779916
Selection 1,2775.7268986923073,2393.4500011233486
Selection 1,3131.419109707417,2100.9701550986424
Selection 1,3390.124497322127,1840.6187770084682
Selection 1,3876.6412974736136,1657.6289512650887
Selection 1,4287.569150405728,1563.7758405006675
Selection 1,4644.147663984549,1490.465957016553
Selection 1,4932.987338765441,1424.468069683056
Selection 1,5202.296703481696,1384.6794153050196
Selection 1,5354.8040517660065,1290.0982702918354
Selection 1,5531.969603519286,1147.846708816183
Selection 1,5766.080094991008,971.8839962565143
Selection 1,5931.248908471193,952.4803008438362
Selection 1,6209.737835454457,1013.4769094249626
Selection 1,6390.353636473613,1054.5950176485658
Selection 1,6587.999108181215,1082.3236264275313
Selection 1,7108.923440002492,1138.2239952673183
Selection 1,7605.157914691811,1214.4460157464841
Selection 1,8177.17125857844,1335.3946620300774
