#Selection names:,Selection 1
#Areas (µm^2): 24965008.5
Selection,X,Y
Selection 1,679.611794903106,1783.0926749065627
Selection 1,839.8003524042633,1775.6783445959124
Selection 1,1093.7996997307023,1828.2420442193127
Selection 1,1310.41521317502,1980.0407016321026
Selection 1,1462.0187566322668,2070.5735770042547
Selection 1,1648.5476981317875,2287.0720220752464
Selection 1,1827.5452409473305,2474.576533352484
Selection 1,2050.833651671234,2746.292227842267
Selection 1,2165.0533612463587,2904.3735546235553
Selection 1,2389.200273374653,3237.1208944073232
Selection 1,2665.6767483796953,3716.9451338797303
Selection 1,2945.2750466734333,4108.77297940205
Selection 1,3089.269145864485,4248.201412033386
Selection 1,3230.453604095712,4404.838895543652
Selection 1,3458.5808409170927,4743.790859113702
Selection 1,3615.725620711773,5155.481305310343
Selection 1,3700.8343281198167,5449.869241434273
Selection 1,3821.219638690114,5781.250783529237
Selection 1,3952.4532851886265,6389.303914584787
Selection 1,3958.228658272713,6744.255222509398
Selection 1,3961.54559551695,6932.032893324395
Selection 1,3965.8381025389067,7089.372787074619
Selection 1,3974.267025418382,7383.409518078571
Selection 1,3977.8571222003816,7749.131116349177
Selection 1,4003.1438908388104,7943.659730025979
Selection 1,4076.038464629836,8250.49593651358
Selection 1,4111.354090583197,8411.230813090257
Selection 1,4202.940581315284,8653.445277501874
Selection 1,4264.986819178095,8819.91650437153
Selection 1,4338.661848791295,8961.686304469387
Selection 1,4407.185869978148,9105.251152958244
Selection 1,4395.55707822776,9430.740253595797
Selection 1,4235.056338397733,9580.704839826478
Selection 1,3989.915164652966,9682.866506949018
Selection 1,3509.2324237761677,9783.506285218322
Selection 1,3118.497216404892,9811.875854354335
Selection 1,2368.3621029226147,9801.495791919426
Selection 1,1070.1518883188387,9777.965048880887
Selection 1,696.7037774087107,9759.741405433131
Selection 1,539.7931343606824,9678.495954344846
Selection 1,373.67311261100537,9516.902576363776
Selection 1,204.89954106593672,9396.907493704566
Selection 1,47.71573848014856,9219.939136026673
Selection 1,-43.05127363865587,8974.836985073014
Selection 1,-42.73909130978628,8644.235898800223
Selection 1,17.199915833155504,7964.2637637313655
Selection 1,140.6680269010393,7205.699727369613
Selection 1,197.7973930841556,6422.863514938257
Selection 1,219.259928193933,5524.0905901229935
Selection 1,265.54095844883545,4929.890549911027
Selection 1,411.52521998643056,4147.249451435215
Selection 1,490.3122352348687,3425.4058615067347
Selection 1,458.7037744368329,2890.754600526624
Selection 1,465.7278768363962,2641.437988133227
Selection 1,484.1466342396963,2322.7778759396942
Selection 1,485.55145471960867,2139.8390312221727
Selection 1,557.2753447773738,1852.9044482000027
Selection 1,679.611794903106,1783.0926749065627
