#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8"
"#Areas (µm^2): 11236524.8, 544627.1, 61674.0, 321462.1, 1073541.2, 5067147.2, 1486776.2, 624610.4"
Selection,X,Y
Selection 1,3509.281568464858,1655.96808331444
Selection 1,3635.832786709085,1672.8503582144504
Selection 1,3635.832786709085,1671.9022117302063
Selection 1,3772.997978096377,1669.6898699336373
Selection 1,3906.1862217303137,1680.6198919047827
Selection 1,4028.9975288422465,1698.1079270586158
Selection 1,4242.146125980756,1788.313530073492
Selection 1,4384.605135238409,1847.6780349480998
Selection 1,4543.07728511885,1891.1084114069408
Selection 1,4677.924785100213,1987.3452795577025
Selection 1,4812.245537034773,2077.9986184123604
Selection 1,4939.929263579626,2100.648784424855
Selection 1,5112.676285528408,2136.9153874471863
Selection 1,5267.171487655492,2181.109548573891
Selection 1,5377.419853851192,2311.6377145714755
Selection 1,5558.98990558391,2460.6547370118174
Selection 1,5662.443221975861,2732.878127599193
Selection 1,5698.34110136543,3087.5375875111126
Selection 1,5774.087470495587,3528.5047148915714
Selection 1,5806.403463166902,3696.6690288331733
Selection 1,5831.950743436809,3897.0703232390692
Selection 1,5936.7209299457645,4044.6914633553856
Selection 1,6015.654124759075,4256.65487738859
Selection 1,5925.580208755899,4410.043908617389
Selection 1,5860.395137964127,4549.15806777785
Selection 1,5768.108880164382,4754.510793823687
Selection 1,5653.962578422345,4748.7955775158825
Selection 1,5532.441804025078,4633.595779680242
Selection 1,5443.632083334229,4913.45701694625
Selection 1,5154.289381225781,5362.694088661504
Selection 1,4999.162081442534,5452.504630641279
Selection 1,4915.935890047787,5531.832886489689
Selection 1,4873.927733315311,5755.384757552542
Selection 1,4486.399195282935,5827.206853734022
Selection 1,4243.963406742223,5825.863646214676
Selection 1,4118.3866723845795,5813.485067114825
Selection 1,3813.820951723548,5683.272949945322
Selection 1,3649.080500086161,5526.749767838049
Selection 1,3538.7794590857807,5430.433887480266
Selection 1,3394.3451446526183,5284.893402148819
Selection 1,3273.245768692793,5204.906711241905
Selection 1,3192.073894680575,5102.638577955259
Selection 1,3133.8155607042513,4981.7235638118145
Selection 1,3059.3597242887604,4905.134397806775
Selection 1,2940.841413758266,4785.799627803737
Selection 1,2855.6662545903505,4699.096899300095
Selection 1,2762.774236536784,4601.332461813608
Selection 1,2709.757045626142,4476.519512123828
Selection 1,2664.193339577753,4347.044842219847
Selection 1,2627.953073957761,4187.17681001538
Selection 1,2566.0338410561617,4039.7136943131045
Selection 1,2508.6446413570634,3809.972533700326
Selection 1,2472.1936765183514,3665.985955106945
Selection 1,2423.7065188102088,3505.4858252463164
Selection 1,2396.2366081694736,3328.5774937277984
Selection 1,2371.26875075105,3104.3408502041025
Selection 1,2327.0219148196657,2862.879545549975
Selection 1,2323.3083410897107,2552.2562223507193
Selection 1,2320.2532024182574,2411.851530475594
Selection 1,2354.8605490931614,2251.5357624313447
Selection 1,2425.365775157636,2103.6249108892875
Selection 1,2497.3458957531557,1966.4333820996553
Selection 1,2626.4255046220346,1882.7331174627861
Selection 1,2764.2227936654895,1795.1085798772406
Selection 1,2927.830737002251,1731.6617776399157
Selection 1,3085.4074152031294,1689.732633114461
Selection 1,3209.2195436039856,1666.028971008362
Selection 1,3509.281568464858,1655.96808331444
Selection 2,3418.7599166219006,6020.444374703408
Selection 2,3510.9408248122854,6029.899502143508
Selection 2,3541.571223733832,6043.700300969725
Selection 2,3670.0450723488884,6096.243418638244
Selection 2,3869.0241470284195,6190.504981613498
Selection 2,3985.725176797445,6274.99536832057
Selection 2,4060.049326201235,6424.855187635795
Selection 2,4068.0295591102895,6579.166027946499
Selection 2,4047.0123120428807,6709.404482518343
Selection 2,3967.341669964049,6866.349063063058
Selection 2,3849.8768555271595,6935.853467838608
Selection 2,3678.868102132825,6944.492135806164
Selection 2,3495.243733017579,6884.706232494114
Selection 2,3366.0851119416798,6722.757545504778
Selection 2,3328.159252571923,6580.166849235424
Selection 2,3322.075312631356,6468.127539680596
Selection 2,3315.5699742533498,6319.321216458975
Selection 2,3298.9247359744,6183.156846360607
Selection 2,3310.4078433946884,6073.43522821171
Selection 2,3418.7599166219006,6020.444374703408
Selection 3,6534.975024101361,7398.338252930937
Selection 3,6650.569882972103,7373.923480961656
Selection 3,6724.498971340791,7382.904535159633
Selection 3,6822.3424210343,7440.188385249373
Selection 3,6734.059448390252,7623.206994110796
Selection 3,6608.456376630268,7636.34935787851
Selection 3,6501.763559750483,7576.405430152421
Selection 3,6534.975024101361,7398.338252930937
Selection 4,8918.141212248544,7149.923874059021
Selection 4,8981.034929036725,7006.938116754565
Selection 4,9027.731143385741,6993.90110259621
Selection 4,9353.10341189546,6989.08135796797
Selection 4,9506.413430917239,7162.855538608014
Selection 4,9558.719511964697,7389.699584963382
Selection 4,9347.625232208717,7538.216196759261
Selection 4,9065.051242501675,7566.950302712322
Selection 4,8957.331266930627,7517.435986312915
Selection 4,8868.495208837438,7454.831980950474
Selection 4,8835.88950474038,7289.301407242882
Selection 4,8918.141212248544,7149.923874059021
Selection 5,10622.065794044292,6192.058888351565
Selection 5,10611.267459084846,6331.884157375208
Selection 5,10606.237015237886,6340.180439112342
Selection 5,10564.834618759234,6457.882290170293
Selection 5,10501.335141717229,6560.835195917783
Selection 5,10412.604433233399,6756.969831144581
Selection 5,10301.302570944095,6961.400748108514
Selection 5,10220.209709138895,7036.040946340386
Selection 5,10072.720256034281,7138.230067420012
Selection 5,9943.29826093498,7158.272830600837
Selection 5,9830.126443079529,7137.071221717048
Selection 5,9683.295425033415,7030.720791067684
Selection 5,9616.530110101236,6915.204944403961
Selection 5,9585.083251707145,6748.752561614468
Selection 5,9562.538435304012,6619.251554308147
Selection 5,9536.780455815384,6495.887161747071
Selection 5,9530.433141851418,6311.630694975663
Selection 5,9544.339290286996,6139.937169120486
Selection 5,9565.830610596528,6013.517637887959
Selection 5,9676.553050034348,5947.094709186202
Selection 5,9831.996398645677,5883.042146695055
Selection 5,9943.008549509239,5840.059506075995
Selection 5,10083.439578786703,5808.006887428082
Selection 5,10260.953670559047,5890.627318569007
Selection 5,10377.891736949136,5976.144863967344
Selection 5,10507.419081657792,6099.324894712037
Selection 5,10622.065794044292,6192.058888351565
Selection 6,445.79394047029666,1832.3233293838157
Selection 6,771.6139448197958,1693.7359182701575
Selection 6,1002.6719755495802,1676.0371838976037
Selection 6,1195.5144354838646,1677.4857410263098
Selection 6,1320.1430233572646,1741.037892872995
Selection 6,1412.7980047897706,1875.2006203935146
Selection 6,1460.837426658131,2000.2506067043564
Selection 6,1489.8612440369322,2138.917030025035
Selection 6,1540.2183573112222,2330.4162824399737
Selection 6,1571.5598660959529,2507.9830490169948
Selection 6,1597.7655814243635,2746.2048531832884
Selection 6,1593.2092108195234,3000.992883421511
Selection 6,1605.8248265404359,3167.893002050788
Selection 6,1602.9803870877047,3372.956016670883
Selection 6,1584.728567266008,3584.392682657285
Selection 6,1547.250443736032,3862.3312895524646
Selection 6,1539.7969588737806,3993.5705654132325
Selection 6,1518.6743621970134,4159.891261191026
Selection 6,1486.0686580999575,4307.354376893301
Selection 6,1384.2482606530928,4685.296100473878
