#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4"
"#Areas (µm^2): 1385129.5, 2349297.3, 659772.2, 5341322.2"
Selection,X,Y
Selection 1,2319.548158944985,5724.973359797526
Selection 1,2776.9587907916234,5683.399372694468
Selection 1,2781.0039319948537,5681.947766999529
Selection 1,2913.583918799299,5695.321894135569
Selection 1,3114.9119513160654,5748.837757422328
Selection 1,3323.362529109332,5904.682144830998
Selection 1,3419.362052401311,6241.938534621869
Selection 1,3324.62058737828,6531.620967103933
Selection 1,3141.834398271538,6705.639457813243
Selection 1,2833.532703409053,6892.799818747402
Selection 1,2683.1850628985517,6915.115836964267
Selection 1,2304.761135599205,6830.458192835415
Selection 1,2099.542799820002,6725.168393095826
Selection 1,2002.9432795074488,6583.123937160376
Selection 1,1986.2594913869482,6376.260448260242
Selection 1,2020.0722267077315,6216.448338618738
Selection 1,2080.4977331024,5980.049512512242
Selection 1,2177.8520883763217,5794.166564589627
Selection 1,2319.548158944985,5724.973359797526
Selection 2,4729.387805227429,6477.718008965192
Selection 2,4938.922248606252,6449.053635175793
Selection 2,4959.206018850202,6445.124622428158
Selection 2,5333.0815816387385,6538.41448175625
Selection 2,5620.015640671719,6728.90385841747
Selection 2,5869.90472236985,7285.081741747768
Selection 2,5836.382308188055,7889.801319516835
Selection 2,5205.901568019466,8299.908960451055
Selection 2,4834.716314452217,8252.451131597843
Selection 2,4614.110958306658,8107.580883242912
Selection 2,4412.337766710112,7856.820838127817
Selection 2,4281.286804571002,7672.776590752127
Selection 2,4222.312903871272,7415.5327068663055
Selection 2,4234.951550788543,7071.792478304705
Selection 2,4316.318888675534,6800.129311182485
Selection 2,4483.621283702925,6638.149470369872
Selection 2,4729.387805227429,6477.718008965192
Selection 3,9958.710224904158,10550.401010914373
Selection 3,10088.9676425967,10572.717029131238
Selection 3,10092.219239353366,10571.884775199474
Selection 3,10210.418652406614,10550.73004153856
Selection 3,10384.51456208632,10532.517228752722
Selection 3,10562.481420285865,10564.917067863766
Selection 3,10579.842624397337,10664.226252140204
Selection 3,10600.861874860057,10757.92256106288
Selection 3,10622.674669769343,10878.48325271323
Selection 3,10588.823224963362,10985.747236197934
Selection 3,10543.300870370069,11125.682025190072
Selection 3,10495.630139348266,11239.507266415903
Selection 3,10351.901820806686,11353.080895987947
Selection 3,10286.734402475216,11402.358070645483
Selection 3,10208.115438037312,11469.112577870084
Selection 3,10031.058252739927,11491.815690938934
Selection 3,9891.394430144179,11450.202994350679
Selection 3,9817.033509078095,11378.648510961475
Selection 3,9763.90474064332,11291.43604080953
Selection 3,9738.937122690366,11212.13966038065
Selection 3,9737.698419164017,11135.262622776672
Selection 3,9791.020735024784,10864.044614734234
Selection 3,9870.762274533445,10630.374807334223
Selection 3,9958.710224904158,10550.401010914373
Selection 4,8468.889411653272,4144.301245148738
Selection 4,8695.485166236087,4379.479666915241
Selection 4,8744.22404309268,4460.236784042587
Selection 4,8818.066109717107,4585.330269989296
Selection 4,8881.12425513923,4771.992163789975
Selection 4,9082.261061728977,5153.342746348099
Selection 4,9514.485070495079,5811.050765243167
Selection 4,9988.132677611466,6756.27813479179
Selection 4,10054.681700618665,7295.162906459839
Selection 4,9954.446820659945,7511.819665625273
Selection 4,9774.321984247876,7624.083620574604
Selection 4,9408.936052046976,7710.288285525793
Selection 4,8796.676146425116,7694.790567839184
Selection 4,8465.509708513584,7541.414302986643
Selection 4,8368.498887471014,7337.520370151357
Selection 4,8257.635730533528,6977.959978888606
Selection 4,8209.474960792935,6688.661837108899
Selection 4,8159.691044149729,6398.363125320731
Selection 4,8043.558218501016,6078.914473952731
Selection 4,7876.663141089713,5726.8472403089
Selection 4,7652.868982530588,5085.770918443363
Selection 4,7589.632957995849,4715.2709617547725
Selection 4,7603.996696339535,4621.039501846817
Selection 4,7680.217896095191,4391.908969909236
Selection 4,7771.758934424839,4172.072621605803
Selection 4,7926.647171734611,3898.116553289165
Selection 4,8041.534843595017,3889.4004767710144
Selection 4,8177.323311187721,3933.9369595920707
Selection 4,8260.50403122445,3988.523612275891
Selection 4,8356.180758922404,4052.8936161535516
Selection 4,8468.889411653272,4144.301245148738
