#Selection names:,"Selection 1, Selection 2"
"#Areas (µm^2): 814265.2, 87242.8"
Selection,X,Y
Selection 1,5541.062597091319,2454.9545582774067
Selection 1,5651.446337536786,2499.812765996371
Selection 1,5758.543530886254,2515.1552526801024
Selection 1,5822.662800672642,2518.757813919949
Selection 1,5912.600426011263,2513.7015876184105
Selection 1,5986.105315869882,2513.9227975191025
Selection 1,6047.064444217809,2518.07838351068
Selection 1,6071.760949559387,2585.468399685876
Selection 1,6048.217895842848,2645.5110870166486
Selection 1,5991.4459549008825,2688.283601386228
Selection 1,5929.823196850879,2718.5103542451147
Selection 1,5808.4105627851795,2770.3208731286945
Selection 1,5697.916217389366,2827.2824225569666
Selection 1,5523.96623190924,2886.2822632130474
Selection 1,5391.777515538386,2934.016199641012
Selection 1,5321.969991162767,2937.3027467370116
Selection 1,5203.10127095503,2947.9998255062046
Selection 1,5051.935905246212,2953.37206595159
Selection 1,4945.849957157053,2948.2526368212816
Selection 1,4873.21410619401,2935.3118576307807
Selection 1,4797.354910963736,2919.49534973128
Selection 1,4698.837501619692,2883.295929553701
Selection 1,4631.716097466765,2857.193161272007
Selection 1,4565.763945646069,2823.806266974659
Selection 1,4504.235991839219,2774.350053462733
Selection 1,4438.1258329466,2676.3382667488427
Selection 1,4403.775095510521,2591.978291049107
Selection 1,4357.747635459326,2525.346708819142
Selection 1,4304.562455050015,2483.7592474889852
Selection 1,4244.077347917858,2448.8396845939837
Selection 1,4216.268103259395,2364.479708894248
Selection 1,4214.308815567549,2273.9100552679347
Selection 1,4270.5593331721675,2235.1035184036245
Selection 1,4344.095824445171,2233.6814547563167
Selection 1,4423.06775899233,2237.5526280184326
Selection 1,4497.157275017065,2265.8674953070495
Selection 1,4566.538180298492,2282.9480597819356
Selection 1,4626.501864093303,2295.383216342282
Selection 1,4721.0216945176935,2307.4391559300134
Selection 1,4786.973846338389,2316.3665554936683
Selection 1,4967.4495238889385,2348.5525960444006
Selection 1,5044.556974987404,2352.423769306516
Selection 1,5167.423274114796,2365.11173718194
Selection 1,5254.342964379686,2385.083831073018
Selection 1,5419.191742517042,2414.6469542298278
Selection 1,5482.046955728045,2408.626884789558
Selection 1,5504.025739432547,2414.5995521082505
Selection 1,5541.062597091319,2454.9545582774067
Selection 2,3741.2378143671904,2300.9981668449186
Selection 2,3753.551657125758,2289.829279798707
Selection 2,3767.8524658287256,2283.743639708908
Selection 2,3797.6435897529454,2273.9959233718073
Selection 2,3820.5783446448086,2271.7772932365806
Selection 2,3880.8466749045433,2281.5962908631664
Selection 2,3919.9801028319166,2279.8187137066293
Selection 2,3987.857710744196,2263.1478021282787
Selection 2,4031.2902914436454,2259.4411750750482
Selection 2,4094.654902715394,2282.5140374652883
Selection 2,4123.679752777648,2296.569816735651
Selection 2,4161.775146926892,2330.8739373004023
Selection 2,4179.493002444558,2364.3226823913315
Selection 2,4178.419328021688,2400.431110596177
Selection 2,4163.325514973196,2443.2978960603377
Selection 2,4136.314361338899,2459.0956118424947
Selection 2,4113.041020321982,2464.758019275975
Selection 2,4086.096692896577,2465.960891036038
Selection 2,4053.645885858441,2462.0003243890164
Selection 2,4025.9709252158127,2464.0674817840872
Selection 2,4003.6465163651674,2471.525286696476
Selection 2,3981.8433519438827,2473.922120055416
Selection 2,3941.5872437071175,2475.1249918154786
Selection 2,3899.745126779306,2477.254520338849
Selection 2,3881.5238471546522,2481.0769794874927
Selection 2,3844.381840252271,2488.5347843998816
Selection 2,3816.5375865471165,2493.609121195109
Selection 2,3795.923928644115,2494.001168287278
Selection 2,3773.5237834233917,2489.488171646746
Selection 2,3753.9125186537767,2486.458716843625
Selection 2,3735.6912390291227,2480.711662878881
Selection 2,3721.6176394363893,2464.704558308861
Selection 2,3715.3315207199134,2446.380811830573
Selection 2,3712.863406071489,2418.8350485251367
Selection 2,3714.066277831551,2400.0524287457865
Selection 2,3719.982624858823,2365.2716145576032
Selection 2,3732.5994130977033,2324.048753832195
Selection 2,3741.2378143671904,2300.9981668449186
