#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8, Selection 9"
"#Areas (µm^2): 1258229.7, 96000.5, 865079.0, 51768.6, 601583.4, 1287807.6, 288120.5, 416093.1, 483033.6"
Selection,X,Y
Selection 1,2231.964213403842,858.1434327121241
Selection 1,2290.201394794611,864.8198859703166
Selection 1,2302.932928433501,865.7585556363199
Selection 1,2382.3628911567107,889.9920978586307
Selection 1,2484.6778847510714,944.4349384868226
Selection 1,2554.0072330401044,1015.3111086198331
Selection 1,2629.1404684189333,1114.87619671379
Selection 1,2676.853972990848,1192.3098338093025
Selection 1,2723.509821601069,1282.329576848972
Selection 1,2741.4899729498643,1342.113580083718
Selection 1,2766.292005251586,1404.092219438979
Selection 1,2787.5112279830696,1477.7976192695205
Selection 1,2803.2703018123075,1550.6304529316649
Selection 1,2809.2857200944413,1618.6773933671443
Selection 1,2796.8186004459753,1674.1250071589454
Selection 1,2704.8554145766934,1759.9670091499243
Selection 1,2633.873478847513,1792.5560334696168
Selection 1,2560.71012769734,1818.574370127286
Selection 1,2502.2878565132746,1837.3345427478312
Selection 1,2458.699210191966,1875.3572745707256
Selection 1,2378.013281014244,1947.4761904587265
Selection 1,2269.656427738708,2006.2950826284268
Selection 1,2153.4464789475937,2062.3772899972446
Selection 1,2086.219221882427,2093.393051073917
Selection 1,2013.6640229102275,2099.924076637377
Selection 1,1952.3993013291097,2102.607878640175
Selection 1,1895.5767347871065,2101.7220917722566
Selection 1,1806.9187237981175,2100.373580421097
Selection 1,1658.6882407667222,2046.0893881871586
Selection 1,1605.2633940016601,1990.6285536958364
Selection 1,1536.7537290829398,1917.385878348536
Selection 1,1486.8720297895527,1872.0520996904322
Selection 1,1458.011242734831,1804.7984012262232
Selection 1,1445.597005884449,1753.5285284831127
Selection 1,1442.780996886439,1680.946888111871
Selection 1,1440.2294018788527,1625.3406259258156
Selection 1,1434.8485771737348,1555.1254907688638
Selection 1,1430.3006565384512,1488.0039992998666
Selection 1,1441.5382511314488,1416.5725597869666
Selection 1,1461.7262593002808,1366.558653498368
Selection 1,1486.8984711885944,1305.0824007249114
Selection 1,1528.4643504831638,1213.608380737913
Selection 1,1577.9626494904371,1142.8511969005929
Selection 1,1662.932085313019,1119.688531339497
Selection 1,1714.426709947989,1096.2085689898934
Selection 1,1761.346972548633,1048.0455606342584
Selection 1,1813.4761907606198,995.5990456337636
Selection 1,1916.5976470257726,964.1602221724133
Selection 1,1977.3335406260428,940.2968595366954
Selection 1,2028.3786614772935,924.1279440223003
Selection 1,2138.097246803511,888.1940827237511
Selection 1,2231.964213403842,858.1434327121241
Selection 2,2343.983200446745,2123.7081150759677
Selection 2,2392.860126576523,2124.4088121505897
Selection 2,2443.257433151236,2122.187734631033
Selection 2,2521.84127110509,2136.294221020125
Selection 2,2540.508898828987,2206.945639261275
Selection 2,2505.9499902806397,2255.690358395842
Selection 2,2467.3455476788135,2295.9473884378144
Selection 2,2426.810882946896,2337.314957239566
Selection 2,2381.8208424763434,2391.0571007931358
Selection 2,2322.6449914195714,2421.094530105242
Selection 2,2262.8345467857825,2443.2392018032074
Selection 2,2210.8110941699656,2447.5094877485462
Selection 2,2150.220628264428,2431.6710897221806
Selection 2,2100.2728254734348,2390.6472591079796
Selection 2,2091.7983570803626,2337.6454747275952
Selection 2,2105.2041463948326,2276.6451671369014
Selection 2,2166.257336783611,2225.005114807198
Selection 2,2226.451181703514,2182.064282762427
Selection 2,2285.4419429669892,2150.6783420991615
Selection 2,2343.983200446745,2123.7081150759677
Selection 3,1175.7360872582587,2015.90653118032
Selection 3,1200.4323539638106,2013.1566256799158
Selection 3,1272.5248284527688,2006.9032348064006
Selection 3,1329.453160590942,2005.634047652368
Selection 3,1389.9114195012673,2042.3347095231456
Selection 3,1442.9660866797365,2114.599053105879
Selection 3,1476.8375188529824,2160.4484390453085
Selection 3,1513.1018976395615,2209.497234268862
Selection 3,1546.0875429448884,2257.488373530721
Selection 3,1576.4290483459818,2308.4012873867596
Selection 3,1594.792599980891,2381.961259522569
Selection 3,1613.896510788987,2435.0688094991224
Selection 3,1625.0812225838995,2490.608968187572
Selection 3,1637.0988384486463,2570.4223311968954
Selection 3,1642.902725538441,2676.1350445681974
Selection 3,1627.9633350795154,2771.8000263034082
Selection 3,1597.0004568009276,2853.6229356399504
Selection 3,1542.7559266655533,2910.934668064237
Selection 3,1499.8547567193455,2960.181773780608
Selection 3,1464.7141373920667,3003.704316604311
Selection 3,1420.0678351090644,3065.312776372979
Selection 3,1376.5320715858397,3105.2525096264435
Selection 3,1342.3697840231282,3169.756302590248
Selection 3,1287.1469221231866,3237.6181532324313
Selection 3,1227.1646083956232,3277.584327884939
Selection 3,1166.230404302535,3302.7697604727737
Selection 3,1085.7956684157164,3337.2229034249517
Selection 3,1014.9723810807906,3345.31397153191
Selection 3,962.089582996097,3335.6893022804957
Selection 3,910.951917248198,3304.3430237157936
Selection 3,859.113554425677,3261.3096467743744
Selection 3,812.9733130967818,3198.0485995655595
Selection 3,798.1000261354618,3139.665990480058
Selection 3,802.4892983764915,3049.910661430812
Selection 3,793.5653261996996,2989.7035958113884
Selection 3,788.329929189315,2935.472286375535
Selection 3,780.582599269907,2882.629150389405
Selection 3,772.7162830548092,2795.7823752348168
Selection 3,779.3266328153956,2740.0042439549866
Selection 3,789.8767510332918,2676.6638725490443
Selection 3,819.5440007588053,2624.706523430833
Selection 3,856.733828511866,2573.040029702088
Selection 3,893.183297091741,2515.794400775407
Selection 3,918.5405987733516,2454.2917066029086
Selection 3,911.5071866280874,2388.4922850860285
Selection 3,887.8685758842294,2324.993265285833
Selection 3,873.1142752185997,2260.9389761057473
Selection 3,871.8054259660037,2201.1814142700437
Selection 3,896.4488098734705,2142.8913500811905
Selection 3,925.9970733032933,2083.477526433037
Selection 3,965.8178202610676,2045.0978357230706
