#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8"
"#Areas (µm^2): 213020.8, 17949.6, 15435.1, 14524.8, 171607.1, 73079.8, 18338.0, 186692.7"
Selection,X,Y
Selection 1,2896.2731041740353,2196.485717292127
Selection 1,2916.8379544769546,2181.081163501744
Selection 1,2942.586002016579,2173.0735436176446
Selection 1,2992.540115001845,2166.4705014825204
Selection 1,3049.0896365475123,2165.3483659982853
Selection 1,3094.6620776419563,2167.997216427058
Selection 1,3131.9520901622836,2171.2109513853093
Selection 1,3169.677216441804,2182.1803982618108
Selection 1,3219.654230151238,2203.0658587030834
Selection 1,3261.432784608506,2241.0581600978985
Selection 1,3296.5319611834225,2271.6382604369837
Selection 1,3338.501355008757,2324.0503844829545
Selection 1,3352.8830097863,2372.8899955587085
Selection 1,3326.600612016088,2407.485356201927
Selection 1,3281.058705220535,2442.699036397684
Selection 1,3243.6999905277034,2463.767702632301
Selection 1,3221.44812021107,2485.2867497755565
Selection 1,3178.455827372895,2518.5157005434144
Selection 1,3132.42537179509,2563.217914119471
Selection 1,3110.2803715245745,2592.553741778758
Selection 1,3076.49416980196,2630.240700184666
Selection 1,3031.333941742542,2665.3627774837505
Selection 1,3000.211857598146,2685.2024381880146
Selection 1,2965.6317641043725,2701.8283639340275
Selection 1,2932.9600642912706,2707.187133389354
Selection 1,2897.9906584866394,2700.8130984959103
Selection 1,2870.6166595310833,2683.858929036822
Selection 1,2847.9373090299796,2664.049802631448
Selection 1,2823.0442218592957,2641.5918257973017
Selection 1,2801.0671602326793,2613.8437816803334
Selection 1,2786.9450469957073,2583.759863698223
Selection 1,2771.6397296767195,2548.6454199738614
Selection 1,2760.9985265132927,2514.729447480961
Selection 1,2764.899283196586,2477.7600450989867
Selection 1,2771.3343866878117,2448.248645221078
Selection 1,2785.7160414653545,2419.9128158504623
Selection 1,2790.1206140803456,2387.1647802901334
Selection 1,2795.029002627033,2347.1724823179748
Selection 1,2800.364871358192,2315.424445046318
Selection 1,2816.112936011096,2288.89777288498
Selection 1,2841.5632741365353,2258.8672899259277
Selection 1,2871.91436723394,2223.1803280973645
Selection 1,2896.2731041740353,2196.485717292127
Selection 2,3284.0739672359964,2035.9287401498445
Selection 2,3316.509026232695,2025.6463149983847
Selection 2,3314.0357480225443,2024.6539502844355
Selection 2,3350.6311052431074,2022.0585348787215
Selection 2,3378.6844923489834,2044.6157481842627
Selection 2,3377.386784646126,2094.1194802608898
Selection 2,3348.348666401024,2120.2797408355395
Selection 2,3313.432695619452,2130.943844723133
Selection 2,3266.2572038332446,2125.615609566698
