#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 6"
"#Areas (µm^2): 482194.8, 4562293.6, 837739.0, 636962.1, 5822753.8"
Selection,X,Y
Selection 1,4480.604239351063,2031.540233802305
Selection 1,4504.077499616777,2040.8974560038992
Selection 1,4519.57611500211,2054.0357598298106
Selection 1,4543.752121751534,2087.0953987591975
Selection 1,4578.49224140284,2136.4098693987817
Selection 1,4601.965501668553,2166.8800403066657
Selection 1,4628.440711587512,2204.0339413585457
Selection 1,4651.883417658281,2249.154848742069
Selection 1,4652.777127860391,2293.6875878729206
Selection 1,4657.520666625445,2341.7722521660094
Selection 1,4651.967441694376,2402.6132928482098
Selection 1,4639.898534691505,2436.3222084201566
Selection 1,4596.817119820493,2483.849258655518
Selection 1,4554.377343043304,2527.9618776058896
Selection 1,4498.356226613516,2562.2742385279794
Selection 1,4427.913530170169,2587.328678382043
Selection 1,4368.836994245982,2592.6145541073515
Selection 1,4330.881045576823,2596.0824552334934
Selection 1,4277.678553630617,2597.8011286990927
Selection 1,4159.540758879718,2577.6811913284814
Selection 1,4114.351104557571,2569.8287632278784
Selection 1,4051.783751861035,2552.038583221746
Selection 1,3990.1101093666107,2522.110749274117
Selection 1,3960.4343475272703,2495.80358742735
Selection 1,3924.999119940989,2448.4063925205005
Selection 1,3880.351802579097,2395.4712497800547
Selection 1,3867.7558357134417,2367.9342815867926
Selection 1,3843.824262523569,2307.834180131983
Selection 1,3836.537087029429,2271.6121820258945
Selection 1,3831.167187268025,2225.3378537832364
Selection 1,3832.5039332968245,2187.8936878793884
Selection 1,3835.597545534902,2151.144629910516
Selection 1,3839.248771830708,2122.011205031431
Selection 1,3842.4722393972984,2076.913213294116
Selection 1,3848.598355483566,2041.9133829857865
Selection 1,3857.1993613602967,2011.4890433703179
Selection 1,3863.9747540891244,1979.6592107874267
Selection 1,3877.0672266226197,1949.7084611935895
Selection 1,3899.853017502093,1926.4338031950128
Selection 1,3927.3136002079955,1886.84320509635
Selection 1,3952.482618293099,1865.134449588652
Selection 1,3996.358442232655,1839.3849017996126
Selection 1,4025.9272643896916,1832.2657743776651
Selection 1,4065.6171636219224,1827.896524500676
Selection 1,4102.763426125066,1831.60885918637
Selection 1,4146.119828750574,1838.2085652942694
Selection 1,4204.386678508745,1851.178821047989
Selection 1,4246.79590109099,1869.687024635305
Selection 1,4279.145154987928,1879.433812822435
Selection 1,4329.9338655335605,1906.6423234200497
Selection 1,4358.861049596774,1923.8901664659263
Selection 1,4379.951082656856,1959.1649845287516
Selection 1,4413.239878048323,1980.3466801736658
Selection 1,4480.604239351063,2031.540233802305
Selection 2,4110.585279203871,3240.6737202273916
Selection 2,4163.043761193425,3230.72172802215
Selection 2,4244.4778512574685,3233.573356557883
Selection 2,4367.978246835208,3235.7742779109653
Selection 2,4464.378602100212,3255.3720471766715
Selection 2,4574.845715578394,3303.256440441123
Selection 2,4689.848640888581,3353.475724184496
Selection 2,4793.559882735128,3444.957498686525
Selection 2,4860.754968567057,3528.133187386487
Selection 2,4946.361239978684,3538.946409686413
Selection 2,5043.086948835013,3532.8795221305245
Selection 2,5128.272174422572,3507.6359111329984
Selection 2,5252.518969415703,3519.635717118934
Selection 2,5399.100331530984,3547.3864646143197
Selection 2,5527.481030978601,3569.510508824434
Selection 2,5671.229903004698,3631.5190756417082
Selection 2,5810.768316790114,3687.862662280615
Selection 2,5920.871799783875,3754.1391026782144
Selection 2,5999.703061117318,3878.060544080022
Selection 2,6061.577658808752,3982.211970197185
Selection 2,6127.35649959609,4066.9378730675785
Selection 2,6148.198267887452,4196.69654066669
Selection 2,6152.657525933261,4302.857503671451
Selection 2,6136.7343384048745,4400.023396798397
Selection 2,6113.691648760431,4474.873861249744
Selection 2,6090.7255129021805,4556.480197332725
Selection 2,6057.673415712849,4628.766109946566
Selection 2,6014.420526513146,4712.401121363693
Selection 2,5971.837482942641,4782.12248214003
Selection 2,5904.2596281797405,4872.0349040250785
Selection 2,5820.031324919609,4913.986378859482
Selection 2,5714.406238418207,4959.133974267492
Selection 2,5599.001405730502,5020.56838768831
Selection 2,5535.270378723858,5063.993522906951
Selection 2,5423.8272044717005,5112.088439083436
Selection 2,5332.555952881705,5176.451034826181
Selection 2,5215.007614180563,5199.819078061951
Selection 2,5095.507153931469,5218.517340339876
Selection 2,5016.503646579089,5269.329915926254
Selection 2,4953.595572774032,5339.759399224887
Selection 2,4955.815632573664,5433.059326149028
Selection 2,4999.891474974955,5539.258566046885
Selection 2,5028.350344992637,5628.864772787157
Selection 2,4990.035175002456,5703.275052967886
Selection 2,4955.968740146052,5780.690069256737
Selection 2,4937.442723887064,5856.746255840641
Selection 2,4873.482035521837,5934.7162870794
Selection 2,4853.137866840738,6016.360900055479
Selection 2,4740.067924631953,6038.293559800108
