#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8"
"#Areas (µm^2): 172679.2, 138760.9, 95457.0, 1251228.9, 1957488.6, 468057.7, 374214.1, 27720.3"
Selection,X,Y
Selection 1,8664.100235799753,5450.346931074941
Selection 1,8689.618171668435,5446.362795583726
Selection 1,8717.583604383375,5452.057397620907
Selection 1,8738.769748958819,5487.191492973617
Selection 1,8742.0446666139,5517.8755940604
Selection 1,8729.45257346453,5556.103826051138
Selection 1,8720.88633450262,5597.627835045079
Selection 1,8711.909861694317,5641.550669072998
Selection 1,8700.16604870189,5686.349595722021
Selection 1,8694.756524422372,5725.2731393168115
Selection 1,8688.721219699208,5775.968308368189
Selection 1,8685.342005303517,5805.206161318545
Selection 1,8678.86170115376,5845.631577978086
Selection 1,8672.214522219032,5879.604502952031
Selection 1,8667.625465632293,5911.018681223067
Selection 1,8651.05619010775,5954.2183911827715
Selection 1,8609.67819655066,5997.668413319936
Selection 1,8583.541433354374,6012.51331606643
Selection 1,8536.461884644063,6045.561476606987
Selection 1,8475.448291388562,6062.69395453081
Selection 1,8429.627256681584,6064.300124336168
Selection 1,8395.737769100126,6045.4780392145
Selection 1,8389.57035517219,6015.176359509946
Selection 1,8377.610995582509,5981.898746140053
Selection 1,8368.161710883453,5953.564798274964
Selection 1,8351.369935645615,5915.155785267172
Selection 1,8339.51487279654,5884.005825405675
Selection 1,8330.72613412133,5825.8430097267865
Selection 1,8333.076287343027,5793.07992694389
Selection 1,8338.124249588438,5762.653091150608
Selection 1,8360.374220918078,5700.061140553912
Selection 1,8390.439494677255,5634.931302602431
Selection 1,8410.603531194742,5595.277681823387
Selection 1,8448.101686001226,5541.933375560574
Selection 1,8499.916306735127,5513.432552910513
Selection 1,8560.45013498383,5500.617960047848
Selection 1,8600.715629974438,5489.583364891554
Selection 1,8664.100235799753,5450.346931074941
Selection 2,10175.9788721977,6357.666242132039
Selection 2,10203.690138950093,6360.580542273532
Selection 2,10210.077878213713,6362.596831324913
Selection 2,10229.325814031945,6396.340021625978
Selection 2,10234.341121252191,6457.404775753537
Selection 2,10228.783618656784,6506.22777492628
Selection 2,10221.548699119474,6567.487380516788
Selection 2,10215.288036896905,6605.856175112199
Selection 2,10198.335959620374,6659.448799225815
Selection 2,10159.289420806012,6684.906566450192
Selection 2,10123.512997848093,6702.7481830141
Selection 2,10090.879613705561,6717.065529639457
Selection 2,10023.308515076065,6753.053747665799
Selection 2,9965.734143676105,6760.610595707112
Selection 2,9912.056801535122,6755.629175697816
Selection 2,9865.93630743545,6736.720111989061
Selection 2,9831.14261359501,6720.894784476534
Selection 2,9792.146905597068,6703.908819989055
Selection 2,9765.935147929107,6680.4080391969
Selection 2,9758.725643800008,6645.360191274353
Selection 2,9758.810361827376,6604.670122729033
Selection 2,9758.234279241267,6569.698521031119
Selection 2,9774.449309679689,6525.899300881357
Selection 2,9813.758474378896,6499.187706851918
Selection 2,9870.11290618474,6472.99289278943
Selection 2,9900.585980629361,6449.492111997275
Selection 2,9957.846895328055,6416.32500428232
Selection 2,10008.11010096607,6395.170912848286
Selection 2,10045.487694641262,6386.385653410123
Selection 2,10091.803040203884,6381.963372381462
Selection 2,10127.460857923486,6377.2106910460625
Selection 2,10175.9788721977,6357.666242132039
Selection 3,8389.428167435206,6420.357582385083
Selection 3,8417.935783644867,6424.085175589318
Selection 3,8428.855937372728,6425.372889605327
Selection 3,8429.381189142416,6425.47455123817
