#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8"
"#Areas (µm^2): 1841039.1, 979318.8, 923046.5, 512191.3, 686928.4, 208217.8, 240284.4, 172399.8"
Selection,X,Y
Selection 1,2899.4348927423916,1564.245700359552
Selection 1,3136.4426780262343,1459.1840164738724
Selection 1,3187.4639671140953,1445.1587529112105
Selection 1,3324.921134490752,1392.0608302662356
Selection 1,3482.234113494276,1345.3206011268865
Selection 1,3627.9339186822463,1315.2733109658764
Selection 1,3962.160102647592,1313.9474603101803
Selection 1,4104.441449518468,1369.4734468065499
Selection 1,4101.582084851365,1439.791453871285
Selection 1,4087.572795392989,1504.5344985403835
Selection 1,4021.8233821539043,1712.549284546058
Selection 1,3991.728169680038,1812.7867889375193
Selection 1,3888.8868862900413,1986.9045256493807
Selection 1,3805.342320876919,2091.6467274493502
Selection 1,3671.734912633065,2307.6325914934855
Selection 1,3342.7642089776473,2617.594111049169
Selection 1,3044.958982783223,2734.6203990446825
Selection 1,2775.5397399041176,2815.7848229192664
Selection 1,2641.6607718874097,2824.442787442003
Selection 1,2548.068494878714,2810.800902382193
Selection 1,2389.5095357409214,2761.2013085757408
Selection 1,2320.118026724745,2735.7385863446666
Selection 1,2260.1033169241523,2682.480922656837
Selection 1,2215.7592034276267,2559.096941155698
Selection 1,2213.4429583062306,2455.3770820299997
Selection 1,2241.0462105115607,2238.6084868758753
Selection 1,2254.83186250994,2149.393114441403
Selection 1,2327.8335190946377,2004.2204546948535
Selection 1,2420.179815969066,1868.9038172924522
Selection 1,2706.1801790965114,1688.0290344678283
Selection 1,2899.4348927423916,1564.245700359552
Selection 2,7923.658094928141,653.1786365408107
Selection 2,8119.804121449696,546.7751278951496
Selection 2,8122.439848656801,545.6090182823086
Selection 2,8191.6396684215515,528.0055553596966
Selection 2,8254.976991913527,504.39582922573965
Selection 2,8391.3159719902,459.68431133064803
Selection 2,8555.034566812205,441.298117298047
Selection 2,8960.537204099417,521.9833180440662
Selection 2,9060.583019239451,660.0954236964286
Selection 2,9091.301221780453,924.7863317070284
Selection 2,9042.66007423113,1090.9489644847145
Selection 2,8896.337278976023,1290.9447501390723
Selection 2,8582.174569993256,1414.0731459716433
Selection 2,8422.99262078833,1443.5453683783758
Selection 2,8283.331027020275,1479.630869959302
Selection 2,8159.451848286285,1492.9213247248308
Selection 2,8085.907072155882,1479.758662793586
Selection 2,7988.784518100091,1410.5268948202638
Selection 2,7954.504090303425,1342.3973400426414
Selection 2,7971.484563158904,1187.9117774976496
Selection 2,7961.3729551461865,1061.7642759551209
Selection 2,7925.127712522406,858.5097730265227
Selection 2,7923.658094928141,653.1786365408107
Selection 3,1754.4909680797648,2676.4427112369212
Selection 3,1894.7436037063824,2655.133256120075
Selection 3,1935.6532847815272,2672.7526931469724
Selection 3,2000.8116561620484,2741.0899112803068
Selection 3,2028.4947788888064,2842.908851996032
Selection 3,2050.842550784209,3008.81589910515
Selection 3,2033.5106476344508,3290.742865639795
Selection 3,1961.7389970797358,3629.857125516501
Selection 3,1857.380173782617,3874.3727398145243
Selection 3,1465.088120739509,4172.369655260374
Selection 3,1314.5321878487484,4156.315680453456
Selection 3,1187.362343631948,3974.849855770268
Selection 3,1149.5037164753323,3767.2503964760162
Selection 3,1159.5514280709067,3438.934631096303
Selection 3,1250.8753822710635,3284.0816641527454
Selection 3,1541.0609607213082,2911.40581117222
Selection 3,1754.4909680797648,2676.4427112369212
Selection 4,9695.298078919184,919.0037059556802
Selection 4,9798.442870290604,814.1496854257119
Selection 4,9814.656586140378,802.4246928801608
Selection 4,9907.338339204802,797.0094715273792
Selection 4,10122.28588647038,964.5778254821884
Selection 4,10275.221960899678,1222.0963606686023
Selection 4,10271.132590202593,1483.9279040120991
Selection 4,10112.845190837654,1763.6664182596317
Selection 4,9973.151648861029,1775.8866080380335
Selection 4,9884.8787485794,1753.7784477069124
Selection 4,9727.597717784449,1717.7568425431286
Selection 4,9646.784724204144,1646.3685704912655
Selection 4,9614.069758627456,1562.2489373238654
Selection 4,9603.734513154744,1364.3138111223361
Selection 4,9607.105049158981,1178.6148488034935
Selection 4,9695.298078919184,919.0037059556802
Selection 5,9910.309522601903,1818.3298031245847
Selection 5,9993.02343459218,1839.3676984685778
Selection 5,10039.33236291582,1865.1658768896473
Selection 5,10118.755609423288,1890.628599120721
Selection 5,10193.194935393678,1930.0526884973149
Selection 5,10278.097299671066,2011.5685426661803
Selection 5,10323.096351443299,2183.5457494037846
Selection 5,10332.776658640307,2389.6915652080565
Selection 5,10304.630286889269,2757.7509020500747
Selection 5,10237.778660454487,2974.647290038483
Selection 5,10124.9056395732,3089.181617765459
Selection 5,9909.287179927633,3033.0645894105264
Selection 5,9881.028989446597,2949.200541911694
Selection 5,9810.151888731869,2747.016303970224
Selection 5,9718.077151630294,2469.6739053655147
Selection 5,9638.462215871405,2205.110790189199
Selection 5,9606.05075827614,2081.4233007066355
Selection 5,9593.878490810595,1999.5879644520612
Selection 5,9593.159656117748,1875.5650187795027
Selection 5,9652.407608912637,1813.6653646732218
Selection 5,9753.715378291226,1798.665680749145
Selection 5,9910.309522601903,1818.3298031245847
Selection 6,4081.9339365802107,846.768806376687
Selection 6,4145.542819845038,774.7894924662608
Selection 6,4177.155572226027,763.3041114849922
Selection 6,4257.984539910616,761.9303385164399
Selection 6,4323.654082628273,810.9229163600434
Selection 6,4386.064908071689,927.9971266684131
