#Selection names:,Selection 1
#Areas (µm^2): 21357432.2
Selection,X,Y
Selection 1,5504.180355056835,1326.8662137562005
Selection 1,5664.237806585352,1397.8538215896378
Selection 1,5664.237806585352,1394.9905859539142
Selection 1,5742.628555206652,1569.4673953235986
Selection 1,5953.527785455992,1941.8170025458626
Selection 1,6173.919544659804,2575.830233991379
Selection 1,6259.919793394062,3441.7397570148755
Selection 1,6333.280533466118,4730.918050728371
Selection 1,6166.0520953904725,5747.985779385569
Selection 1,5959.795949955819,6434.440074321411
Selection 1,5460.767512039511,7046.553422390986
Selection 1,5212.981552429045,7163.1722359865435
Selection 1,5082.278714895605,7190.979155043391
Selection 1,4800.391876812827,7192.088336415788
Selection 1,4584.230483773507,7165.880702128444
Selection 1,4394.070365696436,7118.882365837556
Selection 1,4223.179049600316,7033.913913728783
Selection 1,3996.8028699686847,6946.623919212666
Selection 1,3734.0816542043103,6845.043541433569
Selection 1,3560.3013075568283,6762.602991057237
Selection 1,3413.708801990904,6715.243525947429
Selection 1,3267.941733725368,6681.065262728205
Selection 1,3114.0750619497667,6664.195387901508
Selection 1,2957.603103694813,6617.403410935718
Selection 1,2846.8655308645275,6516.854829782106
Selection 1,2650.6178126970876,6373.280329345727
Selection 1,2494.352213767232,6252.792278404599
Selection 1,2324.415309549686,6039.545710832278
Selection 1,2161.5720071323562,5720.4368094850915
Selection 1,2105.9323741030234,5528.9611507105255
Selection 1,2113.6450538785302,5335.860412250819
Selection 1,2170.8065869304555,5114.256292012061
Selection 1,2262.765461176897,4993.536086830198
Selection 1,2334.9654300452794,4805.903870485567
Selection 1,2368.4988203735757,4507.0181829979065
Selection 1,2378.6878120502492,4157.729230355255
Selection 1,2303.366658389771,3794.5884080154538
Selection 1,2251.880006778019,3599.5788457985977
Selection 1,2186.257741397108,3307.9673245206145
Selection 1,2207.848085785403,2995.307152082716
Selection 1,2316.031961967611,2785.439718458862
Selection 1,2468.4799133831693,2619.5268210807108
Selection 1,2558.065655390992,2498.135948092282
Selection 1,2628.4083903335018,2314.8888674059667
Selection 1,2728.4926630056443,1956.1331807244808
Selection 1,2823.7274915380035,1672.0021849812708
Selection 1,2881.1469737462994,1454.7316105695543
Selection 1,2939.288713592437,1323.1001560731765
Selection 1,3122.484204447477,1207.2293950310975
Selection 1,3413.8893664003635,1096.388642538263
Selection 1,3895.918954911791,949.3060335752322
Selection 1,4271.209182516689,907.5182702430488
Selection 1,4480.9476415623585,938.9364774890977
Selection 1,4777.228042570666,1007.7057225777402
Selection 1,5023.621076736726,1107.583635924786
Selection 1,5271.871344828659,1203.9018509139053
Selection 1,5384.672510909917,1259.3867144494152
Selection 1,5504.180355056835,1326.8662137562005
