#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8, Selection 9, Selection 10, Selection 11"
"#Areas (µm^2): 3426931.7, 11999708.5, 20703.7, 27992.1, 40876.8, 105618.9, 13814.2, 13240.2, 31685.5, 168607.4, 13429.2"
Selection,X,Y
Selection 1,6076.434851371953,7964.785733922531
Selection 1,6086.537570587299,8033.628795015177
Selection 1,6072.132160053663,8092.076553882835
Selection 1,6063.475145121262,8208.50738095577
Selection 1,6049.13857764872,8325.075894150896
Selection 1,6046.470909031379,8399.443610896225
Selection 1,6049.327896066724,8513.533773892012
Selection 1,6060.291153545728,8631.32425142153
Selection 1,6089.0159207866345,8744.312925439835
Selection 1,6154.416828824648,8835.185766082128
Selection 1,6191.351131100852,8912.479312923897
Selection 1,6221.315073441427,9018.841842312033
Selection 1,6261.949690251361,9162.878736883124
Selection 1,6290.19255606462,9298.637253357821
Selection 1,6333.701370675171,9539.69123177372
Selection 1,6339.604663163866,9612.613244236105
Selection 1,6353.235589260209,9716.325315772176
Selection 1,6352.288997170185,9810.812417121833
Selection 1,6297.5587636015325,9966.879636618862
Selection 1,6205.722120103942,10037.185612759726
Selection 1,6097.363141944118,10081.8991809394
Selection 1,5976.595202022344,10101.12360574952
Selection 1,5842.884766615152,10111.828701749428
Selection 1,5769.618538847304,10115.59785934425
Selection 1,5660.467865484913,10113.050666083822
Selection 1,5593.586831633407,10108.076754919879
Selection 1,5511.1988982707835,10107.250638186768
Selection 1,5437.812195146023,10104.755077222158
Selection 1,5328.334517243443,10100.69333661769
Selection 1,5262.847555379063,10106.510575280021
Selection 1,5188.152834093542,10110.21088981375
Selection 1,5117.81243642213,10112.052441697979
Selection 1,5037.025104229911,10114.13494429603
Selection 1,4955.394444539306,10109.539669968097
Selection 1,4885.3122083469925,10105.3058217109
Selection 1,4804.662562276958,10106.83757982021
Selection 1,4719.159480399891,10108.300494868428
Selection 1,4615.912099526196,10101.588296411897
Selection 1,4547.34441067792,10098.610834019639
Selection 1,4433.908256762513,10099.505793813845
Selection 1,4343.63779290478,10094.600725710994
Selection 1,4278.4089925194985,10057.494315782056
Selection 1,4270.819045034034,9980.114715113921
Selection 1,4284.776975670568,9913.268102792963
Selection 1,4298.855381664014,9846.851759603833
Selection 1,4317.615115811761,9773.482267244346
Selection 1,4335.892948531858,9700.6635193736
Selection 1,4352.398072428819,9634.29880848029
Selection 1,4378.575646409298,9555.714454243032
Selection 1,4438.331423437715,9444.96317971024
Selection 1,4476.969591475962,9358.100447376593
Selection 1,4520.048136954686,9229.054129358428
Selection 1,4563.109471668136,9130.660184291764
Selection 1,4586.688220092367,9059.855095957977
Selection 1,4613.502592387953,8959.413069823808
Selection 1,4635.566793468146,8865.13249765743
Selection 1,4664.704619075608,8738.73663749133
Selection 1,4684.238837660646,8646.986047820108
Selection 1,4710.829470007681,8556.199261004182
