#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8, Selection 9, Selection 10, Selection 11, Selection 12, Selection 13, Selection 14, Selection 15, Selection 16, Selection 17, Selection 18, Selection 19, Selection 20, Selection 21"
"#Areas (µm^2): 438262.5, 102324.8, 130434.8, 133003.9, 203470.1, 69631.2, 64400.8, 64225.2, 16289.7, 5617.2, 5266.1, 8760.1, 30963.1, 6949.7, 38234.8, 52861.8, 40928.7, 88168.4, 91990.5, 42041.0, 140533.3"
Selection,X,Y
Selection 1,630.6639293307751,2468.0259702747967
Selection 1,646.2468480386151,2446.3242420701204
Selection 1,662.6907377927338,2428.999664375533
Selection 1,687.4814460871124,2407.7711416314073
Selection 1,731.824741119502,2366.2999408526343
Selection 1,770.3778415582153,2329.363625737468
Selection 1,808.181700017724,2300.50466494197
Selection 1,846.5310592164781,2281.1689640400446
Selection 1,919.483567717964,2269.535996468186
Selection 1,996.2742982883569,2262.3196131947957
Selection 1,1032.487660616572,2263.4631930577925
Selection 1,1092.4007297606752,2258.3302282704353
Selection 1,1173.4568817740826,2248.2088892531124
Selection 1,1223.5180761214538,2246.8221343617774
Selection 1,1259.1136424317285,2249.2604569432233
Selection 1,1311.6000147644193,2258.9743134806286
Selection 1,1323.745621585207,2284.0804920820406
Selection 1,1341.8194412589987,2309.5087132885496
Selection 1,1348.1748534861101,2353.0764771494823
Selection 1,1347.6227804488014,2410.248898001232
Selection 1,1345.499928174389,2449.4986620346444
Selection 1,1343.67282931282,2490.8844229385954
Selection 1,1344.9478551370805,2535.5431882780185
Selection 1,1347.7542264100653,2595.758583133029
Selection 1,1344.31034222495,2650.2166448846788
Selection 1,1324.7051771024337,2696.1044299619193
Selection 1,1310.7784775065195,2720.349637517053
Selection 1,1286.395251692059,2742.7085955280486
Selection 1,1244.7663157597697,2763.667654051584
Selection 1,1215.276414350205,2781.2945574570776
Selection 1,1185.0306986633725,2827.0246073808025
Selection 1,1172.7733627755103,2852.3016657318576
Selection 1,1149.901765515585,2867.207637739188
Selection 1,1116.5867866332399,2888.048394897586
Selection 1,1082.9037590593555,2911.6692341367157
Selection 1,1041.471992068962,2929.7167646182543
Selection 1,1010.4178837203567,2944.03780209796
Selection 1,966.0154380053983,2957.7804773481053
Selection 1,937.097326527332,2956.571174504477
Selection 1,904.058384163641,2955.1909919112054
Selection 1,866.6094297995447,2949.1839114814434
Selection 1,824.901626290497,2936.742551247812
Selection 1,795.063393083583,2920.798156146496
Selection 1,760.4339545885985,2901.206135620106
Selection 1,724.9632619415246,2881.121192738976
Selection 1,698.3388824875137,2867.904301333887
Selection 1,664.2483724337113,2848.2925639133073
Selection 1,645.3595878000834,2828.3785007818205
Selection 1,617.41417643537,2801.7344044336205
Selection 1,596.6325699595413,2776.4442014864385
Selection 1,571.4080899929917,2747.716686652205
Selection 1,554.3201150286795,2717.017482399012
Selection 1,528.0374950739551,2694.349626379046
Selection 1,517.1800586735536,2659.582169624734
Selection 1,518.9348622564273,2624.164055362166
Selection 1,529.3322377924047,2592.2489759672817
Selection 1,546.9065628133935,2571.7368337120442
Selection 1,573.793834189932,2551.901638157316
Selection 1,594.9434893572998,2533.9461198486615
Selection 1,619.615896286541,2502.1493418189148
Selection 1,630.6639293307751,2468.0259702747967
Selection 2,3005.5214366224322,4205.740248873716
Selection 2,3019.2611366148117,4193.6388656431
Selection 2,3040.028978077947,4192.894895712638
Selection 2,3113.317930802273,4198.253062126717
Selection 2,3168.8149217853165,4215.862988672248
Selection 2,3201.019322285887,4231.700050702635
Selection 2,3218.352238750928,4261.071033808464
Selection 2,3228.2375413376103,4296.860736207967
Selection 2,3222.111661271884,4345.456218899907
Selection 2,3211.727740540316,4388.242404475253
Selection 2,3191.0548739619207,4419.47331240724
Selection 2,3149.368814134812,4437.953842062888
Selection 2,3116.000971296177,4446.794420917432
Selection 2,3065.941292464496,4452.184245626424
Selection 2,3032.2489521029997,4458.571306625186
Selection 2,2987.7373894548773,4472.398066928576
Selection 2,2941.009746162823,4495.176210118707
Selection 2,2896.8305956112904,4538.271064069459
Selection 2,2842.117147427352,4548.9399094552455
Selection 2,2802.3701581636838,4544.230738086891
Selection 2,2771.2737979850795,4512.881111548979
Selection 2,2772.5797026502532,4466.731232139093
Selection 2,2782.02178910815,4427.411629856754
Selection 2,2790.434980981364,4396.022430450202
Selection 2,2802.5996808018053,4356.05383312214
Selection 2,2825.1245576326296,4332.041016430389
Selection 2,2881.341774824951,4307.062621743783
Selection 2,2915.5960499211587,4277.367141115093
Selection 2,2934.321931362385,4248.225680647386
Selection 2,2968.1409049035346,4222.804069831993
Selection 2,3005.5214366224322,4205.740248873716
Selection 3,3544.907550781782,4009.5933681645374
Selection 3,3572.9488855012514,3992.941105040133
Selection 3,3598.3388380217307,3989.244999109004
Selection 3,3659.858819612032,4010.7409813551453
Selection 3,3662.4152269262822,4054.1128453863885
Selection 3,3664.2197497363413,4107.013856186539
Selection 3,3692.427290504106,4138.672151099855
Selection 3,3724.6316910046767,4172.396149756265
Selection 3,3746.483829068594,4209.064369839613
Selection 3,3768.4784294596193,4244.371283241689
Selection 3,3789.6578287566276,4283.659227229115
Selection 3,3822.8278072520543,4332.626694886285
Selection 3,3847.7270562013773,4370.5454176187095
Selection 3,3855.5308258975106,4432.7143942547345
Selection 3,3835.237858858074,4473.973067100513
Selection 3,3794.651924779203,4467.491031217011
Selection 3,3759.3687550983122,4448.575200006306
