#Selection names:,Selection 1
#Areas (µm^2): 21854585.9
Selection,X,Y
Selection 1,646.3441974840044,2533.215273761552
Selection 1,653.5701838821587,2390.695357532273
Selection 1,688.7668703971534,2332.380847374475
Selection 1,816.0348891366004,2375.4967883553436
Selection 1,955.168457496634,2417.679483860436
Selection 1,1123.2326356057342,2465.195010655679
Selection 1,1254.7935835337541,2506.817758875306
Selection 1,1432.4568579651254,2593.849565530566
Selection 1,1657.2890251578806,2695.626650703093
Selection 1,1810.8745663142229,2761.087154789693
Selection 1,2072.316620313863,2899.4207984562036
Selection 1,2385.7537793924735,3035.674637919555
Selection 1,2591.121112376179,3165.289102426669
Selection 1,2830.0586183313835,3336.126352806649
Selection 1,3027.4000402234115,3457.848227004339
Selection 1,3182.0788117942343,3578.370214161746
Selection 1,3335.0777415086586,3748.4075398482023
Selection 1,3478.3175899621074,3965.373780887986
Selection 1,3621.130811912345,4239.4546450452835
Selection 1,3722.5345988945605,4422.104116732947
Selection 1,3815.8324823157486,4554.14501947708
Selection 1,3959.925583775621,4755.48606483672
Selection 1,4156.3870885047745,5078.468991924701
Selection 1,4275.175905492883,5402.971775930373
Selection 1,4396.311168248656,5876.900492686071
Selection 1,4465.877952428673,6266.410490118681
Selection 1,4511.793629836872,6596.43275450966
Selection 1,4539.417695919853,6817.451947329958
Selection 1,4533.391596561982,6976.503640558703
Selection 1,4509.047221722445,7162.699445054316
Selection 1,4475.157078873536,7343.242448382371
Selection 1,4469.584270175328,7484.482485102013
Selection 1,4430.4146243491705,7661.23917821406
Selection 1,4368.073826567308,7766.589260350987
Selection 1,4274.029346765501,7942.412707987258
Selection 1,4197.503217751838,8110.903512599571
Selection 1,4148.921124698563,8221.853067591157
Selection 1,4108.604920145025,8325.62996449749
Selection 1,4015.173715941583,8476.415769226503
Selection 1,3911.183505783644,8533.58372065692
Selection 1,3794.501157155145,8666.691189659083
Selection 1,3886.225855345738,8737.537853348735
Selection 1,3774.2097340961213,8865.87243834621
Selection 1,3668.3796971430806,8955.863966367506
Selection 1,3472.1315056655326,9147.79256450003
Selection 1,3349.8230200259245,9215.732835136552
Selection 1,3218.1554154721034,9217.892631809063
Selection 1,3117.8448589043683,9228.291652824857
Selection 1,2987.0571715134206,9234.637722060135
Selection 1,2877.3341677185686,9217.75931102681
Selection 1,2764.491457618979,9197.947842783899
Selection 1,2635.1969629892747,9168.59060653162
Selection 1,2530.566813076517,9137.180230232632
Selection 1,2430.8961962636,9115.18230116076
Selection 1,2276.564058726637,9041.90919923409
Selection 1,2141.1901364261594,8962.396684697942
Selection 1,1973.9525471670331,8900.402520949938
Selection 1,1844.151433564763,8880.69770933283
Selection 1,1718.10996602205,8839.474923459966
Selection 1,1609.3735360158773,8769.161542899328
Selection 1,1504.7433861031197,8707.114050838425
Selection 1,1401.8197422032097,8649.839442782206
Selection 1,1261.5662792722446,8553.661830464336
Selection 1,1138.5378614084666,8522.918058076617
Selection 1,1022.7354299428445,8508.279436185154
Selection 1,909.519421652943,8569.873637586395
Selection 1,794.0636242211802,8592.298193161478
Selection 1,676.7413358378636,8618.615715578371
Selection 1,559.9789947400134,8646.773064790368
Selection 1,424.63173659598675,8676.263621824903
Selection 1,293.04412451151745,8677.25019561358
Selection 1,268.91306292358456,8566.11399152684
Selection 1,259.68726479162405,8399.916304369292
Selection 1,239.44917004550234,8247.07735959357
Selection 1,237.0227318084835,7958.811164204471
Selection 1,300.0034693451641,7645.907288254876
Selection 1,354.2116994095463,7303.0062362981835
Selection 1,363.7574674189167,6836.703468287403
Selection 1,378.5027459361826,6581.8207967746475
Selection 1,376.55626251527855,6289.821619482443
Selection 1,376.2629567943198,6156.8208071060835
Selection 1,379.9959386974245,5953.6399349513395
Selection 1,387.2485892520299,5846.290041080605
Selection 1,400.58066747740713,5675.186149136119
Selection 1,422.6319248621806,5490.190231680789
Selection 1,430.01789619903826,5368.17505176214
Selection 1,433.8042064150467,5175.579849718345
Selection 1,439.7769774600142,5060.9506411365555
Selection 1,442.950012077654,4929.283036582733
Selection 1,453.4823538757019,4817.986847557288
Selection 1,460.41503455289904,4709.277081707564
Selection 1,462.5748312254086,4596.7543414853835
Selection 1,475.13364891371384,4466.846571257312
Selection 1,485.9592964327206,4303.475284683543
Selection 1,499.8779861000138,4176.2872584134475
Selection 1,516.5430838817342,4046.3794881853755
Selection 1,530.8884000522401,3902.046409317446
Selection 1,547.366848738806,3695.639174232161
Selection 1,558.0591754755588,3565.224785031525
Selection 1,570.6713214767648,3443.0229560177204
Selection 1,583.9500713892398,3322.714282111919
Selection 1,596.4555607646445,3156.9165573011323
Selection 1,603.7348754756994,3043.2472583515696
Selection 1,624.4795891943854,2888.515158467845
Selection 1,638.6382562697369,2766.446650236295
Selection 1,646.3441974840044,2533.215273761552
