#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8, Selection 9"
"#Areas (µm^2): 261463.4, 1595296.8, 1382697.8, 683275.7, 198135.9, 1851942.0, 185473.6, 6966012.0, 1252314.9"
Selection,X,Y
Selection 1,2215.254164671903,4417.480545763591
Selection 1,2241.11091342504,4438.322486856405
Selection 1,2244.642211741202,4451.801488934334
Selection 1,2252.5603290996078,4496.0428320138835
Selection 1,2273.6389035847415,4536.55264852223
Selection 1,2316.36943346717,4569.663120878412
Selection 1,2345.4025304479896,4600.616588850753
Selection 1,2369.1386799545653,4637.140042826938
Selection 1,2400.6837314077065,4686.678333380731
Selection 1,2423.0910934035614,4724.202928632115
Selection 1,2443.905730643415,4771.229264713586
Selection 1,2470.545189848073,4824.025815053942
Selection 1,2484.188015043762,4859.366102068526
Selection 1,2520.3838227844262,4911.789499751761
Selection 1,2550.6364918641266,4947.393724011625
Selection 1,2588.5888474785515,4997.314268506858
Selection 1,2633.4854830291415,5032.745568364641
Selection 1,2690.2865984703,5099.931249214926
Selection 1,2708.2980401395916,5141.241978743434
Selection 1,2683.4697365146153,5180.69604627066
Selection 1,2636.680033825464,5198.261525008272
Selection 1,2588.3613153705514,5201.8474310303545
Selection 1,2534.0357492644353,5202.311596530674
Selection 1,2486.417829702164,5198.752994361552
Selection 1,2443.159425329175,5192.072651670667
Selection 1,2402.886242213148,5188.814391884105
Selection 1,2368.565299042405,5182.862151938822
Selection 1,2325.2340843948564,5177.055532542658
Selection 1,2283.8141394545087,5163.403606062649
Selection 1,2247.2542803410443,5130.183918294626
Selection 1,2190.362152056686,5080.882261133153
Selection 1,2168.4280568454715,5049.7558687587325
Selection 1,2157.9615798774644,5016.70000410847
Selection 1,2144.1458302796955,4983.607734320929
Selection 1,2126.3073130124835,4928.927218126332
Selection 1,2115.303860269596,4886.105675400703
Selection 1,2105.1377256841492,4843.001992861155
Selection 1,2094.5620333043025,4802.592290480328
Selection 1,2089.720150046059,4754.118850191975
Selection 1,2086.534700534057,4701.877478195141
Selection 1,2088.091020152778,4652.257276082468
Selection 1,2090.82140544878,4603.556303686115
Selection 1,2098.266256022545,4564.648313218089
Selection 1,2106.42100677327,4514.955300830856
Selection 1,2112.336841581274,4476.46596944155
Selection 1,2121.6019490190406,4438.995981896085
Selection 1,2120.92845397936,4399.705737486619
Selection 1,2167.6817515312314,4386.25403926165
Selection 1,2215.254164671903,4417.480545763591
Selection 2,2221.7030154245276,5963.186233178147
Selection 2,2286.099102030513,5986.197683918633
Selection 2,2304.819193448095,5995.332882956313
Selection 2,2355.236241301624,6026.168997851438
Selection 2,2435.602865747043,6077.395493720965
Selection 2,2475.946782734831,6119.679516270904
Selection 2,2557.8809096874184,6225.473087123594
Selection 2,2598.1734331503812,6281.761845188404
Selection 2,2663.9828416890596,6372.933958228322
Selection 2,2726.6572452134005,6459.005263929338
Selection 2,2757.5447536333504,6511.015511052448
Selection 2,2802.9123876728027,6584.662432126971
Selection 2,2850.6441238542143,6657.923901765305
Selection 2,2898.208831079944,6729.360901272344
Selection 2,2933.2463666295293,6809.059409895035
Selection 2,2958.8274936112766,6873.506890025846
Selection 2,2994.3147225030825,6930.412370388556
Selection 2,3039.0142407198073,7012.886129351808
Selection 2,3056.16682963022,7064.896376474919
Selection 2,3078.7671321721054,7140.650432067276
Selection 2,3107.72738341111,7220.05342792222
Selection 2,3174.2563012973415,7283.794247086686
Selection 2,3209.8077720951787,7337.834538440391
Selection 2,3258.066291906049,7371.805658349854
Selection 2,3297.1896126792385,7431.088089235731
Selection 2,3316.3337006766283,7486.374673566448
Selection 2,3341.593618128218,7582.750380994919
Selection 2,3345.281103534427,7646.144293866813
Selection 2,3329.3362624574056,7709.3069358769935
Selection 2,3262.6788607591116,7757.3598815885625
Selection 2,3213.2382898772616,7770.529472325023
Selection 2,3146.529494654142,7769.732872690232
Selection 2,3074.450076086788,7760.237918978774
Selection 2,2965.9326484183616,7755.689592031744
Selection 2,2905.9821017097565,7751.205506990745
Selection 2,2782.329280980307,7745.372341923083
Selection 2,2675.880442686095,7733.84734398103
Selection 2,2564.1637680973,7711.426918776033
Selection 2,2480.340929107386,7682.67224163633
Selection 2,2425.3113124007946,7662.114831706246
Selection 2,2340.2678771962824,7592.078305750695
Selection 2,2307.915653318814,7533.091387632562
Selection 2,2273.1607821557673,7474.965311055252
Selection 2,2226.3284326587964,7401.241299693491
Selection 2,2182.8752074190834,7338.104354445723
Selection 2,2156.9343257635596,7280.286639017365
Selection 2,2118.196456426559,7213.436511600976
Selection 2,2084.816362052587,7157.790172596483
Selection 2,2064.7857357519624,7098.918889909207
Selection 2,2035.7740909881322,7046.780158974034
Selection 2,1998.9891755944898,6977.334658553971
Selection 2,1952.2596131471694,6880.740528644993
Selection 2,1926.40867016009,6813.0038629253695
Selection 2,1898.1036863626068,6732.894206104077
Selection 2,1879.306504657787,6666.596559079559
Selection 2,1866.5994556447545,6606.543225321303
Selection 2,1858.093827286183,6530.3137796243145
Selection 2,1861.4344063998212,6474.718834144645
Selection 2,1872.8823140546363,6379.281058544235
Selection 2,1881.130974789082,6326.294334449446
Selection 2,1894.3134139067479,6253.302680816444
Selection 2,1901.4314170950393,6197.245193613348
Selection 2,1917.299167884822,6106.8568318270145
Selection 2,1928.2716854350037,6042.794803132393
Selection 2,1941.5183664587012,5984.411758930957
Selection 2,1967.2151288713053,5915.274619659846
Selection 2,2043.0848198945182,5876.254085936307
Selection 2,2117.11719240523,5891.890565864377
Selection 2,2172.4037767359473,5924.551150890797
Selection 2,2221.7030154245276,5963.186233178147
Selection 3,2462.468830849419,5271.609266367736
Selection 3,2501.425122666927,5269.514980231109
Selection 3,2526.286740301121,5271.9433242791
Selection 3,2598.9957295475842,5294.453688152541
Selection 3,2659.8199661782173,5326.741670123977
Selection 3,2693.9067215185364,5373.317051996823
Selection 3,2738.1436980118337,5416.179251701046
Selection 3,2802.0900912755988,5465.46564200842
Selection 3,2858.1347300974876,5499.693729542008
Selection 3,2909.7466774032027,5515.702812525061
Selection 3,2980.5412578499263,5542.530232483819
Selection 3,3022.092922671107,5582.206033648879
Selection 3,3077.5465359575064,5619.800397058519
Selection 3,3126.563110259548,5654.902174514136
Selection 3,3215.0499116273495,5720.86576362729
Selection 3,3264.6575114648817,5757.3166211095695
Selection 3,3363.178898554805,5804.611512329966
Selection 3,3457.948558332488,5832.518196310054
Selection 3,3510.151531173693,5874.789370478788
Selection 3,3573.943743862982,5924.2813348854625
Selection 3,3612.3861004322375,5967.143534589686
Selection 3,3655.556661285412,6024.216043908079
Selection 3,3704.059300339202,6074.324730612657
Selection 3,3750.4034113503326,6123.482637107968
Selection 3,3822.213013912354,6178.139650759577
Selection 3,3874.428835134766,6200.77849844508
Selection 3,3924.3190993588355,6229.584569109609
Selection 3,3986.479567634925,6264.801981996083
Selection 3,4046.751323873687,6319.960082514737
Selection 3,4085.5919802603376,6386.142094108399
Selection 3,4096.551649429313,6447.069117788683
Selection 3,4105.301397030806,6505.72197799545
Selection 3,4102.538995071451,6651.602498211802
Selection 3,4087.5063890600773,6704.8076447871
Selection 3,4069.7884713765866,6757.318978777255
Selection 3,4051.106925102624,6813.1194983562245
Selection 3,3987.6744670871108,6903.263740899639
Selection 3,3941.7415042745815,6953.398124366629
Selection 3,3859.1135647368533,7008.286408879952
Selection 3,3776.3314446246504,7011.845410474098
Selection 3,3667.107355989877,6992.174538847249
Selection 3,3529.2827707898764,6961.659633482282
Selection 3,3470.2059140032998,6932.892107961372
Selection 3,3401.1715617818395,6873.712464125145
Selection 3,3351.782384424815,6832.623341027391
Selection 3,3288.0158684979383,6769.075247581022
Selection 3,3208.0089987262963,6690.340367548803
Selection 3,3159.275088810793,6626.329732379007
Selection 3,3116.695553493108,6561.278378331501
Selection 3,3096.9218948166094,6498.80954890646
Selection 3,3052.2866185059165,6447.197601600746
Selection 3,3012.8292398213634,6406.378294508324
Selection 3,2977.971581608666,6355.138950257592
Selection 3,2951.0799197438764,6304.991718409396
Selection 3,2915.0916039850244,6229.635962634435
Selection 3,2874.696293472411,6177.561473605293
Selection 3,2829.3158110517525,6122.917308334891
Selection 3,2763.3522219385986,6037.848176367966
Selection 3,2710.81519118603,5978.925500155865
Selection 3,2663.1476969106498,5897.659489026006
Selection 3,2626.1700557989125,5848.3088568125995
Selection 3,2579.607522307274,5803.557945071049
Selection 3,2542.2444297593483,5768.893012576446
Selection 3,2476.7048372260024,5693.717134138375
Selection 3,2439.43168334652,5654.529571459153
Selection 3,2357.561798299964,5609.778659717604
Selection 3,2308.1854693241457,5593.268489867505
Selection 3,2236.0675056131727,5558.590708991696
Selection 3,2187.102324835956,5501.672380247779
Selection 3,2176.2582910978376,5445.3964705641765
Selection 3,2193.976208781328,5390.636669862917
Selection 3,2223.3604566001404,5340.001199528881
Selection 3,2264.668002178401,5305.811657138912
Selection 3,2318.027329328173,5286.757507809966
Selection 3,2391.635705259077,5275.2839033927385
Selection 3,2462.468830849419,5271.609266367736
Selection 4,1304.456258459533,6797.448719841113
Selection 4,1361.341054086802,6752.933582624034
Selection 4,1381.1754984570107,6742.850259180656
Selection 4,1473.8795418976708,6701.324944612486
Selection 4,1528.1262587170797,6767.726365272554
Selection 4,1575.3380987155274,6846.10661785276
Selection 4,1643.2637426868039,6954.248307650528
Selection 4,1674.8620644076188,7069.4834982427665
Selection 4,1705.6396504993227,7171.117926981146
Selection 4,1739.6415551339662,7265.89335081909
Selection 4,1789.2569780462422,7357.385832140585
Selection 4,1868.0671397655053,7533.843992399683
Selection 4,1890.3051670495424,7630.182722197839
Selection 4,1824.8612712901045,7717.532442724769
Selection 4,1660.655521494179,7735.354130671203
Selection 4,1562.3822005702582,7736.155324975813
Selection 4,1455.6865687856866,7708.328478884014
Selection 4,1376.720076470402,7692.011472924283
Selection 4,1295.0177987247441,7695.685241930786
Selection 4,1145.116298464772,7677.84401265985
Selection 4,1023.1393509191133,7609.31258762899
Selection 4,939.4633993986862,7564.680202464893
Selection 4,856.5104768848571,7389.883054788523
Selection 4,863.4867297323099,7311.131517042768
Selection 4,892.4078899962592,7225.32556115155
Selection 4,978.3897178080023,7104.794671619087
Selection 4,1074.1226665465765,7031.0457129460165
Selection 4,1160.534403497377,6937.208272684201
Selection 4,1304.456258459533,6797.448719841113
Selection 5,686.4227884136285,6201.106119993171
Selection 5,755.4818292060595,6210.368707807435
Selection 5,824.0523368859239,6242.377397342807
Selection 5,904.2890152938821,6274.796454692735
Selection 5,978.3506351589965,6328.593721048581
Selection 5,1036.0170837663727,6439.549361574735
Selection 5,985.190098734931,6518.418147267505
Selection 5,941.417531848953,6595.274176536503
Selection 5,857.5852497325042,6760.965066994631
Selection 5,826.6317917202764,6858.886644077504
Selection 5,732.4816902664184,6904.378847519716
Selection 5,663.5203560965007,6858.437193613942
Selection 5,636.5142456338125,6786.07566898056
Selection 5,630.7104722565193,6658.685774547663
Selection 5,613.7095199391979,6575.635145411321
Selection 5,601.2812375555002,6481.289630712436
Selection 5,624.4572484156654,6304.694681181818
Selection 5,686.4227884136285,6201.106119993171
Selection 6,512.8958268299294,3944.1222225839347
Selection 6,791.9459407280398,3873.8125370233324
Selection 6,1089.4821476056743,3861.0911347720944
Selection 6,1327.4759387236766,3870.9008796724343
Selection 6,1524.3157004390594,3901.131308678063
Selection 6,1649.1456813621078,3910.62839238636
Selection 6,1745.2303739417293,3912.5239008631193
Selection 6,1813.1951005620115,3949.7305827162004
Selection 6,1844.988835527854,4027.1142277467684
Selection 6,1868.3016356595376,4134.611053835949
Selection 6,1872.874305593162,4245.156326547546
Selection 6,1814.9147371182469,4331.00136508777
Selection 6,1745.3085392397402,4380.49954005303
Selection 6,1660.9291000372166,4415.830254753855
Selection 6,1587.8445463972353,4471.054037798397
Selection 6,1550.3056620276086,4599.225585211401
Selection 6,1550.7160298421652,4700.801389976274
Selection 6,1557.4187041465805,4810.994918846823
Selection 6,1561.1706384510928,4898.969961757838
Selection 6,1531.3505772600204,5011.352118972686
Selection 6,1432.666888521543,5069.311687447601
Selection 6,1345.6102878621534,5097.822479896995
Selection 6,1232.3292297201829,5143.529637908738
Selection 6,1124.343870518435,5184.331923470309
Selection 6,1052.4317963486142,5254.876104924943
Selection 6,1019.6414538331361,5370.345791411214
Selection 6,986.2062476090699,5447.299527302724
Selection 6,942.4923046965994,5534.8642023991815
Selection 6,869.8962841691854,5606.698111270992
Selection 6,806.093859667972,5683.475975241978
Selection 6,723.746718213726,5777.00075431175
Selection 6,676.0658864272142,5856.104035898554
Selection 6,618.5362270913572,5923.267568214226
Selection 6,522.9400676243013,5856.827064905152
Selection 6,461.8148045799537,5634.818077230333
Selection 6,432.0533673623889,5511.082410479434
Selection 6,423.59197385273393,5421.055528495639
Selection 6,445.00926550765894,5045.998887315917
Selection 6,457.6329611363825,4435.547451177048
Selection 6,448.19450140159375,4336.27752270349
Selection 6,447.10018722944415,4197.670908006062
Selection 6,460.54461848727993,4076.944605228574
Selection 6,469.3968384869889,4020.4701774158607
Selection 6,512.8958268299294,3944.1222225839347
Selection 7,659.7795565869811,2010.0075601250878
Selection 7,779.277267136427,1969.7642649964712
Selection 7,813.6851682284855,1976.7853367057965
Selection 7,939.3437529599553,2089.726947182296
Selection 7,918.0480520137902,2247.817303551213
Selection 7,805.8736447373155,2407.2560776656296
Selection 7,747.356964298997,2523.824466905887
Selection 7,670.5901471327969,2584.2010338897217
Selection 7,569.6215562930605,2575.8315444348973
Selection 7,491.8782986904641,2526.3585623241534
Selection 7,466.83957607144526,2433.062003484674
Selection 7,481.3931882901132,2327.9784136629814
Selection 7,556.369864656254,2212.037736131836
Selection 7,601.3558704759388,2099.7470859462674
Selection 7,659.7795565869811,2010.0075601250878
Selection 8,4278.746796853318,1761.0617460076814
Selection 8,4448.484692713534,1790.540947754121
Selection 8,4422.771761221766,1768.478043607929
Selection 8,4524.507555261527,1783.147898735692
Selection 8,4704.102849812981,1827.250458446256
Selection 8,4831.063355126314,1885.2091729209194
Selection 8,5021.236754405393,1980.2493753968208
Selection 8,5184.581290265393,2055.644526235703
Selection 8,5308.472982778623,2096.0970586006906
Selection 8,5468.981191656712,2179.6524616580273
Selection 8,5554.140746859556,2268.508541370086
Selection 8,5646.600356753554,2340.7651336634085
Selection 8,5752.4046526116335,2427.714829666313
Selection 8,5856.790784978757,2571.832788362036
Selection 8,5894.964956325487,2663.990166692387
Selection 8,5937.881838363284,2855.2097521533196
Selection 8,5960.921182945873,2992.1438990669844
Selection 8,5957.224658436658,3243.902791584485
Selection 8,5949.971100909142,3399.57529544423
Selection 8,5887.432415816144,3633.2700398883994
Selection 8,5799.971251013222,3830.580753785899
Selection 8,5744.500134793188,3947.3351316807084
Selection 8,5671.755322281668,4028.0774563379505
Selection 8,5555.233430205048,4139.345168923485
Selection 8,5279.482001250382,4283.41663045557
Selection 8,4901.6925466923085,4404.750978968715
Selection 8,4591.742453881956,4455.665373152233
Selection 8,4203.002917287152,4426.860380278544
Selection 8,3923.601460986911,4379.084544640584
Selection 8,3670.9591223602906,4262.841635545792
Selection 8,3358.777165695317,4071.947530230325
Selection 8,3120.7814336146394,3824.3501338584188
Selection 8,2981.4991799372606,3524.2806883211224
Selection 8,2839.77582516889,3073.9324099060805
Selection 8,2826.547382113902,2814.1992538246773
Selection 8,2848.3313032782667,2555.8377640705926
Selection 8,2904.5928712801456,2269.554727551939
Selection 8,3007.4445972472176,1923.313598522192
Selection 8,3189.643732962394,1702.5915627330012
Selection 8,3363.1943962409186,1684.7599004778601
Selection 8,3560.6446016293326,1671.1362315319504
Selection 8,3702.437702143159,1662.371516186203
Selection 8,3875.2211622216582,1677.2506085503364
Selection 8,3981.304441061565,1699.26701553289
Selection 8,4083.505206737707,1729.1646917520704
Selection 8,4278.746796853318,1761.0617460076814
Selection 9,10017.88277673113,5726.785504523525
Selection 9,10059.740655838963,5709.7356356627915
Selection 9,10073.942436250549,5711.4496436435
Selection 9,10128.971113525931,5719.491305146975
Selection 9,10183.445637845145,5753.4106209757365
Selection 9,10236.876292642275,5784.971564921267
Selection 9,10298.516143557536,5801.789462777092
Selection 9,10376.497063040755,5806.016489977637
Selection 9,10425.72646519344,5837.796517650025
Selection 9,10481.077324420085,5874.473710981581
Selection 9,10540.50056351067,5911.5761844888
Selection 9,10579.71655061816,5959.040029548574
Selection 9,10598.544863849855,6011.877869555383
Selection 9,10610.504257880664,6096.147780727218
Selection 9,10611.702774739355,6186.371614358356
Selection 9,10600.619715615976,6279.469310994743
Selection 9,10578.505146481419,6347.539913657172
Selection 9,10547.111737150544,6451.75933125109
Selection 9,10480.265425902906,6568.6598304466415
Selection 9,10405.944493386012,6683.227732315063
Selection 9,10318.066144360055,6843.0686419746835
Selection 9,10239.247551803557,6985.060671534444
Selection 9,10164.153382603636,7068.840866140362
Selection 9,10091.598007179653,7124.449470928015
Selection 9,10036.685315406723,7148.25227348718
Selection 9,9944.051560780154,7150.017830580089
Selection 9,9890.698229651327,7155.314501858821
Selection 9,9823.117343554813,7127.993472391886
Selection 9,9722.635236595523,7058.415058197555
Selection 9,9657.67046794325,6991.156354052302
Selection 9,9618.673564562614,6943.653847158376
Selection 9,9584.92178334851,6904.850252948499
Selection 9,9567.704379873121,6857.025564103311
Selection 9,9507.701213270268,6796.725990105298
Selection 9,9464.8639010306,6746.774900381788
Selection 9,9412.812184984869,6667.273282088616
Selection 9,9387.295374444995,6610.221302159313
Selection 9,9371.083178657542,6504.004356467578
Selection 9,9388.661425918343,6425.005342018375
Selection 9,9419.462020458897,6371.523138109043
Selection 9,9460.598211995904,6321.945779448996
Selection 9,9483.782425208648,6271.273002154662
Selection 9,9490.122966009465,6218.164529308794
Selection 9,9490.54824618513,6160.416636364767
Selection 9,9498.486809464202,6107.733443694565
Selection 9,9509.363672138774,6035.113631880329
Selection 9,9504.91756121137,5978.744677687699
Selection 9,9534.339217000528,5926.332117856555
Selection 9,9608.260643897858,5902.490653463239
Selection 9,9666.343606071196,5883.932973070604
Selection 9,9778.92686711985,5866.316063975651
Selection 9,9879.71826875235,5832.461184537142
Selection 9,9916.885178649822,5788.773311946146
Selection 9,10017.88277673113,5726.785504523525
