#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 8, Selection 9, Selection 10, Selection 11, Selection 13"
"#Areas (µm^2): 12676331.3, 38807.5, 9256.1, 56453.4, 41667.1, 10069.1, 94309.9, 66164.0, 293934.2, 561903.9, 1544798.6, 1443075.6"
Selection,X,Y
Selection 1,2801.1591541719376,1744.9696814458794
Selection 1,2871.3159691030082,1720.5288806978444
Selection 1,2997.261121485858,1693.4363866810995
Selection 1,3125.323517331322,1664.617208675427
Selection 1,3218.913900683552,1638.2647220825083
Selection 1,3312.894843509469,1616.4961703649567
Selection 1,3451.728458523957,1613.6800310020628
Selection 1,3547.353862291709,1627.7401720547591
Selection 1,3655.6005037880514,1639.6214023595228
Selection 1,3791.987983151559,1663.054970780683
Selection 1,3898.7340540384757,1684.3712957392297
Selection 1,4072.3480179727912,1712.3887990357573
Selection 1,4195.2303618514725,1716.3560610579361
Selection 1,4286.436276838041,1725.0717040496659
Selection 1,4403.52189589675,1749.409725988836
Selection 1,4493.782245841763,1765.073216459822
Selection 1,4589.366538085969,1785.9989819446828
Selection 1,4670.520685565567,1830.3583158507035
Selection 1,4767.029987089555,1880.8843782886088
Selection 1,4853.939747865578,1908.5524336349963
Selection 1,4957.5613429630075,1981.7720570702359
Selection 1,5084.801508337552,2026.1519467380297
Selection 1,5221.846772077794,2085.4142079294375
Selection 1,5400.743566787758,2140.298091863208
Selection 1,5514.622487009887,2181.1012789825086
Selection 1,5518.199189558381,2181.347948123784
Selection 1,5597.791099143234,2206.035418013094
Selection 1,5687.558110805696,2302.52416377531
Selection 1,5761.414962855896,2386.330004523618
Selection 1,5840.80131482302,2463.537445742809
Selection 1,5919.529882413409,2549.1110820035897
Selection 1,5970.939842607551,2629.0318837768104
Selection 1,6011.455249062032,2747.556406159626
Selection 1,6035.916605571839,2829.0188900658172
Selection 1,6059.370729754772,2913.7291843321345
Selection 1,6073.1019786191,3005.81899707494
Selection 1,6087.737681001439,3095.4421184049916
Selection 1,6089.608255322779,3185.373576161637
Selection 1,6075.527558508309,3273.5989056911285
Selection 1,6067.387476846222,3374.2193595697067
Selection 1,6047.612834020645,3479.4648598471986
Selection 1,6010.139680308563,3570.6296633102206
Selection 1,5949.068512081135,3673.922366219283
Selection 1,5914.9665032998155,3785.1084816491566
Selection 1,5906.209748784539,3882.4400136440636
Selection 1,5984.362755045286,3930.5404961927607
Selection 1,6070.100837400251,3967.520311622294
Selection 1,6147.616615046036,4058.829005417727
Selection 1,6154.461683716427,4192.790904892027
Selection 1,6147.904395710858,4302.209224809427
Selection 1,6146.609382719162,4402.480230737865
Selection 1,6136.269834547369,4489.801106749347
Selection 1,6099.10501726188,4584.275387857814
Selection 1,6050.0795254334,4661.955611597783
Selection 1,5995.216197261403,4740.375842761578
Selection 1,5946.0468151005125,4820.666648246712
Selection 1,5877.945576346737,4891.357912983878
Selection 1,5826.57672767614,4962.110845006365
Selection 1,5735.4941472602095,4980.22047112833
Selection 1,5645.131018506332,4915.922048302551
Selection 1,5554.521220611179,4910.310325338536
Selection 1,5535.013802688652,5017.467511460912
Selection 1,5500.27456529237,5098.169432181504
Selection 1,5445.575683214556,5184.421408580793
Selection 1,5371.492717784853,5233.303010076861
Selection 1,5340.042402272244,5325.906716863991
Selection 1,5342.200757258403,5456.888030881213
Selection 1,5295.292508892537,5542.112219191853
Selection 1,5233.666335097239,5618.9907682226785
Selection 1,5202.0721292522185,5704.173845009773
Selection 1,5082.643153351393,5795.400315758115
Selection 1,4992.711695594748,5839.266311381584
Selection 1,4916.408707893566,5768.9244945945575
Selection 1,4836.508461882118,5738.625301741233
Selection 1,4751.654277283391,5758.811059802268
Selection 1,4672.185702269176,5758.605502184538
Selection 1,4570.3935699695385,5757.166598860431
Selection 1,4494.008359221266,5790.98082697693
Selection 1,4491.3977774761015,5878.137256894229
Selection 1,4491.10999681128,5964.985350384933
Selection 1,4432.978302517385,6078.494266895149
Selection 1,4266.4766321565085,6027.372087365828
Selection 1,4186.124159386056,5986.383898390571
Selection 1,4111.177851961889,5932.877250495588
Selection 1,4020.5269425431898,5897.459672960799
Selection 1,3920.235380852979,5856.656485841499
Selection 1,3853.6347127086287,5792.09083811267
Selection 1,3798.997497916134,5707.8738821289035
Selection 1,3738.3374449241655,5634.715925978983
Selection 1,3687.7908267244875,5566.059681657337
Selection 1,3619.9773686355334,5516.355849690351
