#Selection names:,"Selection 1, Selection 3, Selection 4, Selection 5, Selection 6, Selection 9, Selection 10, Selection 11, Selection 13, Selection 14, Selection 15, Selection 16, Selection 17, Selection 18, Selection 19, Selection 20, Selection 21, Selection 22, Selection 23, Selection 24, Selection 25"
"#Areas (µm^2): 47159.9, 53317.7, 67445.0, 14083.7, 35998.5, 208480.8, 105221.8, 25680.5, 166121.9, 120938.7, 290250.7, 648938.1, 38423.1, 19871.3, 14691.9, 9820.3, 11828.6, 118068.9, 17049.9, 52275.6, 8527.8"
Selection,X,Y
Selection 1,5531.831452468872,7090.835999628216
Selection 1,5535.261873703785,7086.641403256419
Selection 1,5560.58563371437,7071.698153681891
Selection 1,5584.3921992926,7060.207637025108
Selection 1,5620.737930620566,7047.367263557186
Selection 1,5686.741466348591,7032.40170229983
Selection 1,5746.676224347208,7022.924815018336
Selection 1,5793.235128490014,7019.444192497058
Selection 1,5818.385972958676,7037.81228538579
Selection 1,5810.013513977203,7070.956290227837
Selection 1,5789.001486673266,7098.126341992495
Selection 1,5761.49118174547,7136.0785144841275
Selection 1,5727.9232549296785,7172.998771644933
Selection 1,5694.584022862881,7205.925237579399
Selection 1,5664.94853014565,7230.367686118248
Selection 1,5639.9148220118395,7235.594197820874
Selection 1,5612.008484713834,7235.426860199657
Selection 1,5572.031527005496,7231.304776797054
Selection 1,5548.113403013122,7223.31161642367
Selection 1,5513.452203738723,7214.654683486131
Selection 1,5480.760010473959,7184.076522169386
Selection 1,5478.556731794624,7160.861216186115
Selection 1,5480.832523443152,7136.245852105344
Selection 1,5505.325173268367,7112.913409787222
Selection 1,5531.831452468872,7090.835999628216
Selection 3,7222.72419368607,6211.6727130323825
Selection 3,7237.800727439009,6207.390562087796
Selection 3,7262.598633890628,6204.492940316978
Selection 3,7285.097232964381,6204.562166775668
Selection 3,7325.31286071533,6205.912082720092
Selection 3,7361.889154638088,6221.122124643359
Selection 3,7385.960183273479,6233.854848294987
Selection 3,7419.282833637877,6243.996524492848
Selection 3,7439.61563350409,6255.537564105625
Selection 3,7454.721835739323,6273.111195118398
Selection 3,7460.294565663746,6298.809045532967
Selection 3,7454.939404609487,6331.701502904089
Selection 3,7442.404470839826,6354.635239718167
Selection 3,7424.974237491479,6376.545413893068
Selection 3,7373.64281837398,6386.637642620437
Selection 3,7352.311179603833,6386.232173362405
