#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 7, Selection 8, Selection 9, Selection 10"
"#Areas (µm^2): 385237.9, 28608.3, 19463.9, 17767.7, 59888.2, 96163.5, 5636.4, 4671.3, 85416.8"
Selection,X,Y
Selection 1,3993.238854398919,6857.782585139899
Selection 1,4004.9659682746274,6855.389669380215
Selection 1,4014.5705110718973,6853.245178462757
Selection 1,4033.081815124299,6854.479996060884
Selection 1,4049.678786568954,6857.895837641504
Selection 1,4072.5484852798354,6862.69993569339
Selection 1,4086.7525409648056,6880.864175627976
Selection 1,4092.8060698408326,6897.552479735214
Selection 1,4102.158534489372,6914.518435136704
Selection 1,4120.512746362131,6917.199962110153
Selection 1,4139.626845987584,6917.9598498628475
Selection 1,4156.011925655044,6918.548032209885
Selection 1,4194.386257166084,6923.3703967942865
Selection 1,4210.168541260495,6927.016396684617
Selection 1,4241.597937108691,6931.462470699176
Selection 1,4260.357666003321,6938.020155872664
Selection 1,4283.640188349081,6949.769189587392
Selection 1,4297.18664886345,6965.248249242025
Selection 1,4316.176536067789,6992.11831857406
Selection 1,4323.994611984927,7008.342652755375
Selection 1,4335.221222869678,7040.678068616399
Selection 1,4342.283064340626,7058.297965881988
Selection 1,4350.930440834022,7078.182913179644
Selection 1,4359.099234175481,7101.95497859685
Selection 1,4369.357718836847,7130.344823434273
Selection 1,4370.566963289452,7157.963820599491
Selection 1,4370.230859091145,7174.118741957242
Selection 1,4362.416436480509,7194.577258375923
Selection 1,4348.610591204404,7214.513351964626
Selection 1,4329.036174959531,7229.312896609639
Selection 1,4314.463135317725,7237.6716618892715
Selection 1,4298.852556628971,7244.751769892736
Selection 1,4283.402723426363,7248.620621479768
Selection 1,4267.459693845806,7249.968691579498
Selection 1,4250.278193360618,7249.552214638118
Selection 1,4234.0830856313305,7256.95746692038
Selection 1,4209.931076337777,7259.003318562248
Selection 1,4187.24038964556,7262.5068394989485
Selection 1,4171.074508368298,7271.13960276633
Selection 1,4157.283276318206,7276.893560509084
Selection 1,4143.411671525039,7281.3907808146905
Selection 1,4121.323780405872,7289.453628267553
Selection 1,4101.055235925364,7300.285682049943
Selection 1,4086.1168656332247,7309.283775967659
Selection 1,4072.844403106606,7318.406082306488
Selection 1,4058.165417576203,7330.703111996717
Selection 1,4046.131425954214,7342.101428287124
Selection 1,4030.7035125906277,7357.635287539308
Selection 1,4012.3639139438824,7373.976527528728
Selection 1,3989.3736561183905,7398.917651027003
Selection 1,3969.9819051986838,7414.433243746668
Selection 1,3950.6266873440113,7431.165387531948
Selection 1,3934.02240928635,7448.646459150409
Selection 1,3919.5772353721595,7464.702741232569
Selection 1,3912.9464840686055,7488.010836723851
Selection 1,3908.463876989013,7510.116994375537
Selection 1,3907.123113502288,7530.834895555954
Selection 1,3906.5714642202847,7568.5589385094
Selection 1,3907.2473259234016,7591.465170285315
Selection 1,3906.911221725095,7613.337516320786
Selection 1,3905.895602517168,7629.360918644416
Selection 1,3900.7736667994914,7646.330527352412
Selection 1,3884.1986151938568,7658.452198330479
Selection 1,3865.822483482077,7660.136372628517
Selection 1,3847.3148327361782,7659.080567049053
Selection 1,3819.4729838742564,7655.624539096897
Selection 1,3794.7327922336667,7652.486348810532
Selection 1,3772.4951155478616,7650.414924023141
Selection 1,3746.7977576033977,7646.403593482478
Selection 1,3700.028127747693,7641.668908254155
Selection 1,3676.2268358784604,7637.343393354205
Selection 1,3646.2222295665633,7632.272603927575
Selection 1,3616.761965923664,7627.238347565978
Selection 1,3601.2646397365133,7624.542207366517
Selection 1,3587.656073011588,7621.820494021531
Selection 1,3565.2941839046694,7613.695540358113
Selection 1,3542.2052868035876,7599.546284270694
Selection 1,3526.9746519911805,7589.6969699377
Selection 1,3509.939283766126,7577.473006377539
Selection 1,3501.85086316774,7561.135419694621
Selection 1,3496.0165326819133,7539.420165838794
Selection 1,3492.801622958978,7522.757434877078
Selection 1,3489.005837502012,7504.596848248996
Selection 1,3484.6036031654926,7480.751716701723
Selection 1,3482.521218458591,7465.111911560944
Selection 1,3477.2604570937874,7442.030321072867
Selection 1,3473.4317918782913,7416.449868936511
Selection 1,3475.7845212664397,7399.556979665086
Selection 1,3478.564687515478,7384.395757676243
Selection 1,3487.697953773817,7353.317079252365
Selection 1,3492.0490418192903,7338.696546626015
