#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6, Selection 7, Selection 15, Selection 16, Selection 17, Selection 18, Selection 19, Selection 20, Selection 21, Selection 22, Selection 23, Selection 24, Selection 25, Selection 26, Selection 27, Selection 28, Selection 29, Selection 30, Selection 31, Selection 32, Selection 33, Selection 34, Selection 35, Selection 36, Selection 37, Selection 38, Selection 39, Selection 40, Selection 41, Selection 42, Selection 43, Selection 44"
"#Areas (µm^2): 23641.4, 64297.0, 18999.2, 96942.2, 369214.3, 520526.4, 95717.7, 6566.7, 4935500.8, 35403.4, 134061.2, 222567.5, 1389029.0, 300768.2, 34671.9, 80235.3, 19243.9, 59472.7, 48202.8, 7345.0, 7464.7, 4058.3, 4573.7, 20491.7, 238320.0, 5437.4, 63007.9, 233484.2, 825154.7, 367796.8, 109011.1, 11081.4, 18215.9, 11213.4, 10189.3, 15918.2, 2137.3"
Selection,X,Y
Selection 1,7906.795740883588,1933.0239462451852
Selection 1,7928.049925418563,1953.346135374462
Selection 1,7927.833045984532,1969.8289723607688
Selection 1,7923.178930562367,1999.887289596111
Selection 1,7909.087628956719,2027.4720089622415
Selection 1,7880.852271288498,2057.090705723198
Selection 1,7832.488157499728,2055.6077193229366
Selection 1,7810.384040047608,2040.0861857739533
Selection 1,7782.547271609495,2004.7348380270055
Selection 1,7756.97308321289,1986.7514298214614
Selection 1,7743.6906832801105,1951.4704213504156
Selection 1,7747.770361282412,1918.4402697082253
Selection 1,7765.296564194595,1898.153250216899
Selection 1,7789.188471575885,1882.2624354694321
Selection 1,7816.843530217918,1875.4219408879883
Selection 1,7842.769414994033,1878.176895860806
Selection 1,7878.554521609041,1904.020718148369
Selection 1,7906.795740883588,1933.0239462451852
Selection 2,5983.355355043403,1490.5397617176056
Selection 2,6003.661911356281,1500.3960823466302
Selection 2,6017.789081817788,1504.2865596159068
Selection 2,6043.914671027423,1520.9428739625862
Selection 2,6070.260475931546,1559.2136923833423
Selection 2,6083.493437209377,1587.8417326666975
Selection 2,6091.241025733613,1643.0091007372102
Selection 2,6064.11445609449,1678.8308537071525
Selection 2,6039.490337529086,1716.9281688534638
Selection 2,6019.577500185139,1741.9993920107056
Selection 2,5996.221290163754,1782.5257529992407
Selection 2,5967.7133675319365,1803.6731328728897
Selection 2,5934.173849941228,1802.8990413407525
Selection 2,5905.405672397744,1802.2784334744701
