#Selection names:,Selection 1
#Areas (µm^2): 16639250.8
Selection,X,Y
Selection 1,3859.110458375357,321.87600573189724
Selection 1,3963.0800170222587,351.9899323269314
Selection 1,3972.550168434696,386.9544242795552
Selection 1,3993.193943617293,541.3352157499753
Selection 1,3999.3148951399667,707.3515895960415
Selection 1,4002.4619881398307,902.7023348903866
Selection 1,4009.189260332202,1063.925888204549
Selection 1,4070.196668669026,1224.9184622159694
Selection 1,4078.4253063292217,1407.1322596668426
Selection 1,4092.457298970819,1566.4213613205384
Selection 1,4211.902470901459,1640.5945899136761
Selection 1,4350.461180134029,1663.2883064081125
Selection 1,4365.9656658306085,1811.9234877228164
Selection 1,4330.799066988085,1934.9488388459624
Selection 1,4266.731182889926,2051.160300538209
Selection 1,4155.630138270854,2107.779102122928
Selection 1,4043.4896867894413,2057.6277210149947
Selection 1,3921.5326149414777,2005.3109089438515
Selection 1,3890.8701125024318,2160.7599796894556
Selection 1,3938.365231628827,2392.4610927528784
Selection 1,3984.1280059846563,2617.8102749908862
Selection 1,4011.75890507521,2769.0151010485993
Selection 1,4027.176773533263,2917.274940996347
Selection 1,4052.1514106422796,3149.3802678395687
Selection 1,4061.534944816188,3301.3935214568796
Selection 1,4057.6371690824094,3437.5269480106545
Selection 1,4039.938380009777,3593.149253233315
Selection 1,3971.424144333826,3710.659973503487
Selection 1,3988.2567610211754,3887.5612469912867
Selection 1,4105.103415795963,3984.4570644917035
Selection 1,4135.506066519426,4112.881556816452
Selection 1,4151.7323625370755,4281.467575405527
Selection 1,4173.6753962976,4458.1956144162705
Selection 1,4183.08780288435,4678.867465773745
Selection 1,4195.878281773709,4815.116381978891
Selection 1,4104.006264107938,4932.627102249063
Selection 1,3933.428049032709,4927.43006793736
Selection 1,3817.8806528358473,4933.291167744447
Selection 1,3577.488943506743,4929.19128512077
Selection 1,3444.646972017047,4922.608374992614
Selection 1,3268.987212281489,4919.721133708334
Selection 1,3055.93767791451,4906.901782406133
Selection 1,2911.7199757647536,4882.995424572299
Selection 1,2801.0808897511665,4913.542437359976
Selection 1,2636.1327951802837,4916.920509662583
Selection 1,2462.1476353896064,4912.12768913068
Selection 1,2301.4149130937717,4909.153830607872
Selection 1,2089.693509717562,4904.794096268609
Selection 1,1927.1995702383167,4902.888517020984
Selection 1,1795.0216642440057,4911.607985699509
Selection 1,1652.0743482593316,4919.143685451478
Selection 1,1443.2401861674014,4948.0160982942725
Selection 1,1304.306135567876,4950.7012326886515
Selection 1,1118.5699037501813,4953.530729147245
Selection 1,969.6459983070492,4950.7012326886515
Selection 1,734.4801957024915,4935.572088359028
Selection 1,548.8883259490109,4864.517080352912
Selection 1,529.6592989957095,4751.712563376115
Selection 1,514.2414305376575,4604.549875116393
Selection 1,498.9967965566626,4481.120310213449
Selection 1,490.5949244194095,4294.431288771942
Selection 1,550.4185638296785,4175.217096144044
Selection 1,636.3717368626767,4025.6002527926853
Selection 1,612.8695928086428,3913.0555875314735
Selection 1,492.81810020830466,3954.2276482452985
Selection 1,323.97222990364435,3979.8952232625425
Selection 1,314.0112474728806,3829.6143144157986
Selection 1,305.29177879435633,3666.658416331068
Selection 1,300.1236168954963,3517.0127005668664
Selection 1,302.2601754458633,3334.77003070315
Selection 1,298.2469100607145,3207.2117107636855
Selection 1,291.606255106872,3031.4075889639125
Selection 1,280.7213554651385,2901.683838061238
Selection 1,273.12791088748406,2779.1204455435773
Selection 1,274.0518280984531,2626.1255298896112
Selection 1,279.9995451440688,2492.388513601789
Selection 1,284.85011050165843,2313.0042126095086
Selection 1,290.79782754727415,2166.1591208910577
Selection 1,296.34133081309056,2042.1232353184141
Selection 1,300.1813617211822,1909.9453293241027
Selection 1,331.7100365455129,1715.8072253691548
Selection 1,393.69910691899264,1529.1759487533338
Selection 1,459.29722889782033,1418.8255868681745
Selection 1,544.1821226556353,1297.1283667357973
Selection 1,556.0198119211808,1144.7975165772154
Selection 1,445.9293017516072,1087.9188632769108
Selection 1,308.2656373171642,1062.5977572137804
Selection 1,149.3230046175824,986.6344390243893
Selection 1,154.9819975347707,859.9711638830512
Selection 1,282.25159334580695,761.6317257404945
Selection 1,409.3479546797869,725.0792510815172
Selection 1,612.2055273132582,706.1966930823298
Selection 1,844.9171748261793,632.2833162047768
Selection 1,983.1005426917912,592.0929175276075
Selection 1,1145.0747787398668,526.3793058974079
Selection 1,1267.9268953859557,451.2532876804577
Selection 1,1432.3264141128257,424.92164716782946
Selection 1,1759.5374688602114,405.8369822787425
Selection 1,1887.7598542950604,402.8631237559346
Selection 1,2215.83708142773,379.8229383073851
Selection 1,2446.4987876288124,364.23183537227624
Selection 1,2568.8312008437306,361.17135961094
Selection 1,2754.192091294469,358.3129907395033
Selection 1,2987.827656018359,345.3204049602459
Selection 1,3284.1163566111118,328.54553309858267
Selection 1,3652.499472072323,311.53968193417677
Selection 1,3859.110458375357,321.87600573189724
