#Selection names:,Selection 1
#Areas (µm^2): 12024006.1
Selection,X,Y
Selection 1,5669.590595286879,2702.8146561685635
Selection 1,5723.8288373064315,2692.257650745954
Selection 1,5723.8288373064315,2692.257650745954
Selection 1,5723.8288373064315,2691.828285588792
Selection 1,5776.075797483238,2692.144659915122
Selection 1,5874.219633144082,2699.274381340633
Selection 1,5948.104337425254,2684.9245458249447
Selection 1,6020.768740733438,2679.4331914464997
Selection 1,6105.511863857584,2680.0772391822434
Selection 1,6193.1814495002845,2672.6763397627346
Selection 1,6266.896667535208,2661.8970145013436
Selection 1,6322.10495272661,2664.6670116764985
Selection 1,6392.390118940803,2660.1776926072416
Selection 1,6460.77960699589,2659.953079024327
Selection 1,6514.847305168936,2653.920599940331
Selection 1,6647.486973822538,2655.3752402868267
Selection 1,6765.729981399795,2666.86262067018
Selection 1,6814.150252345271,2673.793554085835
Selection 1,6902.669395783478,2676.0610816847834
Selection 1,7058.786531794119,2680.4250027242697
Selection 1,7189.682771208906,2683.5482011152744
Selection 1,7251.761687172578,2688.436220514895
Selection 1,7311.059673062068,2701.324761820241
Selection 1,7360.1003053317845,2702.9505363251474
Selection 1,7474.332356071279,2694.6398337573023
Selection 1,7539.705604584367,2692.350914388552
Selection 1,7632.556581407359,2720.0104727417665
Selection 1,7726.027919554591,2735.00610337255
Selection 1,7813.498866272528,2747.862557023194
Selection 1,7886.840549036639,2769.90677580354
Selection 1,7962.652981212813,2786.98810398996
Selection 1,8050.990294607707,2814.0486927887355
Selection 1,8100.8438141298775,2848.0402150031655
Selection 1,8152.077102804239,2876.1383046373085
Selection 1,8209.813489498225,2913.862690682083
Selection 1,8252.1157142805,2938.5060094932996
Selection 1,8296.813817280534,2964.6360563057137
Selection 1,8359.630749302354,2998.0393048506053
Selection 1,8413.858885748912,3035.1433295711395
Selection 1,8443.058651527826,3078.6969728867966
Selection 1,8477.157132591263,3141.2465077860998
Selection 1,8497.21191678008,3207.4112517818403
Selection 1,8527.770059941384,3256.7299770589757
Selection 1,8570.724733702602,3319.332991382782
Selection 1,8601.379139828014,3377.9143529839253
Selection 1,8623.872585774188,3422.2915794369364
Selection 1,8654.366553626089,3481.9532254130504
Selection 1,8676.100591744314,3529.1113819402435
Selection 1,8692.818259844113,3569.894791066619
Selection 1,8714.456034998231,3637.2467782863373
Selection 1,8746.565081470137,3726.0440147319623
Selection 1,8765.496797744378,3785.4382635855586
Selection 1,8788.182769618767,3858.0954097160247
Selection 1,8814.098898733168,3931.5333554442423
Selection 1,8830.46360263124,3985.6224453870914
Selection 1,8841.42688465446,4029.5397487893724
Selection 1,8868.87252530966,4096.28207056975
Selection 1,8876.252685891144,4155.216396372617
