#Selection names:,Selection 1
#Areas (µm^2): 57957072.3
Selection,X,Y
Selection 1,402.60775011060025,626.101547721905
Selection 1,524.8908715675943,574.6014496886805
Selection 1,573.6193451896473,573.890776762739
Selection 1,688.0613753637541,553.2575728129053
Selection 1,854.0508817661481,575.5490135899358
Selection 1,963.8024706290413,544.3030939460428
Selection 1,1134.5297965377115,533.950958324829
Selection 1,1234.7346790954573,529.2131388185526
Selection 1,1360.0973832315317,526.1335561394728
Selection 1,1615.46585461983,506.23471421311194
Selection 1,1899.5455122161636,480.9821362446587
Selection 1,2082.733303426341,462.2440600973354
Selection 1,2225.3653596627923,435.6885817646562
Selection 1,2367.0498519979883,413.8946120357847
Selection 1,2523.445273900172,427.20788484842143
Selection 1,2702.7006749201414,424.27043675453007
Selection 1,2814.323702488013,424.6257732175008
Selection 1,3078.2439380851397,461.6281435615195
Selection 1,3285.8078106551106,466.93450140854907
Selection 1,3460.79917411943,468.97176379624796
Selection 1,3560.3644510438276,441.3028978795937
Selection 1,3736.777160360031,441.2792087820623
Selection 1,3847.997473269869,436.9441039338194
Selection 1,3948.391868607866,428.06069235955124
Selection 1,4050.2076097977465,421.0724085877935
Selection 1,4149.701819429551,412.2126861110566
Selection 1,4262.580369166586,411.52570228264653
Selection 1,4371.976621566508,413.2076282073746
Selection 1,4478.293291287352,423.5597638285886
Selection 1,4649.210129976273,409.22785982210246
Selection 1,4834.411494476619,393.948391914361
Selection 1,4933.123963889887,404.9164440713909
Selection 1,5066.8962976496005,411.7152150628975
Selection 1,5248.354784739988,409.1567925295083
Selection 1,5360.214703283174,426.2840100446976
Selection 1,5464.896825274352,422.8017127075844
Selection 1,5575.264330673061,400.7234738083363
Selection 1,5673.834665501141,381.93801946595033
Selection 1,5827.126815626714,382.6250032943604
Selection 1,5949.26780249852,396.48312535021887
Selection 1,6106.61078830196,392.5744242575409
Selection 1,6208.687109564685,394.4932411575828
Selection 1,6330.022667120424,389.9923126266202
Selection 1,6438.139708253652,385.1360476326869
Selection 1,6577.265778055458,388.3103867018921
Selection 1,6807.239536890116,397.6202020317252
Selection 1,6924.832217035895,403.3292745367883
Selection 1,7046.570489249669,406.0298316553659
Selection 1,7297.722301277381,412.8049135493411
Selection 1,7550.366526449571,415.10275600988524
Selection 1,7692.78538080824,414.27363759628685
Selection 1,7796.117224240128,413.3734518900943
Selection 1,7990.888984143152,417.30584208030376
Selection 1,8147.995078971277,421.99628339151735
Selection 1,8325.307973993671,421.9252160989233
Selection 1,8434.419957223217,410.76765116164233
Selection 1,8707.886899125491,419.2246589803457
Selection 1,8819.79419586374,425.99974087432093
Selection 1,8941.342955297261,420.10115558900685
Selection 1,9044.295773168647,413.46820828021987
Selection 1,9300.138026507575,435.8307163498444
Selection 1,9431.565139611681,470.89058069628993
Selection 1,9568.156475977632,532.2690324001007
Selection 1,9674.473145698474,601.725466362113
Selection 1,9797.253738203628,643.7262362852534
Selection 1,9974.37712044577,705.4126462569723
Selection 1,10122.31553452925,759.4711668235861
Selection 1,10227.945220421685,794.4599638774374
Selection 1,10358.945929770227,824.8293869126692
Selection 1,10518.112976083585,884.0521307411243
Selection 1,10532.563325577727,980.1114212308786
Selection 1,10529.625877483835,1084.438206759085
Selection 1,10494.305433064545,1229.9366437968336
Selection 1,10473.980187382618,1322.8215952173828
Selection 1,10446.714036123996,1445.4126749422849
Selection 1,10437.427909891696,1572.5994395882751
Selection 1,10430.107978754497,1689.955228758742
Selection 1,10422.740669422239,1802.3126183500874
Selection 1,10415.112780017134,1924.761563489801
Selection 1,10407.31906692931,2097.573529981233
Selection 1,10481.086916642033,2171.8151616445844
Selection 1,10637.079623886182,2302.3420890424995
Selection 1,10653.401412085304,2454.994633534726
Selection 1,10736.005295177234,2782.401650515957
Selection 1,10769.643813671797,2913.4023598644994
Selection 1,10823.583888750754,3005.2213018961365
Selection 1,10881.693244995235,3091.1416586424593
Selection 1,10905.713989892056,3202.788375307863
Selection 1,10973.962279879966,3323.2237471574094
Selection 1,11026.007227156415,3416.8430606014313
Selection 1,11053.415513000224,3528.0870626088017
Selection 1,11079.520898479805,3642.481714587845
Selection 1,11127.70452285864,3821.2633336571857
Selection 1,11154.544270361694,3922.1315109458105
Selection 1,11186.429795638933,4040.0084602619672
Selection 1,11249.44279507241,4185.885922860219
Selection 1,11292.012103336303,4293.552871140349
Selection 1,11321.220760592498,4396.387243524079
Selection 1,11344.388697978187,4521.915771342873
Selection 1,11362.77143766254,4692.998433714513
Selection 1,11354.053849770993,4900.254348016575
Selection 1,11359.265451227897,5065.319979615246
Selection 1,11390.17972350635,5299.036615859861
Selection 1,11389.611185165597,5476.349510882255
Selection 1,11372.555034943001,5657.073635949169
Selection 1,11367.01178612066,5859.378528867172
Selection 1,11347.965751705427,5980.240304472283
Selection 1,11356.991297864883,6103.163031562624
Selection 1,11330.933290580366,6219.855526002213
Selection 1,11243.188873324127,6251.243580231294
Selection 1,11086.035400300936,6276.827805565186
Selection 1,10936.983598633482,6351.235260911258
Selection 1,10847.770457330298,6321.079039753808
Selection 1,10754.151143886274,6338.987997487533
Selection 1,10635.397697961454,6338.06412268381
Selection 1,10540.593929640865,6303.075325629959
Selection 1,10457.56364279337,6236.840608932213
Selection 1,10365.29460790864,6227.625549992506
Selection 1,10257.36707955566,6264.319962068617
Selection 1,10139.916533995069,6319.5392484142685
Selection 1,10034.097335322385,6358.697326633643
Selection 1,9941.544031267274,6300.256323023724
Selection 1,9854.794556107354,6254.44160839803
Selection 1,9751.794360040903,6284.266182190041
Selection 1,9633.680519749434,6294.973654274226
Selection 1,9538.545104063405,6293.836577592719
Selection 1,9406.786343593856,6257.473812882047
Selection 1,9484.297070716539,6186.311763897776
Selection 1,9568.867148903573,6117.044842716015
Selection 1,9606.982906831567,6023.1649491991475
Selection 1,9590.28209307194,5910.120575779392
Selection 1,9524.497469227294,5813.090032290852
Selection 1,9544.917471299346,5706.252202424318
Selection 1,9476.574424921308,5639.7332165561975
Selection 1,9381.34425284515,5636.701012072181
Selection 1,9308.784547106528,5703.930670866243
Selection 1,9250.769947252174,5787.624252444616
Selection 1,9148.764693282044,5858.407275868385
Selection 1,9058.698744467729,5912.513174630062
Selection 1,8967.922122727472,5965.837333173203
Selection 1,8864.282321027677,5966.832275269521
Selection 1,8763.603656519303,6028.968778094336
Selection 1,8691.73093460909,6100.84150000455
Selection 1,8634.119049412768,6205.452554703133
Selection 1,8588.091132909292,6294.38142683594
Selection 1,8489.899823641714,6382.6470042378705
Selection 1,8404.31111426083,6463.1188685519755
Selection 1,8298.18395732024,6476.692721437456
Selection 1,8202.71689426877,6479.65385862888
Selection 1,8062.809084248427,6467.572418887875
Selection 1,7958.032205867125,6464.113810648293
Selection 1,7813.007550780003,6481.856944699299
Selection 1,7695.01215597619,6510.331239932019
Selection 1,7573.842422103171,6525.160614986665
Selection 1,7468.970787331742,6553.942868487294
Selection 1,7372.840429549393,6582.203961842233
Selection 1,7261.217401981521,6614.278999899724
Selection 1,7168.356139658504,6618.732550235624
Selection 1,7035.0812769469485,6599.402246650016
Selection 1,6930.0438184928,6596.014705703028
Selection 1,6814.606846222376,6601.036794379681
Selection 1,6707.697949063248,6605.537722910643
Selection 1,6613.510097278473,6610.299231514452
Selection 1,6518.137790617129,6609.470113100853
Selection 1,6423.2155768088805,6610.157096929264
Selection 1,6307.778604538456,6622.712318620896
Selection 1,6211.387666683262,6625.886657690101
Selection 1,6109.098143542756,6639.460510575584
Selection 1,5996.9302667316615,6636.902088042194
Selection 1,5890.447773328098,6630.245451635876
Selection 1,5784.652263752947,6623.30454605918
Selection 1,5684.9448522433595,6624.654824618469
Selection 1,5569.128854412433,6629.037307661775
Selection 1,5478.020585306736,6635.101716629809
Selection 1,5343.7270914013325,6644.743179325082
Selection 1,5220.449027848021,6619.016819406001
Selection 1,5102.501011239268,6621.338350964076
Selection 1,5032.333904351315,6558.656998896039
Selection 1,4986.921904383656,6476.218939486829
Selection 1,4939.212061955452,6381.43886026377
Selection 1,4866.8418689970795,6308.263237989331
Selection 1,4764.102253003475,6286.042864504894
Selection 1,4612.871054363132,6276.733049175062
Selection 1,4487.816308494967,6263.2539526797045
Selection 1,4373.563791101112,6288.648665233346
Selection 1,4265.3283044802265,6303.45435119046
Selection 1,4158.348340028505,6316.625489417909
Selection 1,4046.84375794829,6366.112014160965
Selection 1,3928.682539461757,6439.524527410719
Selection 1,3834.2104185066055,6466.4116531088375
Selection 1,3759.89771955066,6530.277460053444
Selection 1,3683.524069109483,6611.436308195958
Selection 1,3585.1432470616537,6646.590928932529
Selection 1,3483.5643968470868,6668.977126099685
Selection 1,3374.570859105199,6660.66225286617
Selection 1,3286.779063653897,6609.327978515666
Selection 1,3188.919401751757,6563.750154865286
Selection 1,3097.2425943053095,6516.443027095116
Selection 1,3012.5540706306188,6470.036085031139
Selection 1,2885.3673059846274,6429.835686520383
Selection 1,2744.1802846975907,6380.041203509419
Selection 1,2644.709764163318,6344.957650065441
Selection 1,2558.4340709540234,6298.47964070887
Selection 1,2466.567750727324,6270.076412768743
Selection 1,2339.3809860813344,6226.630607896188
Selection 1,2254.431882333798,6166.104963703507
Selection 1,2151.2895516821604,6149.948999187104
Selection 1,2055.9409341183477,6187.827866139784
Selection 1,1987.384685862528,6260.482328268534
Selection 1,1931.7153066637807,6349.671780474187
Selection 1,1880.7600578737777,6470.201908713858
Selection 1,1857.4736750004295,6575.97372919148
Selection 1,1748.551204551134,6620.911947208511
Selection 1,1621.009103442173,6624.607446423407
Selection 1,1516.6349397189044,6635.409674897716
Selection 1,1419.6043962303631,6636.262482408846
Selection 1,1304.0726675698131,6662.225733303241
Selection 1,1184.0400103782997,6675.0415350677185
Selection 1,1063.6520167238168,6682.006129741946
Selection 1,956.6720522720951,6679.518774501151
Selection 1,859.8547106613366,6673.217474557803
Selection 1,766.1643299247203,6629.605846002528
Selection 1,704.8569455135038,6547.475744861227
Selection 1,680.5756205438373,6456.841257706159
Selection 1,667.9256424620788,6359.265864974396
Selection 1,659.3265000581871,6252.71230427824
Selection 1,653.072578309903,6088.712682068482
Selection 1,648.1452460233749,5994.122115625673
Selection 1,644.1417885405715,5869.920177268637
Selection 1,648.2400024135009,5756.33095460566
Selection 1,649.9929956308226,5644.92112891557
Selection 1,658.2604906692756,5550.520075253013
Selection 1,678.798938228984,5423.759714362587
Selection 1,702.0853211023322,5301.666105685844
Selection 1,730.2042798720826,5210.723660262868
Selection 1,828.0402526766908,5089.482859097255
Selection 1,879.2797706370701,4950.451545685574
Selection 1,963.9919834092924,4845.8404909869905
Selection 1,992.2767658617622,4756.01143314799
Selection 1,992.3241440568248,4651.826782204972
Selection 1,960.4859969746474,4560.363176636306
Selection 1,919.1248326848543,4443.19690024609
Selection 1,896.6912573226356,4343.228908663658
Selection 1,872.9310924986592,4228.5973657093
Selection 1,888.4948295767778,4136.683667287538
Selection 1,904.3191467277409,4027.832264130837
Selection 1,953.1660658374508,3945.962743062381
Selection 1,973.538689714439,3853.362060812208
Selection 1,1031.4822222761995,3767.678595041199
Selection 1,1130.6921627376275,3697.9378919088103
Selection 1,1175.3934897793454,3599.106977007885
Selection 1,1257.665725505835,3536.093977574408
Selection 1,1248.379599273534,3444.298724640303
Selection 1,1252.1461657810237,3341.677554134356
Selection 1,1271.381712976506,3241.401604284016
Selection 1,1301.7274469142062,3142.523311188027
Selection 1,1332.6890973877225,3006.713715040614
Selection 1,1354.3172434338742,2894.2378799616117
Selection 1,1412.4739778734167,2790.4559436766267
Selection 1,1449.9027519730007,2688.545446096621
Selection 1,1495.5753320135052,2591.8465499735194
Selection 1,1570.6697711879867,2483.0899032069447
Selection 1,1664.5496647048535,2394.7295694148897
Selection 1,1770.9847799133536,2319.113970094718
Selection 1,1852.0962498608058,2253.4004135426644
Selection 1,1991.814547100897,2148.031307723077
Selection 1,2130.9406169027034,2074.1687016202277
Selection 1,2232.093063361705,2016.154101765873
Selection 1,2367.9263486066493,1925.7091273910564
Selection 1,2495.610584300798,1875.3224169418068
Selection 1,2630.1172800839868,1840.3573089854867
Selection 1,2750.6237192261265,1781.0161196693746
Selection 1,2775.213002463701,1651.6262689529656
Selection 1,2708.50450381533,1583.259533477397
Selection 1,2605.243727676035,1490.0903128864716
Selection 1,2521.313255122349,1402.2274501425754
Selection 1,2466.7572635075758,1316.9703881271314
Selection 1,2397.182384057906,1248.4141398713118
Selection 1,2326.3519824390746,1187.414713728003
Selection 1,2230.7427848024163,1132.5270747477907
Selection 1,2139.587137501658,1065.0368358808832
Selection 1,2059.0678949924904,1004.0847879326373
Selection 1,1977.9801141425692,955.3089361155216
Selection 1,1864.0118659190907,934.8652449459388
Selection 1,1746.7982113338123,933.3965208989931
Selection 1,1646.0011013377814,932.6858479730516
Selection 1,1539.7554989095331,940.7875193287844
Selection 1,1436.7079246480207,1016.5452532341442
Selection 1,1342.9464766188107,1071.1249339464484
Selection 1,1220.4027750889713,1085.6937289282484
Selection 1,1115.8390985854508,1111.3727106522665
Selection 1,1028.7105978650281,1164.3178436349053
Selection 1,938.0050434173661,1237.6829786895955
Selection 1,854.0271926686164,1359.6344527811505
Selection 1,774.0291103051393,1431.459796496301
Selection 1,679.2964092771422,1482.6993144566802
Selection 1,595.8397186740833,1563.1238005757223
Selection 1,502.45729620537566,1547.2521052296963
Selection 1,478.22334943077186,1462.3030014821604
Selection 1,460.2670135019839,1363.40101928864
Selection 1,443.13979598679464,1245.334557192232
Selection 1,430.9162216606017,1137.9281889849458
Selection 1,417.6977052380907,1035.7808004296264
Selection 1,411.56222897746255,906.9357989564393
Selection 1,410.33039590583076,746.939634229485
Selection 1,402.60775011060025,626.101547721905
