#Selection name: Selection 1
#Area (µm^2): 36421974.8
Selection,X,Y
Selection 1,3679.90416297884,2237.564658544709
Selection 1,3884.693746953604,2281.5485606929337
Selection 1,4087.541880148613,2342.1017410476816
Selection 1,4262.305923615797,2373.2319001023607
Selection 1,4251.594471037843,2212.225378539986
Selection 1,4298.4905493557,2057.0432093168733
Selection 1,4407.111373154017,1931.9200538906452
Selection 1,4280.548866287626,1787.5497571134058
Selection 1,4256.347678119311,1658.2089672346078
Selection 1,4340.466054145558,1512.9014183567972
Selection 1,4347.294605164004,1344.4303532791605
Selection 1,4484.468144740431,1202.8718128036337
Selection 1,4643.064589472766,1336.731496738756
Selection 1,4766.815340037443,1258.370526473159
Selection 1,4764.271370050179,1097.2635850428658
Selection 1,4772.807058823236,888.5576262192884
Selection 1,4755.903047723654,736.5888927695627
Selection 1,4727.818957995828,594.7290926902809
Selection 1,4671.985511433241,464.6184171574428
Selection 1,4669.876694206958,278.8081882192424
Selection 1,4807.251073519221,322.3904108957938
Selection 1,4872.256201351679,484.9032304769437
Selection 1,5008.057336066555,893.7125127724291
Selection 1,5007.287450412516,706.4294591047601
Selection 1,5027.170584260345,497.8573934384072
Selection 1,5078.0834572949325,300.1976200858449
Selection 1,5218.503905934052,173.80247966598472
Selection 1,5360.966225220844,131.6261351402897
Selection 1,5536.600574209986,86.00204181606583
Selection 1,5670.728044459558,55.13966907583525
Selection 1,5842.747278203641,27.959358159276174
Selection 1,6047.570335467711,29.130923284989944
Selection 1,6258.920684146472,36.22726061788478
Selection 1,6467.62664297005,53.76726421428477
Selection 1,6676.064815479177,74.52070358407119
Selection 1,6815.112859256747,133.43369276281953
Selection 1,6999.784996358538,220.16298535494303
Selection 1,7167.51964907144,283.963074772383
Selection 1,7228.541455476472,450.7270020954084
Selection 1,7233.39508242586,629.6082601472446
Selection 1,7277.713717467144,799.55214995435
Selection 1,7340.442661626789,927.821794575352
Selection 1,7342.886211746135,1101.4812194954357
Selection 1,7323.070024476919,1275.0736978369066
Selection 1,7249.730047607238,1431.9964781039364
Selection 1,7150.0131187643465,1577.7726530320328
Selection 1,7093.978832465924,1744.4361604871397
Selection 1,7068.070506542997,1934.698336903052
Selection 1,7087.384594472621,2215.6731273385158
Selection 1,7171.40255063095,2065.779737825768
Selection 1,7220.273553017866,1916.723180545673
Selection 1,7342.451058985156,1712.670008935644
Selection 1,7477.047155285014,1564.918909938487
Selection 1,7527.223615954866,1714.5779864260924
Selection 1,7686.288686737486,1795.3490335217284
Selection 1,7907.145449579181,1781.022465698715
Selection 1,8053.825403318543,1694.527486131734
Selection 1,8202.781540730719,1660.953776957709
Selection 1,8186.346155681422,1810.345067130864
Selection 1,8064.905062078864,1932.2213134944
Selection 1,7940.886525199736,2056.306796952139
Selection 1,7833.437266527134,2197.8653374276664
Selection 1,7727.527779162612,2315.155743156265
Selection 1,7572.5464496753375,2433.1156146709864
Selection 1,7483.4740268317855,2596.6995795099315
Selection 1,7622.689437055883,2613.201911137842
Selection 1,7759.628663607167,2534.7070477150214
Selection 1,7916.384077427668,2406.504349672632
Selection 1,8030.795780275943,2260.962487769678
Selection 1,8137.742939608954,2123.72200161464
Selection 1,8282.749228883009,2010.7831234958333
Selection 1,8462.96941850709,1886.8650064846256
Selection 1,8639.340179860967,1817.3744578851472
Selection 1,8770.823260255356,1722.946308752619
Selection 1,8872.113433695635,1832.370491494283
Selection 1,9009.82254590096,1884.4884029438915
Selection 1,9172.870938111007,1901.3589407541697
Selection 1,9294.412451581482,1995.4188837043305
Selection 1,9320.789403554694,2142.667883361896
Selection 1,9330.898336925138,2304.3773439996985
Selection 1,9366.011817407249,2455.5427185060776
Selection 1,9341.911049106848,2610.4236281254352
Selection 1,9335.584597427996,2797.9075215289413
Selection 1,9363.032694659005,3009.7599695472927
Selection 1,9398.949534084457,3158.4148473557143
Selection 1,9436.004465346316,3295.85617324659
Selection 1,9486.214399305476,3567.324549519117
Selection 1,9488.021956928003,3736.766339986632
Selection 1,9463.753822181076,3897.873281416925
Selection 1,9445.979505559531,4060.218734551544
Selection 1,9368.823573708958,4203.886092253355
Selection 1,9257.424466898236,4352.641389929695
Selection 1,9173.473457318518,4474.685002739762
Selection 1,9136.686312371106,4618.285413862961
Selection 1,9244.805036829834,4739.224408125925
Selection 1,9251.031068640768,4888.816538034918
Selection 1,9248.286258917668,5044.199546993867
Selection 1,9278.177906268022,5181.741292752661
Selection 1,9313.224440171514,5369.492972470615
Selection 1,9328.655626541631,5519.687621587117
Selection 1,9323.40032012057,5667.338300716357
Selection 1,9363.166587816226,5827.173257153017
Selection 1,9450.397979747942,5944.530609460227
Selection 1,9544.625289144631,6068.649566207273
Selection 1,9704.05856610962,6135.930877712549
Selection 1,9928.028344856782,6062.724794000092
Selection 1,10102.055975959234,6010.506462682565
Selection 1,10238.56004974954,6061.787541899521
Selection 1,10226.677032045867,6225.304560159854
Selection 1,10196.618018248986,6367.365199974972
Selection 1,10173.822708231528,6520.3716053931885
Selection 1,10165.454385905,6685.830074433276
Selection 1,10163.111255653572,6831.472356204146
Selection 1,10156.349651213735,7070.505115139057
