#Selection name: Selection 1
#Area (µm^2): 39599298.5
Selection,X,Y
Selection 1,975.2550952148428,1280.6254104003908
Selection 1,1162.8068730468744,1144.8962192382817
Selection 1,1393.7976518554676,1087.5906967773442
Selection 1,1579.7929833984365,1062.3338183593753
Selection 1,1787.083330078124,1018.8240698242188
Selection 1,2005.9762763671877,940.789512695313
Selection 1,2179.4846638183585,879.9112385253911
Selection 1,2368.203776367187,823.0302014160161
Selection 1,2527.208914306639,791.0876787109374
Selection 1,2772.8090639648426,724.1958620605469
Selection 1,3034.009050292968,630.3845993652349
Selection 1,3201.2916525878904,563.4220351562502
Selection 1,3384.5985769042964,557.5853615722662
Selection 1,3619.763461669921,551.2180812988286
Selection 1,3735.400346191406,454.18780468750015
Selection 1,3884.500825927734,431.2302219238285
Selection 1,4057.6908493652327,525.6782126464846
Selection 1,4201.980495117186,615.4568645019534
Selection 1,4381.396303710938,656.4197009277345
Selection 1,4537.253175292967,710.329340576172
Selection 1,4692.685561523438,727.8747351074219
Selection 1,4849.108413574217,763.1423930664065
Selection 1,4966.124875488281,861.5876208496096
Selection 1,5119.859320312499,922.0767834472662
Selection 1,5282.40183618164,844.0068525390625
Selection 1,5459.765965576171,915.4972604980468
Selection 1,5643.3912539062485,937.6412463378908
Selection 1,5865.963073242185,921.0155700683596
Selection 1,6009.085384277343,880.4418452148439
Selection 1,6168.267391113281,811.5337231445318
Selection 1,6312.344794189453,849.5959096679687
Selection 1,6506.794458984376,948.1118850097658
Selection 1,6651.331721191404,1039.1639929199218
Selection 1,6838.706630126952,1132.727639160156
Selection 1,7041.504506835938,1182.6046679687502
Selection 1,7202.41982885742,1201.2112758789067
Selection 1,7370.233037841794,1152.466208007813
Selection 1,7577.594132080077,1104.0748779296878
Selection 1,7752.128359130859,1108.6380954589847
Selection 1,7952.237828613281,1166.6864672851564
Selection 1,8186.058509765623,1166.7218410644534
Selection 1,8404.137859130858,1177.1924797363286
Selection 1,8607.254099853513,1263.8936127929685
Selection 1,8812.598888671871,1388.1263256835944
Selection 1,8987.345358398436,1540.0213339843751
Selection 1,9091.733381103511,1672.460763671875
Selection 1,9161.17210986328,1808.0838334960936
Selection 1,9246.210675292969,1947.8102617187496
Selection 1,9429.977458740232,2070.4157807617185
Selection 1,9543.456542724609,2174.1670754394527
Selection 1,9694.679449218747,2369.359589599609
Selection 1,9758.812111083984,2605.47956640625
Selection 1,9849.687350097654,2816.802523925781
Selection 1,9906.957498779297,3046.555220458984
Selection 1,9907.629600585937,3233.1165324707035
Selection 1,10007.31291064453,3369.482451660156
Selection 1,10049.796819580077,3516.6373735351567
Selection 1,10058.392647949217,3722.4420214843753
Selection 1,10003.881654052731,3907.376139648437
Selection 1,9913.749264404294,4027.717736816406
Selection 1,9891.95901635742,4210.95391357422
Selection 1,9748.306098632813,4351.140200927734
Selection 1,9847.529549560544,4501.125025146484
Selection 1,10041.342486328123,4599.4287578125
Selection 1,10133.52655517578,4791.013146484375
Selection 1,10260.447675292968,4936.399379394532
Selection 1,10411.316843994138,5044.183284912109
Selection 1,10588.857842285151,5147.969953369141
Selection 1,10609.374634277345,5320.5939963378905
Selection 1,10580.545004150388,5468.774757812501
Selection 1,10457.37350463867,5547.6229118652345
Selection 1,10213.825034179688,5627.886017089844
Selection 1,10048.73560620117,5643.344358642577
Selection 1,9781.2390871582,5644.865431152343
Selection 1,9533.976369873044,5643.521227539063
Selection 1,9237.862463378904,5618.653460693359
Selection 1,9038.920328613278,5612.356927978515
Selection 1,8788.721587646482,5593.502703613281
Selection 1,8580.617644042968,5575.462076171875
Selection 1,8402.263048828123,5572.985911621094
Selection 1,8264.588299804685,5580.27291015625
Selection 1,8125.215609374997,5585.472855712891
Selection 1,7914.635501220701,5570.686615966797
Selection 1,7781.948455078124,5528.591818603516
Selection 1,7656.265417236325,5448.010349365234
Selection 1,7775.015194335935,5349.741990478515
Selection 1,7904.801590576171,5221.54741430664
Selection 1,8007.562419433592,5115.850561767578
Selection 1,8178.27627832031,4960.170559082031
Selection 1,8268.090303955076,4802.368129638671
Selection 1,8127.904016601562,4774.352096435547
Selection 1,7956.235065673825,4781.285357177735
Selection 1,7762.103764892578,4814.324467041016
Selection 1,7607.343480468749,4848.601659179687
Selection 1,7412.681572998044,4862.9987873535165
Selection 1,7229.02091088867,4864.908971435547
