#Selection names:,Selection 1
#Areas (µm^2): 40328909.3
Selection,X,Y
Selection 1,2405.8806533795105,2622.2608994218594
Selection 1,2507.3802643328922,2606.808838266361
Selection 1,2579.562614197921,2598.636502969743
Selection 1,2694.5307097784953,2534.309116156803
Selection 1,2779.110412945432,2492.911874011072
Selection 1,2862.7776709093496,2450.503007835905
Selection 1,2991.8886671367395,2390.063431018443
Selection 1,3117.1713606645017,2324.9029420636143
Selection 1,3222.3604239605306,2260.7144056076554
Selection 1,3374.104028375885,2199.8384419539666
Selection 1,3457.9696439926315,2162.3885170995627
Selection 1,3569.8830317196157,2144.5958356406645
Selection 1,3643.0968413793626,2092.9038313130286
Selection 1,3708.3961806911734,2040.6564255574676
Selection 1,3819.4963020415516,1955.441977901473
Selection 1,3843.021519667253,1867.1926581571706
Selection 1,3828.700097132889,1783.0890133570267
Selection 1,3883.526152375247,1712.8704042550198
Selection 1,3949.95613030819,1652.2324697847275
Selection 1,4001.548955809411,1574.1588976306316
Selection 1,4061.155430484984,1515.5640469844934
Selection 1,4110.149770734125,1445.5437955353173
Selection 1,4198.518105070126,1381.7123028544531
Selection 1,4293.8884645510425,1387.365495960123
Selection 1,4375.512638690805,1421.4433407164079
Selection 1,4480.503344334004,1421.4631764816909
Selection 1,4582.002955287386,1409.740239199407
Selection 1,4671.620942836218,1387.365495960123
Selection 1,4754.712963606926,1369.691829092923
Selection 1,4847.84188161086,1390.8169191193742
Selection 1,4932.342241716663,1428.0883220862306
Selection 1,5000.616945820932,1372.5680150589658
Selection 1,4998.117639395266,1370.8819750099062
Selection 1,5082.8163571539035,1416.900950466589
Selection 1,5157.021955077803,1365.0700957819718
Selection 1,5215.5969699586585,1302.5477636097894
Selection 1,5312.871562906749,1223.859282731919
Selection 1,5398.621576225386,1202.5755065832032
Selection 1,5499.367428098011,1184.6638105326065
Selection 1,5605.964830729137,1153.0654364367035
Selection 1,5774.925879410181,1094.5102573211316
Selection 1,5865.614998284299,1069.0808062282576
Selection 1,5944.918387885944,1033.6739651980085
Selection 1,6023.626704529097,984.1837308167917
Selection 1,6115.525805085481,905.5349214694874
Selection 1,6158.4900726885735,819.9237585078314
Selection 1,6245.569082281176,752.6805141982823
Selection 1,6355.47905771457,731.9521394774921
Selection 1,6447.834380872465,738.9541646224097
Selection 1,6552.448206975286,751.3911894548839
Selection 1,6662.814405010191,766.1886703560413
Selection 1,6744.8352944556145,777.2371916187018
Selection 1,6890.667840816619,795.3670810874121
Selection 1,7020.076373523256,796.9341065447733
Selection 1,7116.259999380778,808.1016423991318
Selection 1,7219.683679566616,810.0257116315881
Selection 1,7332.31115484379,819.3286855493398
Selection 1,7469.693665194214,811.8506020376288
Selection 1,7649.643727842069,824.0099261561404
Selection 1,7788.097369517777,849.8757640852413
Selection 1,7880.393185379823,886.3537364407753
Selection 1,7935.001047204067,981.8034389828255
Selection 1,7958.109713758822,1072.0164994901495
Selection 1,8000.895459474368,1163.1023336699282
Selection 1,8028.248979799699,1277.1381482821987
Selection 1,8124.749977901749,1308.8555369698001
Selection 1,8259.553838765378,1283.247563989379
Selection 1,8388.208612391256,1248.4357959176214
Selection 1,8490.50165395596,1210.073425860197
Selection 1,8619.374620999954,1176.3129533484414
Selection 1,8751.818025794899,1137.3158388019594
Selection 1,8818.962091278032,1084.6717177407372
Selection 1,8862.521431839616,994.2404638152996
Selection 1,8912.110845047247,893.8119841872032
Selection 1,8962.711882284315,824.3074626353861
Selection 1,9066.512442010531,799.3342341440226
Selection 1,9197.210299460567,804.8882484232774
Selection 1,9292.739345063748,817.7814958572618
Selection 1,9409.552166815647,853.9024244377008
Selection 1,9564.945552043082,922.296143133667
Selection 1,9647.700364803977,967.0456296122342
Selection 1,9746.482475913583,1052.4782706863427
Selection 1,9735.473626181487,1149.6338490427354
Selection 1,9639.805730221324,1261.4282221780209
Selection 1,9633.299599208482,1353.862888397047
Selection 1,9676.085344924028,1432.412518917936
Selection 1,9722.342349564105,1511.3191932139202
Selection 1,9814.796851548415,1517.4286089211005
Selection 1,9913.12274005651,1489.2419864538824
Selection 1,10012.48008835932,1528.2391010003644
Selection 1,10020.037514932163,1612.303074269942
Selection 1,9998.694231487598,1729.5721186233504
Selection 1,9913.559126892736,1704.301353652741
Selection 1,9793.532911164984,1702.0202406451901
Selection 1,9707.782897846346,1728.65967342033
