#Selection names:,Selection 1
#Areas (µm^2): 67203138.9
Selection,X,Y
Selection 1,3189.808192273138,3328.5366084908937
Selection 1,3175.3117362526227,3506.7969157396165
Selection 1,3199.3871225764447,3556.4331909476655
Selection 1,3370.6297108329045,3741.0965264739993
Selection 1,3523.43157764984,3589.472816860144
Selection 1,3600.1142443025233,3344.0063248096053
Selection 1,3793.793043643736,3262.09878708239
Selection 1,3972.053350892457,3141.8243039157237
Selection 1,4216.085564608812,3117.697693365681
Selection 1,4464.062043744175,3149.405489396416
Selection 1,4641.092969563595,3011.356199731099
Selection 1,4563.488266838936,2801.388096451641
Selection 1,4540.488589265753,2565.5005347044103
Selection 1,4753.171576534919,2518.4766950336266
Selection 1,5005.399666446617,2459.3639379747106
Selection 1,5372.318798866902,2555.9216044011023
Selection 1,5592.275626259434,2561.50504505918
Selection 1,5800.2972089424975,2508.8465405040974
Selection 1,5986.753392386564,2400.046284010912
Selection 1,6169.777552673828,2220.146801523121
Selection 1,6353.67252480685,2397.536296926088
Selection 1,6544.43154325347,2544.3961535014
Selection 1,6702.560729597381,2738.0749528426127
Selection 1,6971.334244578427,2699.861680081823
Selection 1,7158.917360999352,2563.349117203132
Selection 1,7201.279796084036,2353.2785654712334
Selection 1,7217.876445379606,2129.4286968859124
Selection 1,7218.8497056778015,1920.1777327735479
Selection 1,7150.2092425418,1734.5923611752373
Selection 1,6983.525610419,1610.5272852682244
Selection 1,6993.053316496089,1391.2875970427847
Selection 1,7179.714396845037,1267.990884529085
Selection 1,7360.433466952362,1149.2531281490453
Selection 1,7567.994031599438,1054.7956549977112
Selection 1,7847.319737181989,1024.47091307494
Selection 1,8023.633523834317,1202.0140811565695
Selection 1,8178.125790116543,1417.463176641663
Selection 1,8272.68571172032,1615.7521563427558
Selection 1,8378.053945056705,1828.793713195467
Selection 1,8506.421855966275,2047.7260560635818
Selection 1,8671.72243398111,2290.016646088425
Selection 1,8779.446981723655,2502.9557544886948
Selection 1,8854.541697363491,2782.127787392584
Selection 1,8907.917341085664,3029.182230455971
Selection 1,8905.970820489272,3290.528232634988
Selection 1,8938.242083008437,3518.732160449085
Selection 1,9102.262055367748,3725.0633436668586
Selection 1,9328.36578990679,3868.747298216476
Selection 1,9630.896069967406,3998.03724519802
Selection 1,9835.024611457684,4171.123905598431
Selection 1,9977.632857256662,4365.366171428073
Selection 1,10146.416682654515,4651.914492907772
Selection 1,10333.641229491896,4851.023060228399
Selection 1,10461.548122365475,5069.443160834305
