#Selection names:,Selection 1
#Areas (µm^2): 1233545.2
Selection,X,Y
Selection 1,4855.078813581107,482.1534976046396
Selection 1,4886.635662282403,490.49006902989464
Selection 1,4914.613636984251,498.6485448295846
Selection 1,4950.385415490583,513.3965587751779
Selection 1,4991.330447882375,537.9907165912912
Selection 1,5036.422564126607,571.8034432164096
Selection 1,5072.847359926678,620.1352036971093
Selection 1,5091.615246563594,662.5558855578674
Selection 1,5111.850301925404,718.3252585919228
Selection 1,5120.458257161044,765.5884453192327
Selection 1,5131.915742405722,819.4835739128187
Selection 1,5133.552526012105,865.2032652185658
Selection 1,5135.06209845737,916.6898624949877
Selection 1,5138.216935253092,951.6135665938684
Selection 1,5142.304653897011,1016.457335787662
Selection 1,5142.991594167048,1095.005987405883
Selection 1,5141.074946006205,1148.0021571275695
Selection 1,5141.074946006205,1235.3198981188461
Selection 1,5137.614802423801,1277.0706011977168
Selection 1,5128.099407572187,1340.6252972921834
Selection 1,5120.78900617995,1392.0949330804563
Selection 1,5117.0659595312345,1452.2912545214117
Selection 1,5105.464301637288,1531.7303842674576
Selection 1,5100.172317334787,1600.3311230862644
Selection 1,5082.786791982017,1680.3808664056755
Selection 1,5058.862612947792,1735.938220837868
Selection 1,5045.505441030419,1782.3618139018004
Selection 1,5017.03558317225,1814.7328140342502
Selection 1,4973.3343089562395,1863.6667073442406
Selection 1,4941.497595700484,1903.0767250585432
Selection 1,4902.562499654355,1933.4547503334802
Selection 1,4860.888123272155,1954.8686291216482
Selection 1,4798.72426920591,1988.5032601212015
Selection 1,4751.55437066342,2000.1388409914455
Selection 1,4716.605224332315,2002.9544480241866
Selection 1,4659.945373170435,2004.5912316305692
Selection 1,4610.036194291874,2001.436394834847
Selection 1,4568.421183118196,1987.4770900881845
Selection 1,4510.701238947,1961.5938591727438
Selection 1,4454.4484635006975,1944.0556804266325
Selection 1,4418.549473833247,1927.8150555239238
Selection 1,4368.351949656152,1901.1261539214033
Selection 1,4337.761905779352,1881.2218475785007
Selection 1,4298.165311695409,1845.6196839536583
Selection 1,4269.483435235377,1802.155870571734
Selection 1,4239.716023533806,1755.1386254225854
Selection 1,4215.588306641791,1697.8511991991904
Selection 1,4200.534985909515,1653.4290617368454
Selection 1,4186.96579539028,1620.6170629125204
Selection 1,4177.984687415361,1589.450328438653
Selection 1,4168.859406791176,1544.773768654072
Selection 1,4160.7857384322315,1501.9375303336624
Selection 1,4151.76222673694,1441.8090548453029
Selection 1,4143.4426167998345,1366.983449875797
Selection 1,4141.6277375678865,1324.7154214083805
Selection 1,4141.29698854898,1283.4396399976827
Selection 1,4143.671596889847,1231.418755844566
Selection 1,4150.4816343816865,1175.2847108153062
Selection 1,4158.012535119862,1113.392240559446
Selection 1,4162.651502128626,1062.4484109037937
Selection 1,4169.376732179721,1022.1394343175916
Selection 1,4178.3663208987155,979.3031959971819
Selection 1,4184.548783329042,943.8452050216064
Selection 1,4188.890924295197,905.614010733662
Selection 1,4188.848520574824,864.9573236404046
Selection 1,4195.268443839236,822.528161035572
Selection 1,4213.731023689471,773.8317285596679
Selection 1,4238.757699453385,730.7495486610972
Selection 1,4271.332237443623,708.2586153754654
Selection 1,4349.355082929223,685.1655492605424
Selection 1,4390.656306572145,672.1645685943006
Selection 1,4448.181193629626,648.6474652756516
Selection 1,4511.744370468167,620.033434768215
Selection 1,4564.740540189853,604.4034234388714
Selection 1,4602.106698582196,595.2018161180151
Selection 1,4636.962556728481,584.6772127215337
Selection 1,4693.240774407008,563.5940829522725
Selection 1,4750.188970867422,537.2868148331058
Selection 1,4818.187576856937,499.776483791496
Selection 1,4855.078813581107,482.1534976046396
